"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"I10X","Essential (primary) hypertension","I10","","ICD10"
"I11","Hypertensive heart disease","I11","","ICD10"
"I110","Hypertensive heart disease with (congestive) heart failure","I11.0","","ICD10"
"I119","Hypertensive heart disease without (congestive) heart failure","I11.9","","ICD10"
"I12","Hypertensive renal disease","I12","","ICD10"
"I120","Hypertensive renal disease with renal failure","I12.0","","ICD10"
"I129","Hypertensive renal disease without renal failure","I12.9","","ICD10"
"I13","Hypertensive heart and renal disease","I13","","ICD10"
"I130","Hypertensive heart and renal disease with (congestive) heart failure","I13.0","","ICD10"
"I131","Hypertensive heart and renal disease with renal failure","I13.1","","ICD10"
"I132","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","I13.2","","ICD10"
"I139","Hypertensive heart and renal disease, unspecified","I13.9","","ICD10"
"I15","Secondary hypertension","I15","","ICD10"
"I150","Renovascular hypertension","I15.0","","ICD10"
"I151","Hypertension secondary to other renal disorders","I15.1","","ICD10"
"I152","Hypertension secondary to endocrine disorders","I15.2","","ICD10"
"I158","Other secondary hypertension","I15.8","","ICD10"
"I159","Secondary hypertension, unspecified","I15.9","","ICD10"
"I674","Hypertensive encephalopathy","I67.4","","ICD10"
"O10","Pre-existing hypertension complicating pregnancy, childbirth and the puerperium","O10","","ICD10"
"O100","Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium","O10.0","","ICD10"
"O101","Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium","O10.1","","ICD10"
"O102","Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium","O10.2","","ICD10"
"O103","Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium","O10.3","","ICD10"
"O104","Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium","O10.4","","ICD10"
"Y525","Other antihypertensive drugs, not elsewhere classified","Y52.5","","ICD10"
