"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"273","Hypothyroidism","C04..13",,"576938","CPRD_GOLD"
"1619","Myxoedema","C04..11",,"45893","CPRD_GOLD"
"3290","Acquired hypothyroidism","C04..00",,"239607","CPRD_GOLD"
"3611","H/O: hypothyroidism","1432.00",,"26665","CPRD_GOLD"
"3941","Hypothyroidism NOS","C04z.00",,"68934","CPRD_GOLD"
"8384","Total thyroidectomy","7110000",,"13495","CPRD_GOLD"
"10097","Congenital hypothyroidism","C03..00",,"5878","CPRD_GOLD"
"11322","Irradiation hypothyroidism","C041000",,"814","CPRD_GOLD"
"14704","Thyroid deficiency","C04..12",,"87373","CPRD_GOLD"
"15743","Hypothyroidism resulting from para-aminosalicylic acid","C043000",,"8","CPRD_GOLD"
"19367","Hypothyroidism monitoring verbal invite","9Oj3.00",,"1941","CPRD_GOLD"
"20310","Pretibial myxoedema - hypothyroid","C04z.11",,"261","CPRD_GOLD"
"23014","Thyroid insufficiency","C04z.12",,"146","CPRD_GOLD"
"24748","Other acquired hypothyroidism","C04y.00",,"11707","CPRD_GOLD"
"25913","Other iatrogenic hypothyroidism","C043.00",,"305","CPRD_GOLD"
"27533","Cretinism","C03z.12",,"108","CPRD_GOLD"
"28735","Hypothyroidism monitoring administration","9Oj..00",,"18978","CPRD_GOLD"
"28852","Postsurgical hypothyroidism","C040.00",,"3584","CPRD_GOLD"
"31612","Congenital hypothyroidism with diffuse goitre","C03y000",,"66","CPRD_GOLD"
"31971","Autoimmune myxoedema","C046.00",,"1238","CPRD_GOLD"
"34221","Iodine hypothyroidism","C042.00",,"1198","CPRD_GOLD"
"38976","Iatrogenic hypothyroidism NOS","C043z00",,"391","CPRD_GOLD"
"39166","Congenital iodine-deficiency syndrome, myxoedematous type","C0A1.00",,"19","CPRD_GOLD"
"46057","Hypothyroidism monitoring first letter","9Oj0.00",,"243784","CPRD_GOLD"
"46345","Acquired atrophy of thyroid","C045.00",,"89","CPRD_GOLD"
"46630","Hypothyroidism monitoring second letter","9Oj1.00",,"49588","CPRD_GOLD"
"46640","Hypothyroidism monitoring third letter","9Oj2.00",,"17437","CPRD_GOLD"
"47449","Goitrous cretin","C031.00",,"16","CPRD_GOLD"
"47521","Post ablative hypothyroidism","C040.11",,"172","CPRD_GOLD"
"47658","Cerebral degeneration due to myxoedema","F11x500",,"9","CPRD_GOLD"
"50275","Other postablative hypothyroidism","C041.00",,"113","CPRD_GOLD"
"50860","Postinfectious hypothyroidism","C044.00",,"16","CPRD_GOLD"
"51416","Myopathy due to myxoedema","F395300",,"24","CPRD_GOLD"
"51481","Congenital hypothyroidism NOS","C03z.00",,"360","CPRD_GOLD"
"51706","Postablative hypothyroidism NOS","C041z00",,"251","CPRD_GOLD"
"56722","Premature puberty due to hypothyroidism","C04z000",,"59","CPRD_GOLD"
"58833","Neonatal jaundice with congenital hypothyroidism","Q433700",,"24","CPRD_GOLD"
"59702","Myxoedema coma","C04z100",,"31","CPRD_GOLD"
"61069","Myasthenic syndrome due to hypothyroidism","F381400",,"12","CPRD_GOLD"
"67513","Cretinism","C03..11",,"2","CPRD_GOLD"
"69113","Thyroid atrophy","C06y100",,"11","CPRD_GOLD"
"69290","Other specified congenital hypothyroidism","C03y.00",,"21","CPRD_GOLD"
"73107","[X]Other sp cified hypothyroidism","Cyu1100",,"12","CPRD_GOLD"
"85661","Hypothyroidism monitoring telephone invitation","9Oj4.00",,"5292","CPRD_GOLD"
"85955","Hypothyroidism clinical management plan","8CR5.00",,"3172","CPRD_GOLD"
"93159","Congenital hypothyroidism without goitre","C03y100",,"7","CPRD_GOLD"
"93323","Congenital thyroid insufficiency","C03z.11",,"14","CPRD_GOLD"
"94915","Hypothyroidism resulting from resorcinol","C043200",,"4","CPRD_GOLD"
"95885","Hypothyroidism annual review","66BB.00",,"47370","CPRD_GOLD"
"97090","Hypothyroidism resulting from phenylbutazone","C043100",,"1","CPRD_GOLD"
"113438","Cerebellar ataxia due to myxoedema","F144100",,"1","CPRD_GOLD"
