"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"I20","Angina pectoris","I20","","ICD10"
"I200","Unstable angina","I20.0","","ICD10"
"I201","Angina pectoris with documented spasm","I20.1","","ICD10"
"I208","Other forms of angina pectoris","I20.8","","ICD10"
"I209","Angina pectoris, unspecified","I20.9","","ICD10"
"I24","Other acute ischaemic heart diseases","I24","","ICD10"
"I240","Coronary thrombosis not resulting in myocardial infarction","I24.0","","ICD10"
"I248","Other forms of acute ischaemic heart disease","I24.8","","ICD10"
"I249","Acute ischaemic heart disease, unspecified","I24.9","","ICD10"
"I25","Chronic ischaemic heart disease","I25","","ICD10"
"I250","Atherosclerotic cardiovascular disease, so described","I25.0","","ICD10"
"I251","Atherosclerotic heart disease","I25.1","","ICD10"
"I253","Aneurysm of heart","I25.3","","ICD10"
"I254","Coronary artery aneurysm and dissection","I25.4","","ICD10"
"I255","Ischaemic cardiomyopathy","I25.5","","ICD10"
"I256","Silent myocardial ischaemia","I25.6","","ICD10"
"I258","Other forms of chronic ischaemic heart disease","I25.8","","ICD10"
"I259","Chronic ischaemic heart disease, unspecified","I25.9","","ICD10"
"Z500","Cardiac rehabilitation","Z50.0","","ICD10"
"Z955","Presence of coronary angioplasty implant and graft","Z95.5","","ICD10"
