"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"569","Infarction - cerebral","G64..12","","CPRD_GOLD"
"3149","Cerebral infarction NOS","G64z.00","","CPRD_GOLD"
"4240","Carotid artery occlusion","G631.00","","CPRD_GOLD"
"5185","Lateral medullary syndrome","G64z111","","CPRD_GOLD"
"5268","Insufficiency - basilar artery","G650.11","","CPRD_GOLD"
"5363","CVA - cerebral artery occlusion","G64..11","","CPRD_GOLD"
"5602","Cerebellar infarction","G64z.12","","CPRD_GOLD"
"6155","Stroke due to cerebral arterial occlusion","G64..13","","CPRD_GOLD"
"7780","Left sided CVA","G667.00","","CPRD_GOLD"
"8443","Brain stem stroke syndrome","G663.00","","CPRD_GOLD"
"8837","Cerebral arterial occlusion","G64..00","","CPRD_GOLD"
"9985","Left sided cerebral infarction","G64z200","","CPRD_GOLD"
"10504","Right sided cerebral infarction","G64z300","","CPRD_GOLD"
"10794","Vertebrobasilar insufficiency","G656.00","","CPRD_GOLD"
"12555","Generalised ischaemic cerebrovascular disease NOS","G671z00","","CPRD_GOLD"
"12833","Right sided CVA","G668.00","","CPRD_GOLD"
"15019","Cerebral embolism","G641.00","","CPRD_GOLD"
"15252","Brainstem infarction NOS","G64z.11","","CPRD_GOLD"
"16517","Cerebral thrombosis","G640.00","","CPRD_GOLD"
"17322","Cerebellar stroke syndrome","G664.00","","CPRD_GOLD"
"18689","Middle cerebral artery syndrome","G660.00","","CPRD_GOLD"
"19260","Posterior cerebral artery syndrome","G662.00","","CPRD_GOLD"
"19280","Anterior cerebral artery syndrome","G661.00","","CPRD_GOLD"
"21118","Vertebro-basilar artery syndrome","G651000","","CPRD_GOLD"
"23465","Subclavian steal syndrome","G652.00","","CPRD_GOLD"
"23671","Cerebral infarct due to thrombosis of precerebral arteries","G63y000","","CPRD_GOLD"
"23942","Basilar artery syndrome","G650.00","","CPRD_GOLD"
"24446","Cerebral infarction due to embolism of precerebral arteries","G63y100","","CPRD_GOLD"
"25615","Brainstem infarction","G64z000","","CPRD_GOLD"
"26424","Infarction of basal ganglia","G64z400","","CPRD_GOLD"
"27975","Cerebral infarction due to embolism of cerebral arteries","G641000","","CPRD_GOLD"
"32447","Basilar artery occlusion","G630.00","","CPRD_GOLD"
"33377","Vertebral artery syndrome","G651.00","","CPRD_GOLD"
"33499","Pure motor lacunar syndrome","G665.00","","CPRD_GOLD"
"33543","Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","G6X..00","","CPRD_GOLD"
"34758","Cerebral embolus","G641.11","","CPRD_GOLD"
"36717","Cerebral infarction due to thrombosis of cerebral arteries","G640000","","CPRD_GOLD"
"39344","Cereb infarct due cerebral venous thrombosis, nonpyogenic","G676000","","CPRD_GOLD"
"40053","Generalised ischaemic cerebrovascular disease NOS","G671.00","","CPRD_GOLD"
"40758","Cereb infarct due unsp occlus/stenos precerebr arteries","G6W..00","","CPRD_GOLD"
"40847","Vertebral artery occlusion","G632.00","","CPRD_GOLD"
"44765","Carotid artery syndrome hemispheric","G653.00","","CPRD_GOLD"
"47642","Wallenberg syndrome","G64z100","","CPRD_GOLD"
"50594","Multiple and bilateral precerebral artery syndromes","G654.00","","CPRD_GOLD"
"51767","Pure sensory lacunar syndrome","G666.00","","CPRD_GOLD"
"53745","[X]Other cerebral infarction","Gyu6400","","CPRD_GOLD"
"57527","Occlusion and stenosis of anterior cerebral artery","G677100","","CPRD_GOLD"
"65770","Occlusion and stenosis of posterior cerebral artery","G677200","","CPRD_GOLD"
"71274","Occlusion+stenosis of multiple and bilat cerebral arteries","G677400","","CPRD_GOLD"
"90572","[X]Occlusion and stenosis of other precerebral arteries","Gyu6500","","CPRD_GOLD"
"91627","[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","Gyu6300","","CPRD_GOLD"
"92036","[X]Occlusion and stenosis of other cerebral arteries","Gyu6600","","CPRD_GOLD"
"93459","[X]Other lacunar syndromes","Fyu5600","","CPRD_GOLD"
"94482","[X]Cereb infarct due unsp occlus/stenos precerebr arteries","Gyu6G00","","CPRD_GOLD"
"108569","SCPE class predom patt C.3 infarct of middle cerebral artery","2Ba2200","","CPRD_GOLD"
"109679","Old cerebral infarction on imaging","5C13.00","","CPRD_GOLD"
