"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"G452","Multiple and bilateral precerebral artery syndromes","G45.2","","0","ICD10"
"G46","Vascular syndromes of brain in cerebrovascular diseases","G46","","0","ICD10"
"G460","Middle cerebral artery syndrome","G46.0","","0","ICD10"
"G461","Anterior cerebral artery syndrome","G46.1","","0","ICD10"
"G462","Posterior cerebral artery syndrome","G46.2","","0","ICD10"
"G463","Brain stem stroke syndrome","G46.3","","0","ICD10"
"G464","Cerebellar stroke syndrome","G46.4","","0","ICD10"
"G465","Pure motor lacunar syndrome","G46.5","","0","ICD10"
"G466","Pure sensory lacunar syndrome","G46.6","","0","ICD10"
"G467","Other lacunar syndromes","G46.7","","0","ICD10"
"G468","Other vascular syndromes of brain in cerebrovascular diseases","G46.8","","0","ICD10"
"I63","Cerebral infarction","I63","","0","ICD10"
"I630","Cerebral infarction due to thrombosis of precerebral arteries","I63.0","","0","ICD10"
"I631","Cerebral infarction due to embolism of precerebral arteries","I63.1","","0","ICD10"
"I632","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","I63.2","","0","ICD10"
"I633","Cerebral infarction due to thrombosis of cerebral arteries","I63.3","","0","ICD10"
"I634","Cerebral infarction due to embolism of cerebral arteries","I63.4","","0","ICD10"
"I635","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","I63.5","","0","ICD10"
"I636","Cerebral infarction due to cerebral venous thrombosis, nonpyogenic","I63.6","","0","ICD10"
"I638","Other cerebral infarction","I63.8","","0","ICD10"
"I639","Cerebral infarction, unspecified","I63.9","","0","ICD10"
"I65","Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction","I65","","0","ICD10"
"I650","Occlusion and stenosis of vertebral artery","I65.0","","0","ICD10"
"I651","Occlusion and stenosis of basilar artery","I65.1","","0","ICD10"
"I652","Occlusion and stenosis of carotid artery","I65.2","","0","ICD10"
"I653","Occlusion and stenosis of multiple and bilateral precerebral arteries","I65.3","","0","ICD10"
"I658","Occlusion and stenosis of other precerebral artery","I65.8","","0","ICD10"
"I659","Occlusion and stenosis of unspecified precerebral artery","I65.9","","0","ICD10"
"I66","Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction","I66","","0","ICD10"
"I660","Occlusion and stenosis of middle cerebral artery","I66.0","","0","ICD10"
"I661","Occlusion and stenosis of anterior cerebral artery","I66.1","","0","ICD10"
"I662","Occlusion and stenosis of posterior cerebral artery","I66.2","","0","ICD10"
"I663","Occlusion and stenosis of cerebellar arteries","I66.3","","0","ICD10"
"I664","Occlusion and stenosis of multiple and bilateral cerebral arteries","I66.4","","0","ICD10"
"I668","Occlusion and stenosis of other cerebral artery","I66.8","","0","ICD10"
"I669","Occlusion and stenosis of unspecified cerebral artery","I66.9","","0","ICD10"
