"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"12K6.00","Maternal learning disability","12K6.00",,"1","IMRD"
"12L5.00","Paternal learning disability","12L5.00",,"0","IMRD"
"13Z4E00","Learning difficulties","13Z4E00",,"63041","IMRD"
"1IN..00","Learning disability excluded","1IN..00",,"38","IMRD"
"918e.00","On learning disability register","918e.00",,"43268","IMRD"
"918W.00","Carer of a person with learning disability","918W.00",,"636","IMRD"
"949H.00","Died in learning disability unit","949H.00",,"0","IMRD"
"9HB..00","Learning disabilities administration status","9HB..00",,"2092","IMRD"
"9HB1.00","Learning disabilities health action plan offered","9HB1.00",,"11333","IMRD"
"9HB2.00","Learning disabilities health action plan reviewed","9HB2.00",,"13966","IMRD"
"9HB3.00","Learning disabilities health assessment","9HB3.00",,"12582","IMRD"
"9HB4.00","Learning disabilities health action plan completed","9HB4.00",,"32356","IMRD"
"E2F2.00","Other specific learning difficulty","E2F2.00",,"6338","IMRD"
"E3...00","Mental retardation","E3...00",,"9522","IMRD"
"E30..00","Mild mental retardation, IQ in range 50-70","E30..00",,"2462","IMRD"
"E30..11","Educationally subnormal","E30..11",,"2789","IMRD"
"E30..12","Feeble-minded","E30..12",,"11","IMRD"
"E30..13","Moron","E30..13",,"11","IMRD"
"E31..00","Other specified mental retardation","E31..00",,"264","IMRD"
"E310.00","Moderate mental retardation, IQ in range 35-49","E310.00",,"1607","IMRD"
"E310.11","Imbecile","E310.11",,"134","IMRD"
"E311.00","Severe mental retardation, IQ in range 20-34","E311.00",,"1924","IMRD"
"E312.00","Profound mental retardation with IQ less than 20","E312.00",,"124","IMRD"
"E312.11","Idiocy","E312.11",,"7","IMRD"
"E31z.00","Other specified mental retardation NOS","E31z.00",,"156","IMRD"
"E3y..00","Other specified mental retardation","E3y..00",,"61","IMRD"
"E3z..00","Mental retardation NOS","E3z..00",,"930","IMRD"
"Eu7..00","[X]Mental retardation","Eu7..00",,"529","IMRD"
"Eu70.00","[X]Mild mental retardation","Eu70.00",,"3298","IMRD"
"Eu70.11","[X]Feeble-mindedness","Eu70.11",,"2","IMRD"
"Eu70.12","[X]Mild mental subnormality","Eu70.12",,"255","IMRD"
"Eu70000","[X]Mld mental retard with statement no or min impairm behav","Eu70000",,"69","IMRD"
"Eu70100","[X]Mld mental retard sig impairment behav req attent/treatmt","Eu70100",,"27","IMRD"
"Eu70y00","[X]Mild mental retardation, other impairments of behaviour","Eu70y00",,"63","IMRD"
"Eu70z00","[X]Mild mental retardation without mention impairment behav","Eu70z00",,"40","IMRD"
"Eu71.00","[X]Moderate mental retardation","Eu71.00",,"3682","IMRD"
"Eu71.11","[X]Moderate mental subnormality","Eu71.11",,"117","IMRD"
"Eu71000","[X]Mod mental retard with statement no or min impairm behav","Eu71000",,"12","IMRD"
"Eu71100","[X]Mod mental retard sig impairment behav req attent/treatmt","Eu71100",,"26","IMRD"
"Eu71y00","[X]Mod retard oth behav impair","Eu71y00",,"12","IMRD"
"Eu71z00","[X]Mod mental retardation without mention impairment behav","Eu71z00",,"16","IMRD"
"Eu72.00","[X]Severe mental retardation","Eu72.00",,"2785","IMRD"
"Eu72.11","[X]Severe mental subnormality","Eu72.11",,"130","IMRD"
"Eu72000","[X]Sev mental retard with statement no or min impairm behav","Eu72000",,"1","IMRD"
"Eu72100","[X]Sev mental retard sig impairment behav req attent/treatmt","Eu72100",,"27","IMRD"
"Eu72y00","[X]Severe mental retardation, other impairments of behaviour","Eu72y00",,"35","IMRD"
"Eu72z00","[X]Sev mental retardation without mention impairment behav","Eu72z00",,"12","IMRD"
"Eu73.00","[X]Profound mental retardation","Eu73.00",,"393","IMRD"
"Eu73.11","[X]Profound mental subnormality","Eu73.11",,"8","IMRD"
"Eu73000","[X]Profound ment retrd wth statement no or min impairm behav","Eu73000",,"0","IMRD"
"Eu73100","[X]Profound ment retard sig impairmnt behav req attent/treat","Eu73100",,"3","IMRD"
"Eu73y00","[X]Profound mental retardation, other impairments of behavr","Eu73y00",,"5","IMRD"
"Eu73z00","[X]Prfnd mental retardation without mention impairment behav","Eu73z00",,"2","IMRD"
"Eu7y.00","[X]Other mental retardation","Eu7y.00",,"15","IMRD"
"Eu7y000","[X]Oth mental retard with statement no or min impairm behav","Eu7y000",,"3","IMRD"
"Eu7y100","[X]Oth mental retard sig impairment behav req attent/treatmt","Eu7y100",,"10","IMRD"
"Eu7yy00","[X]Other mental retardation, other impairments of behaviour","Eu7yy00",,"8","IMRD"
"Eu7yz00","[X]Other mental retardation without mention impairment behav","Eu7yz00",,"5","IMRD"
"Eu7z.00","[X]Unspecified mental retardation","Eu7z.00",,"218","IMRD"
"Eu7z.11","[X]Mental deficiency NOS","Eu7z.11",,"65","IMRD"
"Eu7z.12","[X]Mental subnormality NOS","Eu7z.12",,"244","IMRD"
"Eu7z000","[X]Unsp mental retard with statement no or min impairm behav","Eu7z000",,"11","IMRD"
"Eu7z100","[X]Unsp mentl retard sig impairment behav req attent/treatmt","Eu7z100",,"7","IMRD"
"Eu7zy00","[X]Unspecified mental retardatn, other impairments of behav","Eu7zy00",,"17","IMRD"
"Eu7zz00","[X]Unsp mental retardation without mention impairment behav","Eu7zz00",,"35","IMRD"
"Eu81400","[X]Moderate learning disability","Eu81400",,"8834","IMRD"
"Eu81500","[X]Severe learning disability","Eu81500",,"5395","IMRD"
"Eu81600","[X]Mild learning disability","Eu81600",,"7686","IMRD"
"Eu81700","[X]Profound learning disability","Eu81700",,"692","IMRD"
"Eu81800","[X]Specific learning disability","Eu81800",,"130","IMRD"
"Eu81z00","[X]Developmental disorder of scholastic skills, unspecified","Eu81z00",,"3940","IMRD"
"Eu81z11","[X]Learning disability NOS","Eu81z11",,"21854","IMRD"
"Eu81z12","[X]Learning disorder NOS","Eu81z12",,"712","IMRD"
"Eu81z13","[X]Learn acquisition disab NOS","Eu81z13",,"157","IMRD"
"Z7CD200","Learning difficulties","Z7CD200",,"571","IMRD"
"Z7CD211","LD - Learning difficulties","Z7CD211",,"18","IMRD"
"ZRVL.00","Learning development aids - handwriting assessment","ZRVL.00",,"63","IMRD"
"ZS34.11","Learning disability","ZS34.11",,"8191","IMRD"
