"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"666A.00","Multiple sclerosis review","666A.00","","IMRD"
"666B.00","Multiple sclerosis multidisciplinary review","666B.00","","IMRD"
"8Cc0.00","Management of multiple sclerosis in onset phase","8Cc0.00","","IMRD"
"8Cc1.00","Management of multiple sclerosis in early disease phase","8Cc1.00","","IMRD"
"8Cc2.00","Management of multiple sclerosis in stable disability phase","8Cc2.00","","IMRD"
"8Cc4.00","Management of multiple sclerosis in palliative phase","8Cc4.00","","IMRD"
"8CS1.00","Multiple sclerosis care plan agreed","8CS1.00","","IMRD"
"8IAb.00","Multiple sclerosis review declined","8IAb.00","","IMRD"
"9kG..00","Spec serv for pat with multiple sclerosis - enh serv admin","9kG..00","","IMRD"
"9mD..00","Multiple sclerosis monitoring administration","9mD..00","","IMRD"
"9mD0.00","Multiple sclerosis monitoring first letter","9mD0.00","","IMRD"
"9mD1.00","Multiple sclerosis monitoring second letter","9mD1.00","","IMRD"
"9mD2.00","Multiple sclerosis monitoring telephone invitation","9mD2.00","","IMRD"
"9mD3.00","Multiple sclerosis monitoring third letter","9mD3.00","","IMRD"
"F20..00","Multiple sclerosis","F20..00","","IMRD"
"F20..11","Disseminated sclerosis","F20..11","","IMRD"
"F200.00","Multiple sclerosis of the brain stem","F200.00","","IMRD"
"F201.00","Multiple sclerosis of the spinal cord","F201.00","","IMRD"
"F202.00","Generalised multiple sclerosis","F202.00","","IMRD"
"F203.00","Exacerbation of multiple sclerosis","F203.00","","IMRD"
"F204.00","Benign multiple sclerosis","F204.00","","IMRD"
"F205.00","Malignant multiple sclerosis","F205.00","","IMRD"
"F206.00","Primary progressive multiple sclerosis","F206.00","","IMRD"
"F207.00","Relapsing and remitting multiple sclerosis","F207.00","","IMRD"
"F208.00","Secondary progressive multiple sclerosis","F208.00","","IMRD"
"F20z.00","Multiple sclerosis NOS","F20z.00","","IMRD"
"ZRVE.00","Kurtzke multiple sclerosis rating scale","ZRVE.00","","IMRD"
"ZRVE.11","Kurtzke multiple sclerosis scale","ZRVE.11","","IMRD"
