"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"82343012","Atrial fibrillation","G573000","49436004","CPRD_AURUM"
"256478018","ECG: atrial fibrillation","3272.00","164889003","CPRD_AURUM"
"300130013","Atrial fibrillation and flutter","G573.00","195080001","CPRD_AURUM"
"350465014","Non-rheumatic atrial fibrillation","G573300","233911009","CPRD_AURUM"
"2675253013","Chronic atrial fibrillation","","426749004","CPRD_AURUM"
"406861000000119","Atrial fibrillation annual review","6A9..00","248411000000105","CPRD_AURUM"
"636701000000115","Persistent atrial fibrillation","G573500","440059007","CPRD_AURUM"
"636721000000112","Permanent atrial fibrillation","G573400","440028005","CPRD_AURUM"
"1823951000006111","Atrial fibrillation confirmed","","1823951000006107","CPRD_AURUM"
"1856431000006118","Atrial fibrillation follow-up","","1856431000006102","CPRD_AURUM"
"1932021000006117","3D study - problems with atrial fibrillation management","","1932021000006101","CPRD_AURUM"
"300132017","Atrial fibrillation and flutter NOS","G573z00","195080001","CPRD_AURUM"
"783761000006118","Implant intravenous pacemaker for atrial fibrillation","7936A00","175146007","CPRD_AURUM"
"3299911000006116","AF - Atrial fibrillation","","49436004","CPRD_AURUM"
"6016401000006115","History of atrial fibrillation","","312442005","CPRD_AURUM"
"5669611000006119","Intermittent atrial fibrillation","","282825002","CPRD_AURUM"
"5057281000006117","NRAF - Non-rheumatic atrial fibrillation","","233911009","CPRD_AURUM"
"5669601000006117","PAF - Paroxysmal atrial fibrillation","","282825002","CPRD_AURUM"
"5669591000006113","AF - Paroxysmal atrial fibrillation","","282825002","CPRD_AURUM"
"4586611000006112","Electrocardiographic atrial fibrillation","","164889003","CPRD_AURUM"
"865521000006116","Pacer controlled atrial fibril","7936A99","175146007","CPRD_AURUM"
"421235014","Paroxysmal atrial fibrillation","G573200","282825002","CPRD_AURUM"
"456154015","H/O: atrial fibrillation","14AN.00","312442005","CPRD_AURUM"
