"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"E244","Alcohol-induced pseudo-Cushing syndrome","E24.4","","ICD10"
"F10","Mental and behavioural disorders due to use of alcohol","F10","","ICD10"
"F100","Mental and behavioural disorders due to use of alcohol","F10.0","","ICD10"
"F101","Mental and behavioural disorders due to use of alcohol","F10.1","","ICD10"
"F102","Mental and behavioural disorders due to use of alcohol","F10.2","","ICD10"
"F103","Mental and behavioural disorders due to use of alcohol","F10.3","","ICD10"
"F104","Mental and behavioural disorders due to use of alcohol","F10.4","","ICD10"
"F105","Mental and behavioural disorders due to use of alcohol","F10.5","","ICD10"
"F106","Mental and behavioural disorders due to use of alcohol","F10.6","","ICD10"
"F107","Mental and behavioural disorders due to use of alcohol","F10.7","","ICD10"
"F108","Mental and behavioural disorders due to use of alcohol","F10.8","","ICD10"
"F109","Mental and behavioural disorders due to use of alcohol","F10.9","","ICD10"
"G312","Degeneration of nervous system due to alcohol","G31.2","","ICD10"
"G621","Alcoholic polyneuropathy","G62.1","","ICD10"
"G721","Alcoholic myopathy","G72.1","","ICD10"
"I426","Alcoholic cardiomyopathy","I42.6","","ICD10"
"K292","Alcoholic gastritis","K29.2","","ICD10"
"K70","Alcoholic liver disease","K70","","ICD10"
"K700","Alcoholic fatty liver","K70.0","","ICD10"
"K701","Alcoholic hepatitis","K70.1","","ICD10"
"K702","Alcoholic fibrosis and sclerosis of liver","K70.2","","ICD10"
"K703","Alcoholic cirrhosis of liver","K70.3","","ICD10"
"K704","Alcoholic hepatic failure","K70.4","","ICD10"
"K709","Alcoholic liver disease, unspecified","K70.9","","ICD10"
"K852","Alcohol-induced acute pancreatitis","K85.2","","ICD10"
"K860","Alcohol-induced chronic pancreatitis","K86.0","","ICD10"
