"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"136S.00","Hazardous alcohol use","136S.00","","IMRD"
"136T.00","Harmful alcohol use","136T.00","","IMRD"
"13ZY.00","Disqualified from driving due to excess alcohol","13ZY.00","","IMRD"
"1462.00","H/O: alcoholism","1462.00","","IMRD"
"1B1c.00","Alcohol induced hallucinations","1B1c.00","","IMRD"
"2126C00","Alcohol dependence resolved","2126C00","","IMRD"
"7P22100","Delivery of rehabilitation for alcohol addiction","7P22100","","IMRD"
"8G32.00","Aversion therapy - alcoholism","8G32.00","","IMRD"
"8IAF.00","Brief intervention for excessive alcohol consumptn declined","8IAF.00","","IMRD"
"8IAt.00","Extended interven for excessive alcohol consumption declined","8IAt.00","","IMRD"
"9k1A.00","Brief intervention for excessive alcohol consumptn completed","9k1A.00","","IMRD"
"9k1B.00","Extended intervention for excessive alcohol consumptn complt","9k1B.00","","IMRD"
"C150500","Alcohol-induced pseudo-Cushing's syndrome","C150500","","IMRD"
"E01..00","Alcoholic psychoses","E01..00","","IMRD"
"E010.00","Alcohol withdrawal delirium","E010.00","","IMRD"
"E011.00","Alcohol amnestic syndrome","E011.00","","IMRD"
"E011000","Korsakov's alcoholic psychosis","E011000","","IMRD"
"E011100","Korsakov's alcoholic psychosis with peripheral neuritis","E011100","","IMRD"
"E011200","Wernicke-Korsakov syndrome","E011200","","IMRD"
"E011z00","Alcohol amnestic syndrome NOS","E011z00","","IMRD"
"E012.00","Other alcoholic dementia","E012.00","","IMRD"
"E012.11","Alcoholic dementia NOS","E012.11","","IMRD"
"E012000","Chronic alcoholic brain syndrome","E012000","","IMRD"
"E013.00","Alcohol withdrawal hallucinosis","E013.00","","IMRD"
"E014.00","Pathological alcohol intoxication","E014.00","","IMRD"
"E015.00","Alcoholic paranoia","E015.00","","IMRD"
"E01y.00","Other alcoholic psychosis","E01y.00","","IMRD"
"E01y000","Alcohol withdrawal syndrome","E01y000","","IMRD"
"E01yz00","Other alcoholic psychosis NOS","E01yz00","","IMRD"
"E01z.00","Alcoholic psychosis NOS","E01z.00","","IMRD"
"E23..00","Alcohol dependence syndrome","E23..00","","IMRD"
"E23..11","Alcoholism","E23..11","","IMRD"
"E23..12","Alcohol problem drinking","E23..12","","IMRD"
"E230.00","Acute alcoholic intoxication in alcoholism","E230.00","","IMRD"
