"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"905791000006115","[RFC] Alzheimer's disease","","905791000006104","CPRD_AURUM"
"914951000006114","[D] Dementia in Alzheimer's disease","","914951000006105","CPRD_AURUM"
"1950841000006118","Dementia link worker - third sector (Alzheimer Scotland)","","1950841000006102","CPRD_AURUM"
"1971401000006111","Dementia in Alzheimer's disease with early onset, without additional symptoms","","1971401000006107","CPRD_AURUM"
"1971771000006112","Dementia in Alzheimer's disease with early onset, other symptoms, predominantly hallucinatory","","1971771000006108","CPRD_AURUM"
"1972171000006117","Dementia in Alzheimer's disease with late onset, without additional symptoms","","1972171000006101","CPRD_AURUM"
"1972181000006119","Dementia in Alzheimer's disease with late onset, other symptoms, predominantly delusional","","1972181000006103","CPRD_AURUM"
"1972191000006116","Dementia in Alzheimer's disease with late onset, other symptoms, predominantly hallucinatory","","1972191000006100","CPRD_AURUM"
"1972311000006112","Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive","","1972311000006108","CPRD_AURUM"
"1972341000006111","Dementia in Alzheimer's dis, atypical or mixed type, other mixed symptoms","","1972341000006107","CPRD_AURUM"
"1972371000006115","Dementia in Alzheimer's disease, unspecified, without additional symptoms","","1972371000006104","CPRD_AURUM"
"1972451000006118","Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly depressive","","1972451000006102","CPRD_AURUM"
"299325013","[X]Other Alzheimer's disease","Fyu3000","26929004","CPRD_AURUM"
"376531000006119","[X]Dementia in Alzheimer's disease with early onset","Eu00000","416780008","CPRD_AURUM"
"423351000006115","[X]Presenile dementia,Alzheimer's type","Eu00011","416780008","CPRD_AURUM"
"423381000006111","[X]Primary degen dementia of Alzheimer's type, senile onset","Eu00113","416975007","CPRD_AURUM"
"423391000006114","[X]Primary degen dementia, Alzheimer's type, presenile onset","Eu00012","416780008","CPRD_AURUM"
"295668011","[X]Dementia in Alzheimer's disease","Eu00.00","26929004","CPRD_AURUM"
"295672010","[X]Dementia in Alzheimer's disease, unspecified","Eu00z00","26929004","CPRD_AURUM"
"295671015","[X]Dementia in Alzheimer's dis, atypical or mixed type","Eu00200","26929004","CPRD_AURUM"
"425901000006116","[X]Senile dementia,Alzheimer's type","Eu00112","416975007","CPRD_AURUM"
"6897251000006116","Presenile dementia, Alzheimer's type","","416780008","CPRD_AURUM"
"6900181000006114","Primary degenerative dementia of the Alzheimer type, senile onset","","416975007","CPRD_AURUM"
"6900191000006112","Primary degenerative dementia of the Alzheimer type, late onset","","416975007","CPRD_AURUM"
"6900221000006117","SDAT - Senile dementia, Alzheimer's type","","416975007","CPRD_AURUM"
"2931231000006118","AD - Alzheimer's disease","","26929004","CPRD_AURUM"
"6897241000006118","Dementia of the Alzheimers type with early onset","","416780008","CPRD_AURUM"
"6897271000006114","Dementia in Alzheimer's disease - type 2","","416780008","CPRD_AURUM"
"6897211000006117","Primary degenerative dementia of the Alzheimer type, presenile onset","","416780008","CPRD_AURUM"
"6897221000006113","Primary degenerative dementia of the Alzheimer type, early onset","","416780008","CPRD_AURUM"
"3802621000006119","Lewy body variant of Alzheimer's disease","","80098002","CPRD_AURUM"
"1972131000006115","Dementia in Alzheimer's disease with early onset, other symptoms, predominantly depressive","","1972131000006104","CPRD_AURUM"
"1972141000006113","Dementia in Alzheimer's disease with early onset, other mixed symptoms","","1972141000006109","CPRD_AURUM"
"1972231000006114","Dementia in Alzheimer's dis, atypical or mixed type, without additional symptoms","","1972231000006105","CPRD_AURUM"
"1972251000006119","Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly delusional","","1972251000006103","CPRD_AURUM"
"1972471000006111","Dementia in Alzheimer's disease, unspecified, other mixed symptoms","","1972471000006107","CPRD_AURUM"
"363031000006111","[X]Alzheimer's disease type 1","Eu00111","416975007","CPRD_AURUM"
"6900241000006112","Dementia in Alzheimer's disease - type 1","","416975007","CPRD_AURUM"
"2931251000006113","Alzheimer dementia","","26929004","CPRD_AURUM"
"2931241000006111","Alzheimer disease","","26929004","CPRD_AURUM"
"1971541000006114","Dementia in Alzheimer's disease with early onset, other symptoms, predominantly delusional","","1971541000006105","CPRD_AURUM"
"1972201000006118","Dementia in Alzheimer's disease with late onset, other symptoms, predominantly depressive","","1972201000006102","CPRD_AURUM"
"1972211000006115","Dementia in Alzheimer's disease with late onset, other mixed symptoms","","1972211000006104","CPRD_AURUM"
"1972291000006113","Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly hallucinatory","","1972291000006109","CPRD_AURUM"
"499946014","Alzheimer's disease with early onset","F110000","416780008","CPRD_AURUM"
"500317011","Alzheimer's disease with late onset","F110100","416975007","CPRD_AURUM"
"45046017","Alzheimer's disease","F110.00","26929004","CPRD_AURUM"
"363041000006118","[X]Alzheimer's disease type 2","Eu00013","416780008","CPRD_AURUM"
"376541000006112","[X]Dementia in Alzheimer's disease with late onset","Eu00100","416975007","CPRD_AURUM"
"363021000006113","[X]Alzheimer's dementia unspec","Eu00z11","26929004","CPRD_AURUM"
"1972401000006117","Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly delusional","","1972401000006101","CPRD_AURUM"
"1972421000006110","Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly hallucinatory","","1972421000006106","CPRD_AURUM"
"6900201000006110","Dementia of the Alzheimers type, late onset","","416975007","CPRD_AURUM"
