"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"426","Sinus arrhythmia","G577.00","","CPRD_GOLD"
"534","ECG: right bundle branch block","3299.00","","CPRD_GOLD"
"793","[D]Electrocardiogram (ECG) abnormal","R143100","","CPRD_GOLD"
"1268","Paroxysmal atrial fibrillation","G573200","","CPRD_GOLD"
"1292","ECG abnormal","3217.00","","CPRD_GOLD"
"1297","Paroxysmal atrial tachycardia","G570000","","CPRD_GOLD"
"1381","Paroxysmal tachycardia NOS","G572z00","","CPRD_GOLD"
"1535","Cardiac dysrhythmia NOS","G57z.00","","CPRD_GOLD"
"1536","Supraventricular tachycardia NOS","G57y900","","CPRD_GOLD"
"1628","Exercise ECG abnormal","3213100","","CPRD_GOLD"
"1656","External cardioversion NEC","7L1H100","","CPRD_GOLD"
"1664","Atrial fibrillation","G573000","","CPRD_GOLD"
"1757","Atrial flutter","G573100","","CPRD_GOLD"
"2059","Ambulatory ECG abnormal","3214100","","CPRD_GOLD"
"2099","Cardiac arrest","G575.00","","CPRD_GOLD"
"2212","Atrial fibrillation and flutter","G573.00","","CPRD_GOLD"
"2249","Ectopic beats unspecified","G576000","","CPRD_GOLD"
"2579","Extrasystoles","G576011","","CPRD_GOLD"
"2802","[V]Cardiac pacemaker in situ","ZV45000","","CPRD_GOLD"
"2840","[V]Fitting or adjustment of cardiac pacemaker","ZV53300","","CPRD_GOLD"
"2841","Implantation of intravenous cardiac pacemaker system","7936000","","CPRD_GOLD"
"3032","Bundle branch block unspecified","G565000","","CPRD_GOLD"
"3232","Direct current cardioversion","7L1H000","","CPRD_GOLD"
"3418","Paroxysmal ventricular tachycardia","G571.00","","CPRD_GOLD"
"3603","Partial atrioventricular block","G561.00","","CPRD_GOLD"
"3757","ECG: atrial fibrillation","3272.00","","CPRD_GOLD"
"3769","Stokes-Adams syndrome","G56z000","","CPRD_GOLD"
"3810","Complete atrioventricular block","G560.00","","CPRD_GOLD"
"3849","Persistent sinus bradycardia","G57y000","","CPRD_GOLD"
"3909","Premature beats","G576.11","","CPRD_GOLD"
"4044","Cardiac dysrhythmias","G57..00","","CPRD_GOLD"
"4327","Implant of cardiac pacemaker with complication, no blame","TB01000","","CPRD_GOLD"
"4374","Ventricular fibrillation and flutter","G574.00","","CPRD_GOLD"
"4421","Heart beats irregular","G57y.14","","CPRD_GOLD"
"4549","Heart block","G56..12","","CPRD_GOLD"
"4690","ECG: left bundle branch block","329A.00","","CPRD_GOLD"
"4772","Skipped beat","G57y.13","","CPRD_GOLD"
"4802","Ventricular ectopic beats","G576200","","CPRD_GOLD"
"4827","Ventricular fibrillation","G574000","","CPRD_GOLD"
"4924","ECG: ventricular tachycardia","3282.00","","CPRD_GOLD"
"4940","Paroxysmal supraventricular tachycardia","G570.00","","CPRD_GOLD"
"5285","ECG: ectopic beats","326..00","","CPRD_GOLD"
"5484","Ventricular flutter","G574100","","CPRD_GOLD"
"5576","Sick sinus syndrome","G57y300","","CPRD_GOLD"
"5714","Atrioventricular dissociation","G56y100","","CPRD_GOLD"
"5924","Introduction of cardiac pacemaker system via vein","7936.00","","CPRD_GOLD"
"5925","O/E - collapse -cardiac arrest","2241.00","","CPRD_GOLD"
"6009","Maintenance of cardiac pacemaker system NEC","7937300","","CPRD_GOLD"
"6319","ECG:left ventricle hypertrophy","324..00","","CPRD_GOLD"
"6345","H/O: atrial fibrillation","14AN.00","","CPRD_GOLD"
"6503","Cardiac arrhythmias","G57..11","","CPRD_GOLD"
"6771","ECG: atrial flutter","3273.00","","CPRD_GOLD"
"7005","Sinus tachycardia","G57y700","","CPRD_GOLD"
"7189","Cardioversion and stimulation","7L1H.11","","CPRD_GOLD"
"7388","Internal electrode cardioversion","7L1H200","","CPRD_GOLD"
"7410","Sinoatrial node dysfunction NOS","G57y400","","CPRD_GOLD"
"7457","Ectopic beats","G576.00","","CPRD_GOLD"
"7482","Left bundle branch hemiblock","G562.00","","CPRD_GOLD"
"7630","Electromechanical dissociation","G575300","","CPRD_GOLD"
"7783","ECG: myocardial infarction","323..00","","CPRD_GOLD"
"7794","Ventricular tachycardia","G571.11","","CPRD_GOLD"
"7827","Other cardiac dysrhythmias","G57y.00","","CPRD_GOLD"
"7945","Hypsarrhythmia","F256000","","CPRD_GOLD"
"8230","Wolff-Parkinson-White syndrome","G567400","","CPRD_GOLD"
"8246","ECG: myocardial ischaemia","322..00","","CPRD_GOLD"
"8326","Implantation of permanent intravenous cardiac pacemaker","7936600","","CPRD_GOLD"
"8651","Nodal rhythm disorder","G57y600","","CPRD_GOLD"
"8656","Implantation of cardiac pacemaker system NEC","7937000","","CPRD_GOLD"
"8841","Seen by cardiac pacemaker technician","9N2b.00","","CPRD_GOLD"
"9023","Atrial premature depolarization","G576300","","CPRD_GOLD"
"9479","Implant intravenous pacemaker for atrial fibrillation","7936A00","","CPRD_GOLD"
"9515","Bigeminal pulse","G57y800","","CPRD_GOLD"
"9563","Pulse missed beats","G57y.12","","CPRD_GOLD"
"9878","H/O: cardiac pacemaker","14V1.11","","CPRD_GOLD"
"9906","Right bundle branch block","G564.00","","CPRD_GOLD"
"10160","Implantation of internal cardiac defibrillator","7937500","","CPRD_GOLD"
"10712","Trifascicular block","G565400","","CPRD_GOLD"
"10922","Mobitz type II atrioventricular block","G561200","","CPRD_GOLD"
"11063","Introduction of intravenous cardiac pacemaker system","7936.11","","CPRD_GOLD"
"11794","ECG: left ventricular strain","32L..00","","CPRD_GOLD"
"12149","First degree atrioventricular block","G561100","","CPRD_GOLD"
"12237","Left axis deviation","32J5.00","","CPRD_GOLD"
"12375","History of supraventricular tachycardia","14AQ.00","","CPRD_GOLD"
"12671","[D]Asystolic vasovagal syncope","R002600","","CPRD_GOLD"
"13854","ECG: heart block","329..00","","CPRD_GOLD"
"13857","ECG: shows LVH","3242.00","","CPRD_GOLD"
"16279","H/O: cardiac pacemaker in situ","14V1.00","","CPRD_GOLD"
"16788","Other cardiac pacemaker system","7937.00","","CPRD_GOLD"
"17206","Bifascicular block","G565500","","CPRD_GOLD"
"17550","ECG: extrasystole","3262.00","","CPRD_GOLD"
"17597","ECG: supraventricular arrhythmia","327..00","","CPRD_GOLD"
"17840","Left bundle branch block","G562.11","","CPRD_GOLD"
"18113","Implantation of intravenous dual chamber permanent pacemaker","7.94E+03","","CPRD_GOLD"
"18117","Other bundle branch block","G565.00","","CPRD_GOLD"
"18268","Severe sinus bradycardia","G57y100","","CPRD_GOLD"
"18357","ECG: paroxysmal atrial tachy.","3274.00","","CPRD_GOLD"
"18437","Sinoatrial block","G566000","","CPRD_GOLD"
"18768","Right axis deviation","32J6.00","","CPRD_GOLD"
"18955","Mechanical complication of cardiac pacemaker","SP00100","","CPRD_GOLD"
