"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"264780013","B12 deficiency monitoring","66E..00","170818005","CPRD_AURUM"
"264783010","B12 injections started","66E3.00","170821007","CPRD_AURUM"
"264784016","B12 injections - at home","66E4.00","170822000","CPRD_AURUM"
"264785015","B12 injections - at surgery","66E5.00","170823005","CPRD_AURUM"
"264788018","B12 injections stopped","66E8.00","170826002","CPRD_AURUM"
"293948018","Combined B12 and folate deficiency anaemia","D013000","191154007","CPRD_AURUM"
"297018015","Cerebral degeneration due to vitamin B12 deficiency","F11x600","192817003","CPRD_AURUM"
"297589013","Myasthenic syndrome due to pernicious anaemia","F381500","193213003","CPRD_AURUM"
"351104011","Vegan's anaemia","D011013","234360003","CPRD_AURUM"
"351106013","Congenital deficiency of intrinsic factor","D010.13","234361004","CPRD_AURUM"
"351107016","Biermer's congenital pernicious anaemia","D010.12","234362006","CPRD_AURUM"
"399201018","Vitamin B12 deficiency anaemia due to dietary causes","D011000","267517008","CPRD_AURUM"
"881941000006116","Other vit B12 defic. anaemia","D011.99","49472006","CPRD_AURUM"
"906551000006112","[RFC] Pernicious anaemia","","906551000006108","CPRD_AURUM"
"1842071000006112","Vitamin B12 injection due","","1842071000006108","CPRD_AURUM"
"2588851000000112","Vitamin B12 deficiency resolved","","1025551000000105","CPRD_AURUM"
"294571016","[X]Other vitamin B12 deficiency anaemias","Dyu0200","49472006","CPRD_AURUM"
"351117014","Imerslund's syndrome","D011012","234363001","CPRD_AURUM"
"399198011","Other vitamin B12 deficiency anaemias","D011.00","49472006","CPRD_AURUM"
"62031000006117","Vit B12 defic anaemia due to malabsorption with proteinuria","D011100","191142007","CPRD_AURUM"
"62281000006111","Vitamin B12 deficiency anaemia, unspecified","D011X00","49472006","CPRD_AURUM"
"223491000000112","Addison's anaemia","D010.11","84027009","CPRD_AURUM"
"223501000000118","Imerslund - Grasbeck syndrome","D011011","234363001","CPRD_AURUM"
"501121000006110","B12 defic. monitoring NOS","66EZ.00","170818005","CPRD_AURUM"
"294568012","[X]Other dietary vitamin B12 deficiency anaemia","Dyu0100","267517008","CPRD_AURUM"
"251614016","H/O: Anaemia vit.B12 deficient","1452.00","161457000","CPRD_AURUM"
"12489041000006111","H/O: Anaemia vit.B12 deficient","","161457000","CPRD_AURUM"
"5063581000006119","Congenital vitamin B12 deficiency","","234363001","CPRD_AURUM"
"3867011000006118","Biermer's anaemia","","84027009","CPRD_AURUM"
"3866991000006112","Biermer's anemia","","84027009","CPRD_AURUM"
"4761061000006112","Vitamin B12 deficiency anemia due to malabsorption with proteinuria","","191142007","CPRD_AURUM"
"3300591000006119","Megaloblastic anemia due to vitamin B>12< deficiency","","49472006","CPRD_AURUM"
"4759041000006118","Deficiency of vitamin B>12<","","190634004","CPRD_AURUM"
"5063501000006111","Vegan anemia","","234360003","CPRD_AURUM"
"5063621000006119","Imerslund disease","","234363001","CPRD_AURUM"
"5063641000006114","Vitamin B12 deficiency anaemia due to selective malabsorption of cyanocobalamin","","234363001","CPRD_AURUM"
"4759021000006113","Cobalamin deficiency","","190634004","CPRD_AURUM"
"5063611000006110","Imerslund-Grasbeck syndrome","","234363001","CPRD_AURUM"
"3867001000006116","Addisonian pernicious anaemia","","84027009","CPRD_AURUM"
"4637181000006113","Vitamin B12 injections stopped","","170826002","CPRD_AURUM"
"5063571000006117","Imerslund-Grasbeck anaemia","","234363001","CPRD_AURUM"
"3867031000006112","PA - Pernicious anaemia","","84027009","CPRD_AURUM"
"3300601000006110","Megaloblastic anemia due to cobalamin deficiency","","49472006","CPRD_AURUM"
"3866981000006114","Addison's anemia","","84027009","CPRD_AURUM"
"4637111000006118","Vitamin B12 injections started","","170821007","CPRD_AURUM"
"5063491000006115","Vegan's anemia","","234360003","CPRD_AURUM"
"4761161000006111","Combined B12 and folate deficiency anemia","","191154007","CPRD_AURUM"
"3300611000006113","Vitamin B>12< deficiency anemia","","49472006","CPRD_AURUM"
"3866951000006118","Pernicious anemia","","84027009","CPRD_AURUM"
"11919451000006118","Vitamin B12 deficiency anemia due to dietary causes","","267517008","CPRD_AURUM"
"4539701000006119","History of anaemia vitamin B12 deficient","","161457000","CPRD_AURUM"
"5063651000006111","Vitamin B12 deficiency anemia due to selective malabsorption of cyanocobalamin","","234363001","CPRD_AURUM"
"5063591000006116","Imerslund-Najman-Grasbeck syndrome","","234363001","CPRD_AURUM"
"5063631000006116","Imerslund's syndrome","","234363001","CPRD_AURUM"
"5063541000006113","Biermer congenital pernicious anemia","","234362006","CPRD_AURUM"
"4770761000006113","Myasthenic syndrome due to pernicious anemia","","193213003","CPRD_AURUM"
"452074010","Intramuscular injection of vitamin B12","7L18500","308752009","CPRD_AURUM"
"293008012","Vitamin B12 deficiency","C262100","190634004","CPRD_AURUM"
"257553011","Serum vitamin B12 low","42T2.00","165645009","CPRD_AURUM"
"3867021000006114","Megaloblastic anaemia due to impaired absorption of cobalamin","","84027009","CPRD_AURUM"
"5063601000006112","Imerslund-Grasbeck disease","","234363001","CPRD_AURUM"
"3300651000006114","Vitamin B12-deficient megaloblastic anemia","","49472006","CPRD_AURUM"
"4539721000006112","History of anemia vitamin B12 deficient","","161457000","CPRD_AURUM"
"356607016","Transcobalamin II deficiency","D011200","237934001","CPRD_AURUM"
"62261000006118","Vitamin B12 deficiency anaemia","D011.11","49472006","CPRD_AURUM"
"3866961000006116","Addisonian pernicious anemia","","84027009","CPRD_AURUM"
"5114551000006115","TCN2 - Transcobalamin II deficiency","","237934001","CPRD_AURUM"
"293924010","Other vitamin B12 deficiency anaemia NOS","D011z00","49472006","CPRD_AURUM"
"294579019","[X]Vitamin B12 deficiency anaemia, unspecified","Dyu0600","49472006","CPRD_AURUM"
"3484041000006119","Neuromyelopathy due to vitamin B12 deficiency","","60576007","CPRD_AURUM"
"505888017","Pernicious anaemia","D010.00","84027009","CPRD_AURUM"
"5063531000006115","Biermer's congenital pernicious anemia","","234362006","CPRD_AURUM"
"5063551000006110","Selective malabsorption of cyanocobalamin","","234363001","CPRD_AURUM"
"3300621000006117","Megaloblastic anaemia due to cobalamin deficiency","","49472006","CPRD_AURUM"
"3866971000006111","Megaloblastic anemia due to impaired absorption of cobalamin","","84027009","CPRD_AURUM"
"5063561000006112","Imerslund-Grasbeck anemia","","234363001","CPRD_AURUM"
