"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"294803011","Single manic episode, mild","E110100","191583000","CPRD_AURUM"
"294804017","Single manic episode, moderate","E110200","191584006","CPRD_AURUM"
"294806015","Single manic episode, severe, with psychosis","E110400","191586008","CPRD_AURUM"
"294808019","Single manic episode in full remission","E110600","191588009","CPRD_AURUM"
"294810017","Recurrent manic episodes","E111.00","191590005","CPRD_AURUM"
"294812013","Recurrent manic episodes, mild","E111100","191592002","CPRD_AURUM"
"294813015","Recurrent manic episodes, moderate","E111200","191593007","CPRD_AURUM"
"294815010","Recurrent manic episodes, severe, with psychosis","E111400","191595000","CPRD_AURUM"
"294847017","Manic-depressive - now manic","E114.11","191618007","CPRD_AURUM"
"294849019","Bipolar affective disorder, currently manic, mild","E114100","191620005","CPRD_AURUM"
"294860011","Manic-depressive - now depressed","E115.11","191627008","CPRD_AURUM"
"294862015","Bipolar affective disorder, currently depressed, mild","E115100","191629006","CPRD_AURUM"
"294869012","Mixed bipolar affective disorder","E116.00","191636007","CPRD_AURUM"
"294876019","Mixed bipolar affective disorder, in full remission","E116600","191643001","CPRD_AURUM"
"401765010","Manic disorder, single episode","E110.00","268619003","CPRD_AURUM"
"1780205015","H/O: manic depressive disorder","146D.00","400998002","CPRD_AURUM"
"492761000000114","Bipolar affective disorder resolved","212V.00","285491000000101","CPRD_AURUM"
"1972101000006111","Organic bipolar affective disorder","","1972101000006107","CPRD_AURUM"
"1975941000006115","Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome","","1975941000006104","CPRD_AURUM"
"294802018","Single manic episode, unspecified","E110000","268619003","CPRD_AURUM"
"294848010","Bipolar affective disorder, currently manic, unspecified","E114000","191618007","CPRD_AURUM"
"294858014","Bipolar affective disorder, currently manic, NOS","E114z00","191618007","CPRD_AURUM"
"294861010","Bipolar affective disorder, currently depressed, unspecified","E115000","191627008","CPRD_AURUM"
"294868016","Bipolar affective disorder, currently depressed, NOS","E115z00","191627008","CPRD_AURUM"
"294880012","Unspecified bipolar affective disorder","E117.00","13746004","CPRD_AURUM"
"294881011","Unspecified bipolar affective disorder, unspecified","E117000","13746004","CPRD_AURUM"
"294882016","Unspecified bipolar affective disorder, mild","E117100","13313007","CPRD_AURUM"
"294888017","Unspecified bipolar affective disorder, NOS","E117z00","13746004","CPRD_AURUM"
"294891017","Other and unspecified manic-depressive psychoses","E11y.00","13746004","CPRD_AURUM"
"296130018","[X]Bipolar affective disorder, currently in remission","Eu31700","85248005","CPRD_AURUM"
"401863011","[X]Mania with psychotic symptoms","Eu30200","231494001","CPRD_AURUM"
"401864017","[X]Manic episode, unspecified","Eu30z00","268619003","CPRD_AURUM"
"401865016","[X]Other bipolar affective disorders","Eu31y00","13746004","CPRD_AURUM"
"1227584015","[V]Personal history of manic-depressive psychosis","ZV11112","429124005","CPRD_AURUM"
"345141000006111","[V]Personal history of manic-depressive psychosis","ZV11111","429124005","CPRD_AURUM"
"367101000006112","[X]Bipolar affective disorder","Eu31.00","13746004","CPRD_AURUM"
"367081000006116","[X]Bipolar affect disorder cur epi manic wout psychotic symp","Eu31100","191618007","CPRD_AURUM"
"367111000006110","[X]Bipolar affective disorder, current episode hypomanic","Eu31000","31446002","CPRD_AURUM"
"367121000006119","[X]Bipolar affective disorder, current episode mixed","Eu31600","192362008","CPRD_AURUM"
"367151000006111","[X]Bipolar disorder, single manic episode","Eu30.11","268619003","CPRD_AURUM"
"367161000006113","[X]Bipolar II disorder","Eu31y11","83225003","CPRD_AURUM"
"376291000006118","[X]Cyclothymia","Eu34000","76105009","CPRD_AURUM"
"396071000006119","[X]Manic-depressive reaction","Eu31.13","13746004","CPRD_AURUM"
"396691000006111","[X]Mania NOS","Eu30z11","268619003","CPRD_AURUM"
"396711000006114","[X]Mania with mood-incongruent psychotic symptoms","Eu30212","231494001","CPRD_AURUM"
"396741000006113","[X]Manic episode","Eu30.00","268619003","CPRD_AURUM"
"396791000006116","[X]Manic-depressive illness","Eu31.11","13746004","CPRD_AURUM"
"396801000006115","[X]Manic-depressive psychosis","Eu31.12","13746004","CPRD_AURUM"
"513701000006116","Bipolar affect disord, currently manic,severe with psychosis","E114400","191623007","CPRD_AURUM"
"513731000006112","Bipolar affect disord, now depressed, severe, no psychosis","E115300","61403008","CPRD_AURUM"
"513751000006117","Bipolar affective disorder, currently depressed","E115.00","191627008","CPRD_AURUM"
"513801000006112","Bipolar affective disorder, currently manic","E114.00","191618007","CPRD_AURUM"
"513811000006110","Bipolar affective disorder, currently manic, full remission","E114600","191625000","CPRD_AURUM"
"513871000006118","Bipolar psychoses","E11..11","13746004","CPRD_AURUM"
"1785851000006110","[X]Bipolar affective disorder type I","Eu31800","371596008","CPRD_AURUM"
