"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"B34..00","Malignant neoplasm of female breast","B34..00","","IMRD"
"B34..11","Ca female breast","B34..11","","IMRD"
"B340.00","Malignant neoplasm of nipple and areola of female breast","B340.00","","IMRD"
"B340000","Malignant neoplasm of nipple of female breast","B340000","","IMRD"
"B340100","Malignant neoplasm of areola of female breast","B340100","","IMRD"
"B340z00","Malignant neoplasm of nipple or areola of female breast NOS","B340z00","","IMRD"
"B341.00","Malignant neoplasm of central part of female breast","B341.00","","IMRD"
"B342.00","Malignant neoplasm of upper-inner quadrant of female breast","B342.00","","IMRD"
"B343.00","Malignant neoplasm of lower-inner quadrant of female breast","B343.00","","IMRD"
"B344.00","Malignant neoplasm of upper-outer quadrant of female breast","B344.00","","IMRD"
"B345.00","Malignant neoplasm of lower-outer quadrant of female breast","B345.00","","IMRD"
"B346.00","Malignant neoplasm of axillary tail of female breast","B346.00","","IMRD"
"B347.00","Malignant neoplasm, overlapping lesion of breast","B347.00","","IMRD"
"B34y.00","Malignant neoplasm of other site of female breast","B34y.00","","IMRD"
"B34yz00","Malignant neoplasm of other site of female breast NOS","B34yz00","","IMRD"
"B34z.00","Malignant neoplasm of female breast NOS","B34z.00","","IMRD"
"B35..00","Malignant neoplasm of male breast","B35..00","","IMRD"
"B350.00","Malignant neoplasm of nipple and areola of male breast","B350.00","","IMRD"
"B350000","Malignant neoplasm of nipple of male breast","B350000","","IMRD"
"B350100","Malignant neoplasm of areola of male breast","B350100","","IMRD"
"B350z00","Malignant neoplasm of nipple or areola of male breast NOS","B350z00","","IMRD"
"B35z.00","Malignant neoplasm of other site of male breast","B35z.00","","IMRD"
"B35zz00","Malignant neoplasm of male breast NOS","B35zz00","","IMRD"
"B36..00","Local recurrence of malignant tumour of breast","B36..00","","IMRD"
"B77..00","Benign neoplasm of breast","B77..00","","IMRD"
"B770.00","Benign neoplasm of female breast","B770.00","","IMRD"
"B771.00","Benign neoplasm of male breast","B771.00","","IMRD"
"B77z.00","Benign neoplasm of breast NOS","B77z.00","","IMRD"
"B83..00","Carcinoma in situ of breast and genitourinary system","B83..00","","IMRD"
"B830.00","Carcinoma in situ of breast","B830.00","","IMRD"
"B830000","Lobular carcinoma in situ of breast","B830000","","IMRD"
"B830100","Intraductal carcinoma in situ of breast","B830100","","IMRD"
"BB94.00","[M]Juvenile breast carcinoma","BB94.00","","IMRD"
"BB94.11","[M]Secretory breast carcinoma","BB94.11","","IMRD"
"BB9J.00","[M]Paget's disease, mammary","BB9J.00","","IMRD"
"BB9J.11","[M]Paget's disease, breast","BB9J.11","","IMRD"
"BB9K.00","[M]Paget's disease and infiltrating breast duct carcinoma","BB9K.00","","IMRD"
"BB9K000","[M]Paget's disease and intraductal carcinoma of breast","BB9K000","","IMRD"
"Byu6.00","[X]Malignant neoplasm of breast","Byu6.00","","IMRD"
"ByuFG00","[X]Other carcinoma in situ of breast","ByuFG00","","IMRD"
"ZV10300","[V]Personal history of malignant neoplasm of breast","ZV10300","","IMRD"
"ZV13A00","[V]Personal history of non-neoplastic breast disease","ZV13A00","","IMRD"
