"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"B18","Chronic viral hepatitis","B18","","ICD10"
"B180","Chronic viral hepatitis B with delta-agent","B18.0","","ICD10"
"B181","Chronic viral hepatitis B without delta-agent","B18.1","","ICD10"
"B182","Chronic viral hepatitis C","B18.2","","ICD10"
"B188","Other chronic viral hepatitis","B18.8","","ICD10"
"B189","Chronic viral hepatitis, unspecified","B18.9","","ICD10"
"I85","Oesophageal varices","I85","","ICD10"
"I850","Oesophageal varices with bleeding","I85.0","","ICD10"
"I859","Oesophageal varices without bleeding","I85.9","","ICD10"
"I982","Oesophageal varices without bleeding in diseases classified elsewhere","I98.2","","ICD10"
"I983","Oesophageal varices with bleeding in diseases classified elsewhere","I98.3","","ICD10"
"K702","Alcoholic fibrosis and sclerosis of liver","K70.2","","ICD10"
"K703","Alcoholic cirrhosis of liver","K70.3","","ICD10"
"K704","Alcoholic hepatic failure","K70.4","","ICD10"
"K713","Toxic liver disease with chronic persistent hepatitis","K71.3","","ICD10"
"K714","Toxic liver disease with chronic lobular hepatitis","K71.4","","ICD10"
"K715","Toxic liver disease with chronic active hepatitis","K71.5","","ICD10"
"K717","Toxic liver disease with fibrosis and cirrhosis of liver","K71.7","","ICD10"
"K72","Hepatic failure, not elsewhere classified","K72","","ICD10"
"K721","Chronic hepatic failure","K72.1","","ICD10"
"K729","Hepatic failure, unspecified","K72.9","","ICD10"
"K73","Chronic hepatitis, not elsewhere classified","K73","","ICD10"
"K730","Chronic persistent hepatitis, not elsewhere classified","K73.0","","ICD10"
"K731","Chronic lobular hepatitis, not elsewhere classified","K73.1","","ICD10"
"K732","Chronic active hepatitis, not elsewhere classified","K73.2","","ICD10"
"K738","Other chronic hepatitis, not elsewhere classified","K73.8","","ICD10"
"K739","Chronic hepatitis, unspecified","K73.9","","ICD10"
"K74","Fibrosis and cirrhosis of liver","K74","","ICD10"
"K740","Hepatic fibrosis","K74.0","","ICD10"
"K742","Hepatic fibrosis with hepatic sclerosis","K74.2","","ICD10"
"K743","Primary biliary cirrhosis","K74.3","","ICD10"
"K744","Secondary biliary cirrhosis","K74.4","","ICD10"
"K745","Biliary cirrhosis, unspecified","K74.5","","ICD10"
"K746","Other and unspecified cirrhosis of liver","K74.6","","ICD10"
"K766","Portal hypertension","K76.6","","ICD10"
"K767","Hepatorenal syndrome","K76.7","","ICD10"
