"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"877","Thrombocytopenic purpura","D313.15","","CPRD_GOLD"
"880","Thrombocytopenia NOS","D315.00","","CPRD_GOLD"
"2833","Haemophilia A","D300.12","","CPRD_GOLD"
"3320","Thrombocythaemia","42P3.00","","CPRD_GOLD"
"4006","Thrombocytopenia","42P2.00","","CPRD_GOLD"
"4414","Coagulation defect NOS","D30z.00","","CPRD_GOLD"
"5144","Idiopathic thrombocytopenic purpura","D313.12","","CPRD_GOLD"
"5181","ITP - idiopathic thrombocytopenic purpura","D313012","","CPRD_GOLD"
"5632","Haemophilia-A (factor VIII deficiency)","D300.00","","CPRD_GOLD"
"5981","Bleeding disorders","D30..11","","CPRD_GOLD"
"6307","Essential thrombocytosis","D3y0.00","","CPRD_GOLD"
"7194","H/O: bleeding disorder","1455.11","","CPRD_GOLD"
"7516","Thrombophilia","D30A.00","","CPRD_GOLD"
"8479","Protein S deficiency","D309.00","","CPRD_GOLD"
"8674","Factor V Leiden genotype","42Qe.00","","CPRD_GOLD"
"9143","Clotting and bleeding disorders","D3...00","","CPRD_GOLD"
"9503","Purpura and other haemorrhagic conditions","D31..00","","CPRD_GOLD"
"11061","Clotting or bleeding disorder NOS","D3z..00","","CPRD_GOLD"
"11950","Essential (haemorrhagic) thrombocythaemia","B937400","","CPRD_GOLD"
"12177","Antiphospholipid syndrome","N006.00","","CPRD_GOLD"
"12234","Idiopathic thrombocytopenic purpura","D313000","","CPRD_GOLD"
"12265","Primary thrombocythaemia","B937411","","CPRD_GOLD"
"15556","Deficiency of factor V or labile factor","D303200","","CPRD_GOLD"
"16420","Auto-immune thrombocytopenia","42P2.11","","CPRD_GOLD"
"16445","Haemorrhagic condition NOS","D31z.00","","CPRD_GOLD"
"16983","Qualitative platelet defects","D311.00","","CPRD_GOLD"
"17186","Rosenthal's disease","D302.12","","CPRD_GOLD"
"17386","Idiopathic thrombocythaemia","B937500","","CPRD_GOLD"
"17520","Von Willebrand's disease","D304.00","","CPRD_GOLD"
"20165","Postpartum coagulation defects","L363.00","","CPRD_GOLD"
"20174","Deficiency of factor XIII or fibrin stabilizing factor","D303600","","CPRD_GOLD"
"20181","Secondary thrombocytopenia","D314.00","","CPRD_GOLD"
"20266","Haemophilia-B (factor IX deficiency)","D301.00","","CPRD_GOLD"
"21697","Thrombotic thrombocytopenic purpura","G756100","","CPRD_GOLD"
"21739","Haemorrhagic condition, unspecified","D31X.00","","CPRD_GOLD"
"21926","Christmas disease","D301.11","","CPRD_GOLD"
"22463","Primary thrombocytopenia","D313.00","","CPRD_GOLD"
"22706","Haemophilia-C (factor XI deficiency)","D302.00","","CPRD_GOLD"
"24087","Capillary fragility - hereditary","D31y011","","CPRD_GOLD"
"24330","H/O: coagulation defect","1455.00","","CPRD_GOLD"
"25786","Coagulation defects","D30..00","","CPRD_GOLD"
