"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"14V2.00","H/O: renal dialysis","14V2.00","","IMRD"
"14V2.11","H/O: kidney dialysis","14V2.11","","IMRD"
"4I29.00","Peritoneal dialysis sample","4I29.00","","IMRD"
"4N...00","Dialysis fluid examination","4N...00","","IMRD"
"4N0..00","Dialysis fluid urea level","4N0..00","","IMRD"
"4N1..00","Dialysis fluid creatinine level","4N1..00","","IMRD"
"4N2..00","Dialysis fluid glucose level","4N2..00","","IMRD"
"4N3..00","Peritoneal dialysis fluid cell count","4N3..00","","IMRD"
"4N4..00","Dialysis fluid potassium level","4N4..00","","IMRD"
"4N5..00","Dialysis fluid sodium level","4N5..00","","IMRD"
"7A60600","Creation of graft fistula for dialysis","7A60600","","IMRD"
"7A61900","Ligation of arteriovenous dialysis fistula","7A61900","","IMRD"
"7A61A00","Ligation of arteriovenous dialysis graft","7A61A00","","IMRD"
"7L1A.11","Dialysis for renal failure","7L1A.11","","IMRD"
"7L1A000","Renal dialysis","7L1A000","","IMRD"
"7L1A011","Thomas intravascular shunt for dialysis","7L1A011","","IMRD"
"7L1A100","Peritoneal dialysis","7L1A100","","IMRD"
"7L1A200","Haemodialysis NEC","7L1A200","","IMRD"
"7L1A300","Haemofiltration","7L1A300","","IMRD"
"7L1A400","Automated peritoneal dialysis","7L1A400","","IMRD"
"7L1A500","Continuous ambulatory peritoneal dialysis","7L1A500","","IMRD"
"7L1A600","Peritoneal dialysis NEC","7L1A600","","IMRD"
"7L1B.11","Placement ambulatory dialysis apparatus - compens renal fail","7L1B.11","","IMRD"
"7L1B000","Insertion of ambulatory peritoneal dialysis catheter","7L1B000","","IMRD"
"7L1B100","Removal of ambulatory peritoneal dialysis catheter","7L1B100","","IMRD"
"7L1B200","Flushing of peritoneal dialysis catheter","7L1B200","","IMRD"
"7L1C000","Insertion of temporary peritoneal dialysis catheter","7L1C000","","IMRD"
"7L1f000","Extracorporeal albumin haemodialysis","7L1f000","","IMRD"
"8882.00","Intestinal dialysis","8882.00","","IMRD"
"8DD..00","Dependence on renal dialysis","8DD..00","","IMRD"
"G72C.00","Ruptured aneurysm of dialysis vascular access","G72C.00","","IMRD"
"G72D.00","Aneurysm of dialysis arteriovenous fistula","G72D.00","","IMRD"
"G72D000","Aneurysm of superficialised artery of dialysis AV fistula","G72D000","","IMRD"
"G72D100","Aneurysm of needle site of dialysis arteriovenous fistula","G72D100","","IMRD"
"G72D200","Aneurysm of anastomotic site of dialysis AV fistula","G72D200","","IMRD"
"G72E.00","Aneurysm of dialysis vascular access","G72E.00","","IMRD"
"Gy1..00","Stenosis of dialysis vascular access","Gy1..00","","IMRD"
"Gy10.00","Stenosis of dialysis arteriovenous graft","Gy10.00","","IMRD"
"Gy11.00","Stenosis of dialysis arteriovenous shunt","Gy11.00","","IMRD"
"Gy11000","Stenosis of arterial side of dialysis arteriovenous shunt","Gy11000","","IMRD"
"Gy11100","Stenosis of venous side of dialysis arteriovenous shunt","Gy11100","","IMRD"
"Gy2..00","Thrombosis of dialysis vascular access","Gy2..00","","IMRD"
