"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"493878012","Hysteria","E201.00","44376007","CPRD_AURUM"
"294964018","Hysteria unspecified","E201000","44376007","CPRD_AURUM"
"294978017","Dissociative reaction unspecified","E201A00","44376007","CPRD_AURUM"
"363641000006114","[X]Anxiety hysteria","Eu41y11","197480006","CPRD_AURUM"
"376681000006119","[X]Depersonalization - derealization syndrome","Eu46100","231519007","CPRD_AURUM"
"375721000006119","[X]Conversion hysteria","Eu44.11","44376007","CPRD_AURUM"
"375731000006116","[X]Conversion reaction","Eu44.12","44376007","CPRD_AURUM"
"389431000006115","[X]Hysteria","Eu44.13","44376007","CPRD_AURUM"
"5583291000006119","Dissociative anesthesia","","276299000","CPRD_AURUM"
"3667821000006111","Dissociative ataxia","","71802006","CPRD_AURUM"
"3009231000006110","Dissociative identity disorder","","31611000","CPRD_AURUM"
"4764671000006110","Dissociative seizures","","191714002","CPRD_AURUM"
"3651081000006115","Depersonalisation neurosis","","70764005","CPRD_AURUM"
"3870021000006115","Dissociative amnesia","","84209002","CPRD_AURUM"
"3651061000006113","Depersonalization disorder","","70764005","CPRD_AURUM"
"3654101000006113","Dissociative deafness","","70967007","CPRD_AURUM"
"5583321000006111","Dissociative stupor","","276300008","CPRD_AURUM"
"3009221000006112","Multiple personality disorder","","31611000","CPRD_AURUM"
"3651051000006111","Depersonalisation disorder","","70764005","CPRD_AURUM"
"5024221000006111","Depersonalization-derealization syndrome","","231519007","CPRD_AURUM"
"3944941000006111","Dissociative blindness","","88902008","CPRD_AURUM"
"1216885017","Depersonalisation syndrome","E206.00","70764005","CPRD_AURUM"
"3651071000006118","Depersonalization neurosis","","70764005","CPRD_AURUM"
"399101000006116","[X]Multiple personality","Eu44y12","44376007","CPRD_AURUM"
"401778010","Other conversion disorder","E201600","20734000","CPRD_AURUM"
"2829631000006113","Psychologic conversion disorder","","20734000","CPRD_AURUM"
"3651101000006111","Depersonalization syndrome","","70764005","CPRD_AURUM"
"401779019","Hysteria NOS","E201z00","44376007","CPRD_AURUM"
"694811000006118","Multiple personality","E201900","31611000","CPRD_AURUM"
"4764621000006114","Dissociative tremor","","191713008","CPRD_AURUM"
