"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"2188","Hysteria","E201.00","","CPRD_GOLD"
"5305","Depersonalisation syndrome","E206.00","","CPRD_GOLD"
"9265","[X]Depersonalization - derealization syndrome","Eu46100","","CPRD_GOLD"
"15431","Other conversion disorder","E201600","","CPRD_GOLD"
"23354","Hysteria NOS","E201z00","","CPRD_GOLD"
"23490","Dissociative reaction unspecified","E201A00","","CPRD_GOLD"
"27588","[X]Hysteria","Eu44.13","","CPRD_GOLD"
"28167","[X]Anxiety hysteria","Eu41y11","","CPRD_GOLD"
"35311","[X]Conversion hysteria","Eu44.11","","CPRD_GOLD"
"39919","[X]Multiple personality","Eu44y12","","CPRD_GOLD"
"41572","Hysteria unspecified","E201000","","CPRD_GOLD"
"43302","Multiple personality","E201900","","CPRD_GOLD"
"52161","[X]Conversion reaction","Eu44.12","","CPRD_GOLD"
