MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
1009531000006118,Cause of learning disabilities: Down's syndrome,,1009531000006102,CPRD_AURUM
1776611000006113,Reason for referral: Downs Syndrome,,1776611000006109,CPRD_AURUM
68472012,Mongolism,PJ0..11,41040004,CPRD_AURUM
378493013,Down's syndrome NOS,PJ0z.00,41040004,CPRD_AURUM
1224878018,Trisomy 21 NOS,PJ0z.11,41040004,CPRD_AURUM
88351000006114,"Trisomy 21, meiotic nondisjunction",PJ00.00,205615000,CPRD_AURUM
88371000006116,"Trisomy 21, mosaicism",PJ01.00,205616004,CPRD_AURUM
88381000006118,"Trisomy 21, translocation",PJ02.00,254264002,CPRD_AURUM
4830971000006116,Mosaic Down's syndrome,,205616004,CPRD_AURUM
4830961000006111,Mosaic Down syndrome,,205616004,CPRD_AURUM
3161051000006117,T21 - Trisomy 21,,41040004,CPRD_AURUM
3161061000006115,Downs syndrome,,41040004,CPRD_AURUM
5339911000006112,Trisomy 21 - translocation,,254264002,CPRD_AURUM
5339921000006116,Partial trisomy 21 in Down syndrome,,254264002,CPRD_AURUM
3161031000006112,Complete trisomy 21 syndrome,,41040004,CPRD_AURUM
88361000006111,"Trisomy 21, mitotic nondisjunction",PJ01.11,205616004,CPRD_AURUM
378494019,Partial trisomy 21 in Down's syndrome,PJ02.11,254264002,CPRD_AURUM
628281000006114,Down's syndrome - trisomy 21,PJ0..00,41040004,CPRD_AURUM
3161041000006119,Down syndrome,,41040004,CPRD_AURUM
4830941000006112,Trisomy 21- meiotic nondisjunction,,205615000,CPRD_AURUM
222121000000113,Trisomy 21,PJ0..12,41040004,CPRD_AURUM
893481000006117,Down's syndrome,PJ0..98,41040004,CPRD_AURUM
3528203016,Trisomy 21,,737542000,CPRD_AURUM
6348371000006113,Translocation Down syndrome,,371045000,CPRD_AURUM
7955161000006118,Dementia with Down syndrome,,733194007,CPRD_AURUM
