MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
102424012,Endometriosis of cervix,K500200,61640006,CPRD_AURUM
126835018,Endometriosis of uterus,K500.00,76376003,CPRD_AURUM
126839012,Adenomyosis,K50..11,76376003,CPRD_AURUM
355411011,Endometriosis of myometrium,K500100,237115002,CPRD_AURUM
355412016,Chocolate cyst of ovary,K501.11,237116001,CPRD_AURUM
1784724014,Endometriosis,K50..00,129103003,CPRD_AURUM
2548653011,Laparoscopic laser destruction of endometriosis,7E0D800,416155004,CPRD_AURUM
906431000006116,[RFC] Endometriosis,,906431000006100,CPRD_AURUM
304796018,Endometriosis of the pelvic peritoneum NOS,K503z00,198251001,CPRD_AURUM
304799013,Endometriosis of the intestine NOS,K505z00,5562006,CPRD_AURUM
304801011,Other endometriosis,K50y.00,129103003,CPRD_AURUM
304802016,Other endometriosis NOS,K50yz00,129103003,CPRD_AURUM
304803014,Endometriosis NOS,K50z.00,129103003,CPRD_AURUM
305247015,[X]Other endometriosis,Kyu9000,129103003,CPRD_AURUM
317021000006116,[M]Stromal endometriosis,BBL1.11,128726006,CPRD_AURUM
461191000006115,Adenomyosis of endometrium,K500111,237115002,CPRD_AURUM
642671000006114,Endometriosis of the broad ligament,K503000,10535001,CPRD_AURUM
642691000006110,Endometriosis of the fallopian tube,K502.00,22611009,CPRD_AURUM
642701000006110,Endometriosis of the intestine,K505.00,5562006,CPRD_AURUM
642721000006117,Endometriosis of the lung,K50y100,50993001,CPRD_AURUM
642731000006119,Endometriosis of the parametrium,K503200,84305006,CPRD_AURUM
642741000006112,Endometriosis of the pelvic peritoneum,K503.00,198251001,CPRD_AURUM
642771000006116,Endometriosis of the rectovaginal septum,K504000,52533003,CPRD_AURUM
642801000006119,Endometriosis of the rectum,K505200,9563009,CPRD_AURUM
642811000006116,Endometriosis of the round ligament,K503300,5327000,CPRD_AURUM
642821000006112,Endometriosis of the umbilicus,K50y200,17829005,CPRD_AURUM
642831000006110,Endometriosis of the vagina,K504100,57493005,CPRD_AURUM
642841000006117,Endometriosis of the vulva,K50y300,38780008,CPRD_AURUM
770611000006110,Internal endometriosis,K500000,198247003,CPRD_AURUM
304798017,Endometriosis of the rectovaginal septum and vagina NOS,K504z00,52533003,CPRD_AURUM
