"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"272294012","Revascularisation for impotence","7A6G000","175881006","CPRD_AURUM"
"272299019","Ligation of penile veins for impotence","7A6G500","175886001","CPRD_AURUM"
"273365014","Penile injection to produce erection","7C25B00","176566004","CPRD_AURUM"
"304501018","Impotence of organic origin","K27y100","198036002","CPRD_AURUM"
"371290017","Cannot get an erection","1ABB.00","248773007","CPRD_AURUM"
"371298012","Cannot sustain an erection","1ABC.00","248779006","CPRD_AURUM"
"302271000000119","Referral to erectile dysfunction clinic","8HTj.00","704048004","CPRD_AURUM"
"850021000033113","Vacuum pumps for erectile dysfunction","","850021000033109","CPRD_AURUM"
"882471000006114","Frigidity and impotence","E227.99","268637002","CPRD_AURUM"
"991801000006118","Psychogenic impotence","E227399","397803000","CPRD_AURUM"
"1119471000006114","Adverse reaction to Vacuum pumps for erectile dysfunction","","1119471000006105","CPRD_AURUM"
"1736291000000114","Referral to erectile dysfunction clinic declined","8IE8.00","704049007","CPRD_AURUM"
"2243331000000115","Erectile dysfunction due to diabetes mellitus","K27y700","867891000000101","CPRD_AURUM"
"1809351000006118","Problem getting an erection","","276364001","CPRD_AURUM"
"369101000000114","Treatment of erectile dysfunction NEC","7C25E00","851081000000105","CPRD_AURUM"
"396141000006114","[X]Male erectile disorder","Eu52212","397803000","CPRD_AURUM"
"489201000000110","Operations on penis for erectile dysfunction NEC","7C25F00","71588001","CPRD_AURUM"
"1768751000006113","Erect dysf unresponsiv to phosphodiesterase-5 inhibitor","8BB4.00","707300000","CPRD_AURUM"
"6592991000006118","Sexual impotence","","397803000","CPRD_AURUM"
"4790831000006116","Organic erectile dysfunction","","198036002","CPRD_AURUM"
"7486631000006115","Complaining of impotence","","473327001","CPRD_AURUM"
"5261781000006117","Unable to achieve erection","","248773007","CPRD_AURUM"
"424011000006115","[X]Psychogenic impotence","Eu52213","73491007","CPRD_AURUM"
"4668871000006114","Revascularization for impotence","","175881006","CPRD_AURUM"
"7486621000006118","Complaining of erectile dysfunction","","473327001","CPRD_AURUM"
"1734321000000113","C/O erectile dysfunction","1D1B.00","473327001","CPRD_AURUM"
"932201000006116","Erectile dysfunction organic","K27y199","198036002","CPRD_AURUM"
"1777409015","Impotence","E227300","397803000","CPRD_AURUM"
"1786154013","Erectile dysfunction","E227311","397803000","CPRD_AURUM"
"6592981000006116","Failure of erection","","397803000","CPRD_AURUM"
