"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"W00","Fall on same level involving ice and snow","W00","","ICD10"
"W000","Fall on same level involving ice and snow","W00.0","","ICD10"
"W001","Fall on same level involving ice and snow","W00.1","","ICD10"
"W002","Fall on same level involving ice and snow","W00.2","","ICD10"
"W003","Fall on same level involving ice and snow","W00.3","","ICD10"
"W004","Fall on same level involving ice and snow","W00.4","","ICD10"
"W005","Fall on same level involving ice and snow","W00.5","","ICD10"
"W006","Fall on same level involving ice and snow","W00.6","","ICD10"
"W007","Fall on same level involving ice and snow","W00.7","","ICD10"
"W008","Fall on same level involving ice and snow","W00.8","","ICD10"
"W009","Fall on same level involving ice and snow","W00.9","","ICD10"
"W01","Fall on same level from slipping, tripping and stumbling","W01","","ICD10"
"W010","Fall on same level from slipping, tripping and stumbling","W01.0","","ICD10"
"W011","Fall on same level from slipping, tripping and stumbling","W01.1","","ICD10"
"W012","Fall on same level from slipping, tripping and stumbling","W01.2","","ICD10"
"W013","Fall on same level from slipping, tripping and stumbling","W01.3","","ICD10"
"W014","Fall on same level from slipping, tripping and stumbling","W01.4","","ICD10"
"W015","Fall on same level from slipping, tripping and stumbling","W01.5","","ICD10"
"W016","Fall on same level from slipping, tripping and stumbling","W01.6","","ICD10"
"W017","Fall on same level from slipping, tripping and stumbling","W01.7","","ICD10"
"W018","Fall on same level from slipping, tripping and stumbling","W01.8","","ICD10"
"W019","Fall on same level from slipping, tripping and stumbling","W01.9","","ICD10"
"W05","Fall involving wheelchair","W05","","ICD10"
"W050","Fall involving wheelchair","W05.0","","ICD10"
"W051","Fall involving wheelchair","W05.1","","ICD10"
"W052","Fall involving wheelchair","W05.2","","ICD10"
"W053","Fall involving wheelchair","W05.3","","ICD10"
"W054","Fall involving wheelchair","W05.4","","ICD10"
"W055","Fall involving wheelchair","W05.5","","ICD10"
"W056","Fall involving wheelchair","W05.6","","ICD10"
"W057","Fall involving wheelchair","W05.7","","ICD10"
"W058","Fall involving wheelchair","W05.8","","ICD10"
"W059","Fall involving wheelchair","W05.9","","ICD10"
"W06","Fall involving bed","W06","","ICD10"
"W060","Fall involving bed","W06.0","","ICD10"
"W061","Fall involving bed","W06.1","","ICD10"
"W062","Fall involving bed","W06.2","","ICD10"
"W063","Fall involving bed","W06.3","","ICD10"
"W064","Fall involving bed","W06.4","","ICD10"
"W065","Fall involving bed","W06.5","","ICD10"
"W066","Fall involving bed","W06.6","","ICD10"
"W067","Fall involving bed","W06.7","","ICD10"
"W068","Fall involving bed","W06.8","","ICD10"
"W069","Fall involving bed","W06.9","","ICD10"
"W07","Fall involving chair","W07","","ICD10"
"W070","Fall involving chair","W07.0","","ICD10"
"W071","Fall involving chair","W07.1","","ICD10"
"W072","Fall involving chair","W07.2","","ICD10"
"W073","Fall involving chair","W07.3","","ICD10"
"W074","Fall involving chair","W07.4","","ICD10"
"W075","Fall involving chair","W07.5","","ICD10"
"W076","Fall involving chair","W07.6","","ICD10"
"W077","Fall involving chair","W07.7","","ICD10"
"W078","Fall involving chair","W07.8","","ICD10"
"W079","Fall involving chair","W07.9","","ICD10"
"W08","Fall involving other furniture","W08","","ICD10"
"W080","Fall involving other furniture","W08.0","","ICD10"
"W081","Fall involving other furniture","W08.1","","ICD10"
"W082","Fall involving other furniture","W08.2","","ICD10"
"W083","Fall involving other furniture","W08.3","","ICD10"
"W084","Fall involving other furniture","W08.4","","ICD10"
"W085","Fall involving other furniture","W08.5","","ICD10"
"W086","Fall involving other furniture","W08.6","","ICD10"
"W087","Fall involving other furniture","W08.7","","ICD10"
"W088","Fall involving other furniture","W08.8","","ICD10"
"W089","Fall involving other furniture","W08.9","","ICD10"
"W10","Fall on and from stairs and steps","W10","","ICD10"
"W100","Fall on and from stairs and steps","W10.0","","ICD10"
"W101","Fall on and from stairs and steps","W10.1","","ICD10"
"W102","Fall on and from stairs and steps","W10.2","","ICD10"
"W103","Fall on and from stairs and steps","W10.3","","ICD10"
"W104","Fall on and from stairs and steps","W10.4","","ICD10"
"W105","Fall on and from stairs and steps","W10.5","","ICD10"
"W106","Fall on and from stairs and steps","W10.6","","ICD10"
"W107","Fall on and from stairs and steps","W10.7","","ICD10"
"W108","Fall on and from stairs and steps","W10.8","","ICD10"
"W109","Fall on and from stairs and steps","W10.9","","ICD10"
"W18","Other fall on same level","W18","","ICD10"
"W180","Other fall on same level","W18.0","","ICD10"
"W181","Other fall on same level","W18.1","","ICD10"
"W182","Other fall on same level","W18.2","","ICD10"
"W183","Other fall on same level","W18.3","","ICD10"
"W184","Other fall on same level","W18.4","","ICD10"
"W185","Other fall on same level","W18.5","","ICD10"
"W186","Other fall on same level","W18.6","","ICD10"
"W187","Other fall on same level","W18.7","","ICD10"
"W188","Other fall on same level","W18.8","","ICD10"
"W189","Other fall on same level","W18.9","","ICD10"
"W193","Unspecified fall","W19.3","","ICD10"
"W194","Unspecified fall","W19.4","","ICD10"
"W195","Unspecified fall","W19.5","","ICD10"
"W196","Unspecified fall","W19.6","","ICD10"
"W197","Unspecified fall","W19.7","","ICD10"
"W198","Unspecified fall","W19.8","","ICD10"
"W199","Unspecified fall","W19.9","","ICD10"
