"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"4078","Folic acid deficiency","C262000","","CPRD_GOLD"
"4080","Folate-deficiency anaemia","D012.00","","CPRD_GOLD"
"13749","RBC folate abnormal","42UD.00","","CPRD_GOLD"
"15898","Serum folate low","42U2.00","","CPRD_GOLD"
"22715","Combined B12 and folate deficiency anaemia","D013000","","CPRD_GOLD"
"24870","Folic acid deficiency anaemia","D012.11","","CPRD_GOLD"
"36634","Folate-deficiency anaemia due to dietary causes","D012100","","CPRD_GOLD"
"37082","Folate-deficiency anaemia, drug induced","D012200","","CPRD_GOLD"
"42117","Folate-deficiency anaemia NOS","D012z00","","CPRD_GOLD"
"44125","Whole blood folate low","42UB.00","","CPRD_GOLD"
"53783","[X]Other folate deficiency anaemias","Dyu0300","","CPRD_GOLD"
"54470","RBC folate low","42U8.00","","CPRD_GOLD"
"55481","Folate-deficiency anaemia due to malabsorption","D012300","","CPRD_GOLD"
"56114","Folate-deficiency anaemia due to liver disorders","D012400","","CPRD_GOLD"
"113007","Congenital folate malabsorption anaemia","D012000","","CPRD_GOLD"
