"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1443.00","H/O: gout","1443.00","","IMRD"
"2D52.00","O/E - auricle of ear - tophi","2D52.00","","IMRD"
"669..00","Gout monitoring","669..00","","IMRD"
"6691.00","Initial gout assessment","6691.00","","IMRD"
"6692.00","Follow-up gout assessment","6692.00","","IMRD"
"6693.00","Joints gout affected","6693.00","","IMRD"
"6695.00","Date gout treatment started","6695.00","","IMRD"
"6696.00","Date of last gout attack","6696.00","","IMRD"
"6697.00","Gout associated problems","6697.00","","IMRD"
"6698.00","Gout drug side effects","6698.00","","IMRD"
"6699.00","Gout treatment changed","6699.00","","IMRD"
"669A.00","Date gout treatment stopped","669A.00","","IMRD"
"669Z.00","Gout monitoring NOS","669Z.00","","IMRD"
"C34..00","Gout","C34..00","","IMRD"
"C340.00","Gouty arthropathy","C340.00","","IMRD"
"C341.00","Gouty nephropathy","C341.00","","IMRD"
"C341000","Gouty nephropathy unspecified","C341000","","IMRD"
"C341z00","Gouty nephropathy NOS","C341z00","","IMRD"
"C342.00","Idiopathic gout","C342.00","","IMRD"
"C343.00","Lead-induced gout","C343.00","","IMRD"
"C344.00","Drug-induced gout","C344.00","","IMRD"
"C345.00","Gout due to impairment of renal function","C345.00","","IMRD"
"C346.00","Acute exacerbation of gout","C346.00","","IMRD"
"C34y.00","Other specified gouty manifestation","C34y.00","","IMRD"
"C34y000","Gouty tophi of ear","C34y000","","IMRD"
"C34y100","Gouty tophi of heart","C34y100","","IMRD"
"C34y200","Gouty tophi of other sites","C34y200","","IMRD"
"C34y300","Gouty iritis","C34y300","","IMRD"
"C34y400","Gouty neuritis","C34y400","","IMRD"
"C34y500","Gouty tophi of hand","C34y500","","IMRD"
"C34y600","Gouty tophi of toe","C34y600","","IMRD"
"C34yz00","Other specified gouty manifestation NOS","C34yz00","","IMRD"
"C34z.00","Gout NOS","C34z.00","","IMRD"
"G557300","Gouty tophi of heart","G557300","","IMRD"
"N023.00","Gouty arthritis","N023.00","","IMRD"
"N023000","Gouty arthritis of unspecified site","N023000","","IMRD"
"N023100","Gouty arthritis of the shoulder region","N023100","","IMRD"
"N023200","Gouty arthritis of the upper arm","N023200","","IMRD"
"N023300","Gouty arthritis of the forearm","N023300","","IMRD"
"N023400","Gouty arthritis of the hand","N023400","","IMRD"
"N023500","Gouty arthritis of the pelvic region and thigh","N023500","","IMRD"
"N023600","Gouty arthritis of the lower leg","N023600","","IMRD"
"N023700","Gouty arthritis of the ankle and foot","N023700","","IMRD"
"N023800","Gouty arthritis of toe","N023800","","IMRD"
"N023x00","Gouty arthritis of multiple sites","N023x00","","IMRD"
"N023y00","Gouty arthritis of other specified site","N023y00","","IMRD"
"N023z00","Gouty arthritis NOS","N023z00","","IMRD"
"Nyu1700","[X]Other secondary gout","Nyu1700","","IMRD"
"Nyu1C00","[X]Gouty arthrpathy due/enzym defects+oth inherit disordr CE","Nyu1C00","","IMRD"
