"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"242","Allotransplantation of heart NEC","7901000","","CPRD_GOLD"
"250","Transplantation of heart and lung","7900.00","","CPRD_GOLD"
"398","Congestive heart failure","G580.00","","CPRD_GOLD"
"558","Acute pulmonary oedema unspecified","H584.00","","CPRD_GOLD"
"562","Left ventricular hypertrophy","G5y3411","","CPRD_GOLD"
"884","Left ventricular failure","G581.00","","CPRD_GOLD"
"1223","Cardiac failure","G58..11","","CPRD_GOLD"
"1585","Pulmonary congestion","H541.00","","CPRD_GOLD"
"2062","Heart failure","G58..00","","CPRD_GOLD"
"2906","Congestive cardiac failure","G580.11","","CPRD_GOLD"
"4024","Heart failure NOS","G58z.00","","CPRD_GOLD"
"4438","Other transplantation of heart","7901.00","","CPRD_GOLD"
"5141","Congestive cardiomyopathy","G554000","","CPRD_GOLD"
"5155","O/E - pulmonary oedema","23E1.00","","CPRD_GOLD"
"5255","Acute left ventricular failure","G581000","","CPRD_GOLD"
"5293","Acute pulmonary oedema NOS","H584z00","","CPRD_GOLD"
"5695","Chronic cor pulmonale","G41z.11","","CPRD_GOLD"
"5942","Impaired left ventricular function","G581.13","","CPRD_GOLD"
"7251","Impaired left ventricular function","33BA.00","","CPRD_GOLD"
"7321","Pulmonary oedema NOS","H541z00","","CPRD_GOLD"
"8464","Acute cor pulmonale","G400.00","","CPRD_GOLD"
"8966","Left ventricular systolic dysfunction","G5yy900","","CPRD_GOLD"
"9384","[V]Heart transplanted","ZV42100","","CPRD_GOLD"
"9524","Biventricular failure","G580.14","","CPRD_GOLD"
"9913","Heart failure confirmed","1O1..00","","CPRD_GOLD"
"10079","Right heart failure","G580.12","","CPRD_GOLD"
"10154","Right ventricular failure","G580.13","","CPRD_GOLD"
"11284","Echocardiogram shows left ventricular systolic dysfunction","585f.00","","CPRD_GOLD"
"11351","Echocardiogram shows left ventricular diastolic dysfunction","585g.00","","CPRD_GOLD"
"11424","Compensated cardiac failure","G580300","","CPRD_GOLD"
"12550","Left ventricular diastolic dysfunction","G5yyA00","","CPRD_GOLD"
"12590","Weak heart","G58z.11","","CPRD_GOLD"
"12627","Seen in heart failure clinic","9N0k.00","","CPRD_GOLD"
"13189","New York Heart Association classification - class II","662g.00","","CPRD_GOLD"
"15058","H/O: heart failure","14A6.00","","CPRD_GOLD"
"16173","Hypertensive heart disease NOS","G21zz00","","CPRD_GOLD"
"16292","Hypertensive heart disease","G21..00","","CPRD_GOLD"
"17278","Cardiac failure NOS","G58z.12","","CPRD_GOLD"
"17851","Heart failure follow-up","8HBE.00","","CPRD_GOLD"
"18853","New York Heart Association classification - class I","662f.00","","CPRD_GOLD"
"19002","Seen by community heart failure nurse","9N2p.00","","CPRD_GOLD"
"19066","New York Heart Association classification - class III","662h.00","","CPRD_GOLD"
"19380","Heart failure review completed","9Or0.00","","CPRD_GOLD"
"20324","[D]Cardiorespiratory failure","R2y1000","","CPRD_GOLD"
"20822","Congenital cardiac failure","Q48y100","","CPRD_GOLD"
"21837","Hypertensive heart&renal dis wth (congestive) heart failure","G232.00","","CPRD_GOLD"
