"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"14A6.00","H/O: heart failure","14A6.00","","IMRD"
"14AM.00","H/O: Heart failure in last year","14AM.00","","IMRD"
"1O1..00","Heart failure confirmed","1O1..00","","IMRD"
"23E1.00","O/E - pulmonary oedema","23E1.00","","IMRD"
"2JZ..00","On optimal heart failure therapy","2JZ..00","","IMRD"
"33BA.00","Impaired left ventricular function","33BA.00","","IMRD"
"388D.00","New York Heart Assoc classification heart failure symptoms","388D.00","","IMRD"
"585f.00","Echocardiogram shows left ventricular systolic dysfunction","585f.00","","IMRD"
"585g.00","Echocardiogram shows left ventricular diastolic dysfunction","585g.00","","IMRD"
"661N500","Heart failure self-management plan review","661N500","","IMRD"
"662f.00","New York Heart Association classification - class I","662f.00","","IMRD"
"662g.00","New York Heart Association classification - class II","662g.00","","IMRD"
"662h.00","New York Heart Association classification - class III","662h.00","","IMRD"
"662i.00","New York Heart Association classification - class IV","662i.00","","IMRD"
"662p.00","Heart failure 6 month review","662p.00","","IMRD"
"662W.00","Heart failure annual review","662W.00","","IMRD"
"8B29.00","Cardiac failure therapy","8B29.00","","IMRD"
"8H2S.00","Admit heart failure emergency","8H2S.00","","IMRD"
"8HBE.00","Heart failure follow-up","8HBE.00","","IMRD"
"9Or0.00","Heart failure review completed","9Or0.00","","IMRD"
"G1yz100","Rheumatic left ventricular failure","G1yz100","","IMRD"
"G210100","Malignant hypertensive heart disease with CCF","G210100","","IMRD"
"G211100","Benign hypertensive heart disease with CCF","G211100","","IMRD"
"G21z100","Hypertensive heart disease NOS with CCF","G21z100","","IMRD"
"G232.00","Hypertensive heart&renal dis wth (congestive) heart failure","G232.00","","IMRD"
"G234.00","Hyperten heart&renal dis+both(congestv)heart and renal fail","G234.00","","IMRD"
"G400.00","Acute cor pulmonale","G400.00","","IMRD"
"G41z.11","Chronic cor pulmonale","G41z.11","","IMRD"
"G554000","Congestive cardiomyopathy","G554000","","IMRD"
"G554011","Congestive obstructive cardiomyopathy","G554011","","IMRD"
"G58..00","Heart failure","G58..00","","IMRD"
"G58..11","Cardiac failure","G58..11","","IMRD"
"G580.00","Congestive heart failure","G580.00","","IMRD"
"G580.11","Congestive cardiac failure","G580.11","","IMRD"
"G580.12","Right heart failure","G580.12","","IMRD"
"G580.13","Right ventricular failure","G580.13","","IMRD"
"G580.14","Biventricular failure","G580.14","","IMRD"
"G580000","Acute congestive heart failure","G580000","","IMRD"
"G580100","Chronic congestive heart failure","G580100","","IMRD"
"G580200","Decompensated cardiac failure","G580200","","IMRD"
"G580300","Compensated cardiac failure","G580300","","IMRD"
"G580400","Congestive heart failure due to valvular disease","G580400","","IMRD"
"G581.00","Left ventricular failure","G581.00","","IMRD"
"G581.11","Asthma - cardiac","G581.11","","IMRD"
"G581.12","Pulmonary oedema - acute","G581.12","","IMRD"
"G581.13","Impaired left ventricular function","G581.13","","IMRD"
"G581000","Acute left ventricular failure","G581000","","IMRD"
"G582.00","Acute heart failure","G582.00","","IMRD"
"G583.00","Heart failure with normal ejection fraction","G583.00","","IMRD"
"G583.11","HFNEF - heart failure with normal ejection fraction","G583.11","","IMRD"
"G583.12","Heart failure with preserved ejection fraction","G583.12","","IMRD"
"G584.00","Right ventricular failure","G584.00","","IMRD"
"G58z.00","Heart failure NOS","G58z.00","","IMRD"
"G58z.11","Weak heart","G58z.11","","IMRD"
"G58z.12","Cardiac failure NOS","G58z.12","","IMRD"
"G5y4z00","Post cardiac operation heart failure NOS","G5y4z00","","IMRD"
"G5yy900","Left ventricular systolic dysfunction","G5yy900","","IMRD"
"G5yyA00","Left ventricular diastolic dysfunction","G5yyA00","","IMRD"
"G5yyD00","Left ventricular cardiac dysfunction","G5yyD00","","IMRD"
"Gyu5M00","[X]Other hypertrophic cardiomyopathy","Gyu5M00","","IMRD"
"H54..00","Pulmonary congestion and hypostasis","H54..00","","IMRD"
"H541.00","Pulmonary congestion","H541.00","","IMRD"
"H541000","Chronic pulmonary oedema","H541000","","IMRD"
"H541z00","Pulmonary oedema NOS","H541z00","","IMRD"
"H54z.00","Pulmonary congestion and hypostasis NOS","H54z.00","","IMRD"
"H584.00","Acute pulmonary oedema unspecified","H584.00","","IMRD"
"H584z00","Acute pulmonary oedema NOS","H584z00","","IMRD"
"L09y200","Cardiac failure following abortive pregnancy","L09y200","","IMRD"
"P69..00","Left ventricular outflow tract obstruction","P69..00","","IMRD"
"Q48y100","Congenital cardiac failure","Q48y100","","IMRD"
"Q490.00","Neonatal cardiac failure","Q490.00","","IMRD"
"R2y1000","[D]Cardiorespiratory failure","R2y1000","","IMRD"
"SP11100","Cardiac insufficiency as a complication of care","SP11100","","IMRD"
"SP11111","Heart failure as a complication of care","SP11111","","IMRD"
"ZRad.00","New York Heart Assoc classification heart failure symptoms","ZRad.00","","IMRD"
"8B31F00","Heart failure medication review","8B31F00","","IMRD"
"G585.00","Heart failure with reduced ejection fraction","G585.00","","IMRD"
