"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"G041","Tropical spastic paraplegia","G04.1","","ICD10"
"G114","Hereditary spastic paraplegia","G11.4","","ICD10"
"G800","Spastic quadriplegic cerebral palsy","G80.0","","ICD10"
"G802","Spastic hemiplegic cerebral palsy","G80.2","","ICD10"
"G81","Hemiplegia","G81","","ICD10"
"G810","Flaccid hemiplegia","G81.0","","ICD10"
"G811","Spastic hemiplegia","G81.1","","ICD10"
"G819","Hemiplegia, unspecified","G81.9","","ICD10"
"G82","Paraplegia and tetraplegia","G82","","ICD10"
"G820","Flaccid paraplegia","G82.0","","ICD10"
"G821","Spastic paraplegia","G82.1","","ICD10"
"G822","Paraplegia, unspecified","G82.2","","ICD10"
"G823","Flaccid tetraplegia","G82.3","","ICD10"
"G824","Spastic tetraplegia","G82.4","","ICD10"
"G825","Tetraplegia, unspecified","G82.5","","ICD10"
