"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"2413","Hepatitis C","A70z000","","CPRD_GOLD"
"2834","Viral hepatitis C without mention of hepatic coma","A705000","","CPRD_GOLD"
"28568","Hepatitis C antibody test positive","43X3.00","","CPRD_GOLD"
"28703","[V]Hepatitis C carrier","ZV02C00","","CPRD_GOLD"
"30586","Chronic viral hepatitis C","A707200","","CPRD_GOLD"
"65050","Viral hepatitis C with coma","A704000","","CPRD_GOLD"
"96085","Hepatitis C screening positive - enhanced services admin","9kV..00","","CPRD_GOLD"
"96192","RSV treatment and Hepatitis C treatment drugs Band 1","7Q05300","","CPRD_GOLD"
"98903","Hepatitis C screening positive","9kV..11","","CPRD_GOLD"
"102372","Hepatitis C resolved","2126700","","CPRD_GOLD"
"102565","Hepatitis C PCR positive","4JQD.11","","CPRD_GOLD"
"102568","Hepatitis C viral ribonucleic acid PCR positive","4JQD.00","","CPRD_GOLD"
"104243","Hepatitis C antigen positive","4JQF.00","","CPRD_GOLD"
"104277","H/O hepatitis C antiviral drug therapy","14i..00","","CPRD_GOLD"
"104341","Hepatitis C genotype 1","A70A.00","","CPRD_GOLD"
"104346","Hepatitis C genotype 3","A70C.00","","CPRD_GOLD"
"104572","On hepatitis C treatment plan","9NgR.00","","CPRD_GOLD"
"104579","Acute hepatitis C","A70G.00","","CPRD_GOLD"
"104892","Hepatitis C genotype 4","A70D.00","","CPRD_GOLD"
"105664","Hepatitis C genotype 2","A70B.00","","CPRD_GOLD"
"110411","12 week virologic response to hepatitis C treatment","8BB5.00","","CPRD_GOLD"
"111977","Hepatitis C genotype 5","A70E.00","","CPRD_GOLD"
"111978","Hepatitis C genotype 6","A70F.00","","CPRD_GOLD"
