"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1529013","Blind hypertensive eye","F404200","264008","CPRD_AURUM"
"3135013","Benign essential hypertension","G201.00","1201005","CPRD_AURUM"
"12496011","Hypertensive retinopathy","F421300","6962006","CPRD_AURUM"
"60444016","Benign hypertensive heart disease","G211.00","36221001","CPRD_AURUM"
"64282015","Hypertensive renal disease","G22..00","38481006","CPRD_AURUM"
"80224019","Diastolic hypertension","G203.00","48146000","CPRD_AURUM"
"84111015","Hypertensive encephalopathy","G672.00","50490005","CPRD_AURUM"
"93494011","Systolic hypertension","G202.00","56218007","CPRD_AURUM"
"99042012","Essential hypertension","G20..00","59621000","CPRD_AURUM"
"107545013","Hypertensive heart disease","G21..00","64715009","CPRD_AURUM"
"253532015","Hypertension resolved","212K.00","162659009","CPRD_AURUM"
"262960017","Hypertension induced by oral contraceptive pill","6146200","169465000","CPRD_AURUM"
"264472017","Poor hypertension control","6628.00","170578008","CPRD_AURUM"
"285265015","Seen in hypertension clinic","9N03.00","185264001","CPRD_AURUM"
"299673010","Hypertensive heart and renal disease with renal failure","G233.00","194780003","CPRD_AURUM"
"402166016","Fetus or neonate affected by maternal hypertensive disease","Q000.00","268794002","CPRD_AURUM"
"411508017","Cardiomegaly - hypertensive","G21z011","275516004","CPRD_AURUM"
"451424017","Antihypertensive therapy","8B26.00","308116003","CPRD_AURUM"
"1780318013","Moderate hypertension control","662b.00","401117004","CPRD_AURUM"
"2159168015","Patient on maximal tolerated antihypertensive therapy","8BL0.00","407567007","CPRD_AURUM"
"2011000033113","Antihypertensive Drugs","","2011000033109","CPRD_AURUM"
"28411000033112","Centrally Acting Antihypertensive Drugs","","28411000033108","CPRD_AURUM"
"350601000000116","High cost hypertension drugs","7Q01.00","220901000000101","CPRD_AURUM"
"530221000000112","Trial withdrawal of antihypertensive therapy","662r.00","299561000000105","CPRD_AURUM"
"535651000000113","Trial reduction of antihypertensive therapy declined","8IA6.00","302081000000108","CPRD_AURUM"
"790031000006119","Hypertension annual review","","790031000006103","CPRD_AURUM"
"857151000006119","No H/O: hypertension","","857151000006103","CPRD_AURUM"
"887811000006117","Preg.+ pre-existing hypertensn","L120.99","198942000","CPRD_AURUM"
"909441000006118","[RFC] Hypertension","","909441000006102","CPRD_AURUM"
"1011861000006110","Adverse reaction to Antihypertensive Drugs","","1011861000006106","CPRD_AURUM"
"1706551000000114","Hypertension 9 month review","662P000","766211000000109","CPRD_AURUM"
"1806071000006118","Stage 1 hypertension","","1806071000006102","CPRD_AURUM"
"1806141000006113","Severe hypertension","","1806141000006109","CPRD_AURUM"
"1823901000006112","Hypertension confirmed","","1823901000006108","CPRD_AURUM"
"1858771000006114","AURAS-AF - consider the patient to have hypertension","","1858771000006105","CPRD_AURUM"
"2193031000000112","Stage 1 hypertension","G25..11","843821000000102","CPRD_AURUM"
"940001000006110","Hypertension medication review","","473225006","CPRD_AURUM"
"299655012","Hypertensive heart disease NOS","G21zz00","64715009","CPRD_AURUM"
"299675015","Hypertensive heart and renal disease NOS","G23z.00","86234004","CPRD_AURUM"
"299683014","Secondary renovascular hypertension NOS","G24z000","123799005","CPRD_AURUM"
"299686018","Other specified hypertensive disease","G2y..00","38341003","CPRD_AURUM"
"299687010","Hypertensive disease NOS","G2z..00","38341003","CPRD_AURUM"
"300870016","[X]Other secondary hypertension","Gyu2000","31992008","CPRD_AURUM"
"305764016","Other pre-existing hypertension in preg/childbirth/puerp","L122.00","86041002","CPRD_AURUM"
"395753015","Hypertensive renal disease NOS","G22z.00","38481006","CPRD_AURUM"
"19411000006110","Other pre-exist hypertension in preg/childb/puerp + p/n comp","L122400","86041002","CPRD_AURUM"
"19421000006119","Other pre-exist hypertension in preg/childb/puerp-not deliv","L122300","86041002","CPRD_AURUM"
"19441000006114","Other pre-existing hypertension in preg/childb/puerp NOS","L122z00","86041002","CPRD_AURUM"
"19451000006111","Other pre-existing hypertension in preg/childb/puerp unspec","L122000","86041002","CPRD_AURUM"
"151161000006115","Secondary malignant hypertension","G240.00","89242004","CPRD_AURUM"
"153941000006118","Seen in hypertension clinic","9N1y200","185264001","CPRD_AURUM"
"212961000006118","Pre-eclampsia or eclampsia + pre-existing hypertension NOS","L127z00","198997005","CPRD_AURUM"
"213091000006115","Pre-exist hyperten heart dis compl preg childbth+puerperium","L128000","199006004","CPRD_AURUM"
"728671000006119","Malignant hypertensive heart disease with CCF","G210100","83105008","CPRD_AURUM"
"728681000006116","Malignant hypertensive heart disease without CCF","G210000","36315003","CPRD_AURUM"
"741661000006118","Hypertensive heart disease NOS","G21z.00","64715009","CPRD_AURUM"
