"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"4031011","Old myocardial infarction","G32..00","1755008","CPRD_AURUM"
"7845011","Unstable angina","G311100","4557003","CPRD_AURUM"
"39773018","Coronary artery spasm","G332.00","23687008","CPRD_AURUM"
"59952018","Nocturnal angina","G330000","35928006","CPRD_AURUM"
"94884017","Acute myocardial infarction","G30..00","57054005","CPRD_AURUM"
"109916013","Dressler's syndrome","G310.11","66189004","CPRD_AURUM"
"256452010","ECG: myocardial infarction","323..00","164865005","CPRD_AURUM"
"256454011","ECG: old myocardial infarction","3232.00","164867002","CPRD_AURUM"
"256457016","ECG:posterior/inferior infarct","3234.00","164869004","CPRD_AURUM"
"256458014","ECG: subendocardial infarct","3235.00","164870003","CPRD_AURUM"
"264492012","Angina control","662K.00","170593007","CPRD_AURUM"
"264493019","Angina control - good","662K000","170594001","CPRD_AURUM"
"264495014","Angina control - improving","662K200","170596004","CPRD_AURUM"
"264496010","Angina control - worsening","662K300","170597008","CPRD_AURUM"
"271105012","Revision of bypass for coronary artery","7924.00","175036008","CPRD_AURUM"
"271107016","Revision of bypass for two coronary arteries","7924100","175038009","CPRD_AURUM"
"271109018","Revision of bypass for four or more coronary arteries","7924300","175040004","CPRD_AURUM"
"271110011","Revision of connection of thoracic artery to coronary artery","7924400","175041000","CPRD_AURUM"
"271111010","Revision of implantation of thoracic artery into heart","7924500","175042007","CPRD_AURUM"
"271126012","Single implantation of mammary artery into coronary artery","7925400","175050003","CPRD_AURUM"
"271166011","Replacement of coronary arteries using multiple methods","792C000","175085003","CPRD_AURUM"
"299712015","True posterior myocardial infarction","G306.00","194802003","CPRD_AURUM"
"299719012","Acute atrial infarction","G30y000","194809007","CPRD_AURUM"
"299745015","Acute coronary insufficiency","G31y000","194823009","CPRD_AURUM"
"299758019","Stenocardia","G33z100","194828000","CPRD_AURUM"
"299782012","Single coronary vessel disease","G340000","194842008","CPRD_AURUM"
"299796018","Ischaemic cardiomyopathy","G343.00","194849004","CPRD_AURUM"
"299808017","Subsequent myocardial infarction","G35..00","194856005","CPRD_AURUM"
"299811016","Subsequent myocardial infarction of anterior wall","G350.00","194857001","CPRD_AURUM"
"299812011","Subsequent myocardial infarction of inferior wall","G351.00","194858006","CPRD_AURUM"
"324808010","Mechanical complication of coronary bypass","SP00300","213037002","CPRD_AURUM"
"350346019","Triple vessel disease of the heart","G340.11","233817007","CPRD_AURUM"
"350350014","New onset angina","G33z600","233821000","CPRD_AURUM"
"350354017","Silent myocardial ischaemia","G344.00","233823002","CPRD_AURUM"
"350376014","Silent myocardial infarction","G30..17","233843008","CPRD_AURUM"
"350379019","Cardiac syndrome X","G37..00","233845001","CPRD_AURUM"
"394286010","Double anastomosis of mammary arteries to coronary arteries","7925000","265481001","CPRD_AURUM"
"397829016","H/O: cardiovascular disease","14A..00","266995000","CPRD_AURUM"
"411160017","RIMA single anastomosis","7925312","275216000","CPRD_AURUM"
"411213017","RIMA sequential anastomosis","7925012","275253006","CPRD_AURUM"
"411874010","H/O: myocardial problem","14A..12","275905002","CPRD_AURUM"
"447324018","Acute Q-wave infarct","G309.00","304914007","CPRD_AURUM"
"450322013","Acute non-Q wave infarction","G307000","307140009","CPRD_AURUM"
"451369010","H/O: Myocardial infarction in last year","14AH.00","308065005","CPRD_AURUM"
"451370011","H/O: Angina in last year","14AJ.00","308066006","CPRD_AURUM"
"451372015","H/O: Treatment for ischaemic heart disease","14AL.00","308068007","CPRD_AURUM"
"451425016","Antianginal therapy","8B27.00","308117007","CPRD_AURUM"
"458410010","Post infarct angina","G33z500","314116003","CPRD_AURUM"
"459487012","Refractory angina","G311300","315025001","CPRD_AURUM"
"484402013","Percutaneous transluminal laser coronary angioplasty","7929000","29843007","CPRD_AURUM"
"494261017","Worsening angina","G311400","4557003","CPRD_AURUM"
"494438016","Subendocardial ischaemia","G31y200","46109009","CPRD_AURUM"
"1221061012","Open angioplasty of coronary artery","7927500","14201006","CPRD_AURUM"
"1229885017","Microinfarction of heart","G31y100","42531007","CPRD_AURUM"
"1234005010","Acute inferoposterior infarction","G303.00","76593002","CPRD_AURUM"
"1235225010","Prinzmetal's angina","G331.00","87343002","CPRD_AURUM"
"1484833014","Coronary heart disease review","6A4..00","390799004","CPRD_AURUM"
"1488382011","Acute coronary syndrome","G311500","394659003","CPRD_AURUM"
"1786197015","Coronary thrombosis","G30..12","398274000","CPRD_AURUM"
"2474304012","Radionuclide heart study abnormal","5C11.00","412747004","CPRD_AURUM"
"2534664018","Ischaemic heart disease","G3...00","414545008","CPRD_AURUM"
"2534674015","Chronic myocardial ischaemia","G34y100","413844008","CPRD_AURUM"
"2535176014","Percutaneous coronary intervention","792E.00","415070008","CPRD_AURUM"
"2537480011","IHD - Ischaemic heart disease","G3...13","414545008","CPRD_AURUM"
"2619484018","MI - Myocardial infarction aborted","G311011","194821006","CPRD_AURUM"
"2675364014","Repair of rupture of coronary artery","792B100","426104007","CPRD_AURUM"
