"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"14A..00","H/O: cardiovascular disease","14A..00","","IMRD"
"14A..12","H/O: myocardial problem","14A..12","","IMRD"
"14A3.00","H/O: myocardial infarct <60","14A3.00","","IMRD"
"14A4.00","H/O: myocardial infarct >60","14A4.00","","IMRD"
"14A5.00","H/O: angina pectoris","14A5.00","","IMRD"
"14AA.00","H/O: heart disease NOS","14AA.00","","IMRD"
"14AH.00","H/O: Myocardial infarction in last year","14AH.00","","IMRD"
"14AJ.00","H/O: Angina in last year","14AJ.00","","IMRD"
"14AL.00","H/O: Treatment for ischaemic heart disease","14AL.00","","IMRD"
"14AT.00","History of myocardial infarction","14AT.00","","IMRD"
"14AW.00","H/O acute coronary syndrome","14AW.00","","IMRD"
"187..00","Frequency of angina","187..00","","IMRD"
"322..00","ECG: myocardial ischaemia","322..00","","IMRD"
"3222.00","ECG:shows myocardial ischaemia","3222.00","","IMRD"
"322Z.00","ECG: myocardial ischaemia NOS","322Z.00","","IMRD"
"323..00","ECG: myocardial infarction","323..00","","IMRD"
"3232.00","ECG: old myocardial infarction","3232.00","","IMRD"
"3233.00","ECG: antero-septal infarct.","3233.00","","IMRD"
"3234.00","ECG:posterior/inferior infarct","3234.00","","IMRD"
"3235.00","ECG: subendocardial infarct","3235.00","","IMRD"
"3236.00","ECG: lateral infarction","3236.00","","IMRD"
"323Z.00","ECG: myocardial infarct NOS","323Z.00","","IMRD"
"33B9500","Exercise tolerance test abnormal","33B9500","","IMRD"
"5533.00","Angiocardiography abnormal","5533.00","","IMRD"
"5543.00","Coronary arteriograph.abnormal","5543.00","","IMRD"
"5C11.00","Radionuclide heart study abnormal","5C11.00","","IMRD"
"661M000","Angina self-management plan agreed","661M000","","IMRD"
"661N000","Angina self-management plan review","661N000","","IMRD"
"662K.00","Angina control","662K.00","","IMRD"
"662K000","Angina control - good","662K000","","IMRD"
"662K100","Angina control - poor","662K100","","IMRD"
"662K200","Angina control - improving","662K200","","IMRD"
"662K300","Angina control - worsening","662K300","","IMRD"
"662K400","Angina self management plan commenced","662K400","","IMRD"
"662K500","Angina self management plan completed","662K500","","IMRD"
"662Kz00","Angina control NOS","662Kz00","","IMRD"
"6A2..00","Coronary heart disease annual review","6A2..00","","IMRD"
"6A4..00","Coronary heart disease review","6A4..00","","IMRD"
"792..00","Coronary artery operations","792..00","","IMRD"
"792..11","Coronary artery bypass graft operations","792..11","","IMRD"
"7920.00","Saphenous vein graft replacement of coronary artery","7920.00","","IMRD"
"7920.11","Saphenous vein graft bypass of coronary artery","7920.11","","IMRD"
"7920000","Saphenous vein graft replacement of one coronary artery","7920000","","IMRD"
"7920100","Saphenous vein graft replacement of two coronary arteries","7920100","","IMRD"
"7920200","Saphenous vein graft replacement of three coronary arteries","7920200","","IMRD"
"7920300","Saphenous vein graft replacement of four+ coronary arteries","7920300","","IMRD"
"7920y00","Saphenous vein graft replacement of coronary artery OS","7920y00","","IMRD"
"7920z00","Saphenous vein graft replacement coronary artery NOS","7920z00","","IMRD"
"7921.00","Other autograft replacement of coronary artery","7921.00","","IMRD"
"7921.11","Other autograft bypass of coronary artery","7921.11","","IMRD"
"7921000","Autograft replacement of one coronary artery NEC","7921000","","IMRD"
"7921100","Autograft replacement of two coronary arteries NEC","7921100","","IMRD"
"7921200","Autograft replacement of three coronary arteries NEC","7921200","","IMRD"
"7921300","Autograft replacement of four of more coronary arteries NEC","7921300","","IMRD"
"7921y00","Other autograft replacement of coronary artery OS","7921y00","","IMRD"
"7921z00","Other autograft replacement of coronary artery NOS","7921z00","","IMRD"
"7922.00","Allograft replacement of coronary artery","7922.00","","IMRD"
"7922.11","Allograft bypass of coronary artery","7922.11","","IMRD"
"7922000","Allograft replacement of one coronary artery","7922000","","IMRD"
"7922100","Allograft replacement of two coronary arteries","7922100","","IMRD"
"7922200","Allograft replacement of three coronary arteries","7922200","","IMRD"
"7922300","Allograft replacement of four or more coronary arteries","7922300","","IMRD"
"7922y00","Other specified allograft replacement of coronary artery","7922y00","","IMRD"
"7922z00","Allograft replacement of coronary artery NOS","7922z00","","IMRD"
"7923.00","Prosthetic replacement of coronary artery","7923.00","","IMRD"
"7923.11","Prosthetic bypass of coronary artery","7923.11","","IMRD"
"7923000","Prosthetic replacement of one coronary artery","7923000","","IMRD"
"7923100","Prosthetic replacement of two coronary arteries","7923100","","IMRD"
"7923200","Prosthetic replacement of three coronary arteries","7923200","","IMRD"
"7923300","Prosthetic replacement of four or more coronary arteries","7923300","","IMRD"
"7923y00","Other specified prosthetic replacement of coronary artery","7923y00","","IMRD"
"7923z00","Prosthetic replacement of coronary artery NOS","7923z00","","IMRD"
"7924.00","Revision of bypass for coronary artery","7924.00","","IMRD"
"7924000","Revision of bypass for one coronary artery","7924000","","IMRD"
"7924100","Revision of bypass for two coronary arteries","7924100","","IMRD"
"7924200","Revision of bypass for three coronary arteries","7924200","","IMRD"
"7924300","Revision of bypass for four or more coronary arteries","7924300","","IMRD"
"7924400","Revision of connection of thoracic artery to coronary artery","7924400","","IMRD"
"7924500","Revision of implantation of thoracic artery into heart","7924500","","IMRD"
"7924y00","Other specified revision of bypass for coronary artery","7924y00","","IMRD"
"7924z00","Revision of bypass for coronary artery NOS","7924z00","","IMRD"
"7925.00","Connection of mammary artery to coronary artery","7925.00","","IMRD"
"7925.11","Creation of bypass from mammary artery to coronary artery","7925.11","","IMRD"
"7925000","Double anastomosis of mammary arteries to coronary arteries","7925000","","IMRD"
"7925011","LIMA sequential anastomosis","7925011","","IMRD"
"7925012","RIMA sequential anastomosis","7925012","","IMRD"
"7925100","Double implant of mammary arteries into coronary arteries","7925100","","IMRD"
"7925200","Single anast mammary art to left ant descend coronary art","7925200","","IMRD"
"7925300","Single anastomosis of mammary artery to coronary artery NEC","7925300","","IMRD"
"7925311","LIMA single anastomosis","7925311","","IMRD"
"7925312","RIMA single anastomosis","7925312","","IMRD"
"7925400","Single implantation of mammary artery into coronary artery","7925400","","IMRD"
"7925y00","Connection of mammary artery to coronary artery OS","7925y00","","IMRD"
"7925z00","Connection of mammary artery to coronary artery NOS","7925z00","","IMRD"
"7926.00","Connection of other thoracic artery to coronary artery","7926.00","","IMRD"
"7926000","Double anastom thoracic arteries to coronary arteries NEC","7926000","","IMRD"
"7926100","Double implant thoracic arteries into coronary arteries NEC","7926100","","IMRD"
"7926200","Single anastomosis of thoracic artery to coronary artery NEC","7926200","","IMRD"
"7926300","Single implantation thoracic artery into coronary artery NEC","7926300","","IMRD"
"7926y00","Connection of other thoracic artery to coronary artery OS","7926y00","","IMRD"
"7926z00","Connection of other thoracic artery to coronary artery NOS","7926z00","","IMRD"
"7927.00","Other open operations on coronary artery","7927.00","","IMRD"
"7927000","Repair of arteriovenous fistula of coronary artery","7927000","","IMRD"
"7927200","Transection of muscle bridge of coronary artery","7927200","","IMRD"
"7927500","Open angioplasty of coronary artery","7927500","","IMRD"
"7927y00","Other specified other open operation on coronary artery","7927y00","","IMRD"
"7927z00","Other open operation on coronary artery NOS","7927z00","","IMRD"
"7928.00","Transluminal balloon angioplasty of coronary artery","7928.00","","IMRD"
"7928.11","Percutaneous balloon coronary angioplasty","7928.11","","IMRD"
"7928000","Percut transluminal balloon angioplasty one coronary artery","7928000","","IMRD"
"7928100","Percut translum balloon angioplasty mult coronary arteries","7928100","","IMRD"
"7928200","Percut translum balloon angioplasty bypass graft coronary a","7928200","","IMRD"
"7928300","Percut translum cutting balloon angioplasty coronary artery","7928300","","IMRD"
"7928y00","Transluminal balloon angioplasty of coronary artery OS","7928y00","","IMRD"
"7928z00","Transluminal balloon angioplasty of coronary artery NOS","7928z00","","IMRD"
"7929.00","Other therapeutic transluminal operations on coronary artery","7929.00","","IMRD"
"7929000","Percutaneous transluminal laser coronary angioplasty","7929000","","IMRD"
"7929100","Percut transluminal coronary thrombolysis with streptokinase","7929100","","IMRD"
"7929111","Percut translum coronary thrombolytic therapy- streptokinase","7929111","","IMRD"
"7929200","Percut translum inject therap subst to coronary artery NEC","7929200","","IMRD"
"7929300","Rotary blade coronary angioplasty","7929300","","IMRD"
"7929400","Insertion of coronary artery stent","7929400","","IMRD"
"7929500","Insertion of drug-eluting coronary artery stent","7929500","","IMRD"
"7929600","Percutaneous transluminal atherectomy of coronary artery","7929600","","IMRD"
"7929y00","Other therapeutic transluminal op on coronary artery OS","7929y00","","IMRD"
"7929z00","Other therapeutic transluminal op on coronary artery NOS","7929z00","","IMRD"
"792B.00","Repair of coronary artery NEC","792B.00","","IMRD"
"792B000","Endarterectomy of coronary artery NEC","792B000","","IMRD"
"792B100","Repair of rupture of coronary artery","792B100","","IMRD"
"792By00","Other specified repair of coronary artery","792By00","","IMRD"
"792Bz00","Repair of coronary artery NOS","792Bz00","","IMRD"
"792C.00","Other replacement of coronary artery","792C.00","","IMRD"
"792C000","Replacement of coronary arteries using multiple methods","792C000","","IMRD"
"792Cy00","Other specified replacement of coronary artery","792Cy00","","IMRD"
"792Cz00","Replacement of coronary artery NOS","792Cz00","","IMRD"
"792D.00","Other bypass of coronary artery","792D.00","","IMRD"
"792Dy00","Other specified other bypass of coronary artery","792Dy00","","IMRD"
"792Dz00","Other bypass of coronary artery NOS","792Dz00","","IMRD"
"792E.00","Percutaneous coronary intervention","792E.00","","IMRD"
"792E000","Emergency percutaneous coronary intervention","792E000","","IMRD"
"792y.00","Other specified operations on coronary artery","792y.00","","IMRD"
"792z.00","Coronary artery operations NOS","792z.00","","IMRD"
"793G.00","Perc translumin balloon angioplasty stenting coronary artery","793G.00","","IMRD"
