"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"G46","Vascular syndromes of brain in cerebrovascular diseases","G46","","ICD10"
"G460","Middle cerebral artery syndrome","G46.0","","ICD10"
"G461","Anterior cerebral artery syndrome","G46.1","","ICD10"
"G462","Posterior cerebral artery syndrome","G46.2","","ICD10"
"G463","Brain stem stroke syndrome","G46.3","","ICD10"
"G464","Cerebellar stroke syndrome","G46.4","","ICD10"
"G465","Pure motor lacunar syndrome","G46.5","","ICD10"
"G466","Pure sensory lacunar syndrome","G46.6","","ICD10"
"G467","Other lacunar syndromes","G46.7","","ICD10"
"G468","Other vascular syndromes of brain in cerebrovascular diseases","G46.8","","ICD10"
"I63","Cerebral infarction","I63","","ICD10"
"I630","Cerebral infarction due to thrombosis of precerebral arteries","I63.0","","ICD10"
"I631","Cerebral infarction due to embolism of precerebral arteries","I63.1","","ICD10"
"I632","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","I63.2","","ICD10"
"I633","Cerebral infarction due to thrombosis of cerebral arteries","I63.3","","ICD10"
"I634","Cerebral infarction due to embolism of cerebral arteries","I63.4","","ICD10"
"I635","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","I63.5","","ICD10"
"I636","Cerebral infarction due to cerebral venous thrombosis, nonpyogenic","I63.6","","ICD10"
"I638","Other cerebral infarction","I63.8","","ICD10"
"I639","Cerebral infarction, unspecified","I63.9","","ICD10"
