"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"13594019","Thought retardation","1Ba2.00","7627009","CPRD_AURUM"
"413177014","Educationally subnormal","E30..11","276854003","CPRD_AURUM"
"2474674015","Learning disabilities health assessment","9HB3.00","413126003","CPRD_AURUM"
"2474708013","Learning disabilities health action plan declined","9HB0.00","413162002","CPRD_AURUM"
"2474709017","Learning disabilities health action plan reviewed","9HB2.00","413163007","CPRD_AURUM"
"2548475019","On learning disability register","918e.00","416075005","CPRD_AURUM"
"882781000006116","Moderate mental retardation","E310.99","61152003","CPRD_AURUM"
"882791000006118","Severe mental retardation","E311.99","40700009","CPRD_AURUM"
"906941000006119","[RFC] Learning disabilities","","906941000006103","CPRD_AURUM"
"1009521000006116","Cause of learning disabilities","","1009521000006100","CPRD_AURUM"
"1009531000006118","Cause of learning disabilities: Down's syndrome","","1009531000006102","CPRD_AURUM"
"1009541000006111","Cause of learning disabilities: Tuberous sclerosis","","1009541000006107","CPRD_AURUM"
"1009561000006110","Cause of learning disabilities: Meningitis/encephalitis","","1009561000006106","CPRD_AURUM"
"1009571000006115","Cause of learning disabilities: Fragile X syndrome","","1009571000006104","CPRD_AURUM"
"1009591000006119","Cause of learning disabilities: Brain tumour","","1009591000006103","CPRD_AURUM"
"1009601000006110","Cause of learning disabilities: Congenital hydrocephalus","","1009601000006106","CPRD_AURUM"
"1009631000006119","Cause of learning disabilities: Prader-Willi syndrome","","1009631000006103","CPRD_AURUM"
"1009671000006116","Cause of learning disablts: Unknown/awaiting investigation","","1009671000006100","CPRD_AURUM"
"1009691000006115","Cause of learning disabilities: Other","","1009691000006104","CPRD_AURUM"
"1142901000000119","Learning disabilities annual health assessment declined","9HB6.00","514021000000103","CPRD_AURUM"
"1162851000000116","Learning disability annual health check invitation","9mA..00","520801000000100","CPRD_AURUM"
"1563991000006112","Learning disability - specialty","","1563991000006108","CPRD_AURUM"
"1620441000006116","Learning disability","","1620441000006100","CPRD_AURUM"
"1823961000006113","Learning disability confirmed","","1823961000006109","CPRD_AURUM"
"1856971000006112","Did not attend learning disability monitoring","","1856971000006108","CPRD_AURUM"
"2379351000000119","Died in learning disability unit","949H.00","713050009","CPRD_AURUM"
"2008481000006110","Learning disabilities: reasonable adjustments","","2008481000006106","CPRD_AURUM"
"329968011","Cretinism","C03z.12","217710005","CPRD_AURUM"
"1775531012","Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities","","237616002","CPRD_AURUM"
"2534201018","Learning disabilities health action plan completed","9HB4.00","712491005","CPRD_AURUM"
"395071000006112","[X]Learning disorder NOS","Eu81z12","1855002","CPRD_AURUM"
"398241000006118","[X]Mental retardation with autistic features","Eu84112","231536004","CPRD_AURUM"
"398411000006116","[X]Mild mental subnormality","Eu70.12","86765009","CPRD_AURUM"
"1129781000000117","[X]Severe learning disability","Eu81500","508171000000105","CPRD_AURUM"
"1129811000000119","[X]Moderate learning disability","Eu81400","984671000000103","CPRD_AURUM"
"1550051000000113","[X]Profound learning disability","Eu81700","984681000000101","CPRD_AURUM"
"600791000006112","Cretinism","C03..11","217710005","CPRD_AURUM"
"151009017","Mental retardation","E3...00","110359009","CPRD_AURUM"
"295661017","Other specified mental retardation","E3y..00","110359009","CPRD_AURUM"
"296586012","[X]Other mental retardation","Eu7y.00","110359009","CPRD_AURUM"
"296592018","[X]Other mental retardation, other impairments of behaviour","Eu7yy00","110359009","CPRD_AURUM"
"401902015","[X]Unspecified mental retardation","Eu7z.00","110359009","CPRD_AURUM"
"398201000006115","[X]Mental deficiency NOS","Eu7z.11","110359009","CPRD_AURUM"
"398231000006111","[X]Mental retardation","Eu7..00","110359009","CPRD_AURUM"
"398251000006116","[X]Mental subnormality NOS","Eu7z.12","110359009","CPRD_AURUM"
"404851000006117","[X]Oth mental retard sig impairment behav req attent/treatmt","Eu7y100","110359009","CPRD_AURUM"
"404861000006115","[X]Oth mental retard with statement no or min impairm behav","Eu7y000","110359009","CPRD_AURUM"
"430061000006113","[X]Unsp mental retard with statement no or min impairm behav","Eu7z000","110359009","CPRD_AURUM"
"430071000006118","[X]Unsp mental retardation without mention impairment behav","Eu7zz00","110359009","CPRD_AURUM"
"431231000006115","[X]Unspecified mental retardatn, other impairments of behav","Eu7zy00","110359009","CPRD_AURUM"
"395051000006119","[X]Learn acquisition disab NOS","Eu81z13","110359009","CPRD_AURUM"
"3910931000006119","Mild learning disability, intelligence quotient in range 50-70","","86765009","CPRD_AURUM"
"3003351000006112","Profound learning impairment, intelligence quotient less than 20","","31216003","CPRD_AURUM"
"3493651000006114","Moderate mental retardation (Intelligence Quotient 35-49)","","61152003","CPRD_AURUM"
"2621261000006114","Retardation of thought, function","","7627009","CPRD_AURUM"
"5108961000006115","Endemic cretinism - neurological type","","237566004","CPRD_AURUM"
"3003321000006115","Profound learning disability with intelligence quotient less than 20","","31216003","CPRD_AURUM"
"3003331000006117","Profound learning impairment with intelligence quotient less than 20","","31216003","CPRD_AURUM"
"3155151000006112","Severe learning disability","","40700009","CPRD_AURUM"
"3493661000006111","Moderate learning disability, intelligence quotient in range 35-49","","61152003","CPRD_AURUM"
"5108941000006119","Endemic cretinism - mixed type","","237565000","CPRD_AURUM"
"7567011000006112","Lubs X-linked mental retardation syndrome","","702816000","CPRD_AURUM"
"7577251000006111","Microcephaly, mental retardation and distinct features, with or without Hirschsprung disease","","703535000","CPRD_AURUM"
"12181621000006113","Severe intellectual development disorder","","40700009","CPRD_AURUM"
"4976471000006117","Intellectual disability","","228156007","CPRD_AURUM"
"11998101000006118","Intellectual developmental disorder","","110359009","CPRD_AURUM"
"3910941000006112","Mild learning impairment, intelligence quotient in range 50-70","","86765009","CPRD_AURUM"
"3720391000006119","Endemic cretinism - hypothyroid","","75065003","CPRD_AURUM"
"8191411000006110","[X]Severe learning disability","","508171000000105","CPRD_AURUM"
"2528331000006110","Learning disorder","","1855002","CPRD_AURUM"
"3155201000006115","Severe learning impairment, intelligence quotient in range 20-34","","40700009","CPRD_AURUM"
"8337591000006110","Significant intellectual disability","","931001000000105","CPRD_AURUM"
"3493671000006116","Moderate learning impairment, intelligence quotient in range 35-49","","61152003","CPRD_AURUM"
"12177541000006119","Profound intellectual development disorder","","31216003","CPRD_AURUM"
"2621241000006110","Retardation of thought","","7627009","CPRD_AURUM"
"12337641000006113","X-linked intellectual disability with marfanoid habitus","","422437002","CPRD_AURUM"
"7577261000006113","Hirschsprung disease-mental retardation syndrome","","703535000","CPRD_AURUM"
"3493681000006118","Moderate learning disability","","61152003","CPRD_AURUM"
"5591451000006112","ESN - Educationally subnormal","","276854003","CPRD_AURUM"
"3910921000006117","Mild mental retardation (Intelligence Quotient 50-70)","","86765009","CPRD_AURUM"
"3003311000006111","Profound mental retardation (Intelligence Quotient below 20)","","31216003","CPRD_AURUM"
"6989771000006117","X-linked mental retardation with marfanoid habitus syndrome","","422437002","CPRD_AURUM"
"12487761000006115","Mental retardation","","91138005","CPRD_AURUM"
"12703941000006115","Severe mental retardation (I.Q. 20-34)","","40700009","CPRD_AURUM"
"3980931000006116","MR - Mental retardation","","91138005","CPRD_AURUM"
"12703921000006110","Profound mental retardation (I.Q. below 20)","","31216003","CPRD_AURUM"
"12703791000006110","Moderate mental retardation (I.Q. 35-49)","","61152003","CPRD_AURUM"
"12728531000006116","Other specified mental retardation NOS","","686511000000102","CPRD_AURUM"
"146051000006113","Severe mental retardation, IQ in range 20-34","E311.00","40700009","CPRD_AURUM"
"201751000006110","Profound mental retardation with IQ less than 20","E312.00","31216003","CPRD_AURUM"
"398391000006116","[X]Mild mental retardation without mention impairment behav","Eu70z00","86765009","CPRD_AURUM"
"398781000006115","[X]Mod mental retardation without mention impairment behav","Eu71z00","61152003","CPRD_AURUM"
"398821000006114","[X]Moderate mental subnormality","Eu71.11","61152003","CPRD_AURUM"
"417681000006116","[X]Overactive disorder assoc mental retard/stereotype movts","Eu84400","35919005","CPRD_AURUM"
"423501000006112","[X]Profound mental retardation","Eu73.00","31216003","CPRD_AURUM"
"423521000006119","[X]Profound mental subnormality","Eu73.11","31216003","CPRD_AURUM"
"426541000006119","[X]Sev mental retardation without mention impairment behav","Eu72z00","40700009","CPRD_AURUM"
"426591000006111","[X]Severe mental retardation","Eu72.00","40700009","CPRD_AURUM"
"426611000006117","[X]Severe mental subnormality","Eu72.11","40700009","CPRD_AURUM"
"785941000006115","Imbecile","E310.11","61152003","CPRD_AURUM"
"296557014","[X]Mild mental retardation, other impairments of behaviour","Eu70y00","86765009","CPRD_AURUM"
"296565012","[X]Mod retard oth behav impair","Eu71y00","61152003","CPRD_AURUM"
"296574014","[X]Severe mental retardation, other impairments of behaviour","Eu72y00","40700009","CPRD_AURUM"
"398661000006116","[X]Mld mental retard with statement no or min impairm behav","Eu70000","86765009","CPRD_AURUM"
"423481000006119","[X]Profound ment retard sig impairmnt behav req attent/treat","Eu73100","31216003","CPRD_AURUM"
"12190771000006114","Moderate intellectual disability","","61152003","CPRD_AURUM"
"12202441000006114","Mild intellectual disability","","86765009","CPRD_AURUM"
"882801000006117","Mental subnormality NOS","E31z.99","686511000000102","CPRD_AURUM"
"988941000006119","Mental subnormality NOS","E3...98","91138005","CPRD_AURUM"
"398761000006113","[X]Mod mental retard sig impairment behav req attent/treatmt","Eu71100","61152003","CPRD_AURUM"
"398771000006118","[X]Mod mental retard with statement no or min impairm behav","Eu71000","61152003","CPRD_AURUM"
"426521000006114","[X]Sev mental retard sig impairment behav req attent/treatmt","Eu72100","40700009","CPRD_AURUM"
"426531000006112","[X]Sev mental retard with statement no or min impairm behav","Eu72000","40700009","CPRD_AURUM"
"882761000006114","Mental subnormality","E3...99","91138005","CPRD_AURUM"
"398811000006118","[X]Moderate mental retardation","Eu71.00","61152003","CPRD_AURUM"
