"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"241","Acute myocardial infarction","G30..00","","CPRD_GOLD"
"1204","Heart attack","G30..14","","CPRD_GOLD"
"1677","MI - acute myocardial infarction","G30..15","","CPRD_GOLD"
"1678","Inferior myocardial infarction NOS","G308.00","","CPRD_GOLD"
"2491","Coronary thrombosis","G30..12","","CPRD_GOLD"
"3704","Acute subendocardial infarction","G307.00","","CPRD_GOLD"
"4017","Old myocardial infarction","G32..00","","CPRD_GOLD"
"5387","Other specified anterior myocardial infarction","G301.00","","CPRD_GOLD"
"7783","ECG: myocardial infarction","323..00","","CPRD_GOLD"
"8935","Acute inferolateral infarction","G302.00","","CPRD_GOLD"
"9507","Acute non-Q wave infarction","G307000","","CPRD_GOLD"
"10562","Acute non-ST segment elevation myocardial infarction","G307100","","CPRD_GOLD"
"12139","Acute anterolateral infarction","G300.00","","CPRD_GOLD"
"12229","Acute ST segment elevation myocardial infarction","G30X000","","CPRD_GOLD"
"13566","Attack - heart","G30..11","","CPRD_GOLD"
"13571","Thrombosis - coronary","G30..16","","CPRD_GOLD"
"14658","Acute myocardial infarction NOS","G30z.00","","CPRD_GOLD"
"14897","Anterior myocardial infarction NOS","G301z00","","CPRD_GOLD"
"14898","Lateral myocardial infarction NOS","G305.00","","CPRD_GOLD"
"15661","Dressler's syndrome","G310.11","","CPRD_GOLD"
"16408","Healed myocardial infarction","G32..11","","CPRD_GOLD"
"17133","Mural thrombosis","G30A.00","","CPRD_GOLD"
"17464","Personal history of myocardial infarction","G32..12","","CPRD_GOLD"
"17689","Silent myocardial infarction","G30..17","","CPRD_GOLD"
"17872","Acute anteroseptal infarction","G301100","","CPRD_GOLD"
"18842","Subsequent myocardial infarction","G35..00","","CPRD_GOLD"
"23579","Postmyocardial infarction syndrome","G310.00","","CPRD_GOLD"
"23708","Atrial septal defect/curr comp folow acut myocardal infarct","G361.00","","CPRD_GOLD"
"23892","Posterior myocardial infarction NOS","G304.00","","CPRD_GOLD"
"24126","Haemopericardium/current comp folow acut myocard infarct","G360.00","","CPRD_GOLD"
"26972","ECG:posterior/inferior infarct","3234.00","","CPRD_GOLD"
"26975","ECG: antero-septal infarct.","3233.00","","CPRD_GOLD"
"28736","Acute atrial infarction","G30y000","","CPRD_GOLD"
"29553","Thrombosis atrium,auric append&vent/curr comp foll acute MI","G366.00","","CPRD_GOLD"
"29643","Acute inferoposterior infarction","G303.00","","CPRD_GOLD"
"29758","Acute transmural myocardial infarction of unspecif site","G30X.00","","CPRD_GOLD"
"30330","Acute Q-wave infarct","G309.00","","CPRD_GOLD"
"30421","Cardiac rupture following myocardial infarction (MI)","G30..13","","CPRD_GOLD"
"32272","Postoperative myocardial infarction","G38..00","","CPRD_GOLD"
"32854","Acute posterolateral myocardial infarction","G30B.00","","CPRD_GOLD"
"34803","Other acute myocardial infarction","G30y.00","","CPRD_GOLD"
"35119","Post infarction pericarditis","G501.00","","CPRD_GOLD"
"35674","H/O: myocardial infarct <60","14A3.00","","CPRD_GOLD"
"36423","Certain current complication follow acute myocardial infarct","G36..00","","CPRD_GOLD"
"37657","Ventric septal defect/curr comp fol acut myocardal infarctn","G362.00","","CPRD_GOLD"
"38609","Subsequent myocardial infarction of inferior wall","G351.00","","CPRD_GOLD"
"39904","ECG: old myocardial infarction","3232.00","","CPRD_GOLD"
"40399","H/O: myocardial infarct >60","14A4.00","","CPRD_GOLD"
"40429","Acute anteroapical infarction","G301000","","CPRD_GOLD"
"41221","Acute septal infarction","G30y200","","CPRD_GOLD"
"41835","Postoperative subendocardial myocardial infarction","G384.00","","CPRD_GOLD"
"45809","Subsequent myocardial infarction of anterior wall","G350.00","","CPRD_GOLD"
"46017","Other acute myocardial infarction NOS","G30yz00","","CPRD_GOLD"
"46112","Postoperative transmural myocardial infarction anterior wall","G380.00","","CPRD_GOLD"
"46166","Subsequent myocardial infarction of unspecified site","G35X.00","","CPRD_GOLD"
"46276","Postoperative transmural myocardial infarction inferior wall","G381.00","","CPRD_GOLD"
"50372","H/O: Myocardial infarction in last year","14AH.00","","CPRD_GOLD"
"52705","ECG: lateral infarction","3236.00","","CPRD_GOLD"
"55401","ECG: subendocardial infarct","3235.00","","CPRD_GOLD"
"59032","ECG: myocardial infarct NOS","323Z.00","","CPRD_GOLD"
"59189","Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI","G363.00","","CPRD_GOLD"
"59940","Ruptur chordae tendinae/curr comp fol acute myocard infarct","G364.00","","CPRD_GOLD"
"61670","Diab mellit insulin-glucose infus acute myocardial infarct","889A.00","","CPRD_GOLD"
"62626","Acute papillary muscle infarction","G30y100","","CPRD_GOLD"
"63467","True posterior myocardial infarction","G306.00","","CPRD_GOLD"
"68357","Microinfarction of heart","G31y100","","CPRD_GOLD"
"68748","Postoperative myocardial infarction, unspecified","G38z.00","","CPRD_GOLD"
"69474","Rupture papillary muscle/curr comp fol acute myocard infarct","G365.00","","CPRD_GOLD"
"72562","Subsequent myocardial infarction of other sites","G353.00","","CPRD_GOLD"
"96838","[X]Acute transmural myocardial infarction of unspecif site","Gyu3400","","CPRD_GOLD"
"99991","[X]Subsequent myocardial infarction of unspecified site","Gyu3600","","CPRD_GOLD"
"100139","History of myocardial infarction","14AT.00","","CPRD_GOLD"
"106812","Postoperative transmural myocardial infarction unspec site","G383.00","","CPRD_GOLD"
"109035","[X]Subsequent myocardial infarction of other sites","Gyu3500","","CPRD_GOLD"
"109679","Old cerebral infarction on imaging","5C13.00","","CPRD_GOLD"
