"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"17117015","Endolymphatic hydrops","F560.11","9794007","CPRD_AURUM"
"299162016","Active vestibular Meniere's disease","F560300","194350005","CPRD_AURUM"
"906701000006119","[RFC] Menieres disease","","906701000006103","CPRD_AURUM"
"50047017","Lermoyez's syndrome","F560.12","29904009","CPRD_AURUM"
"299159019","Unspecified Meniere's disease","F560000","13445001","CPRD_AURUM"
"710871000006110","Meniere's disease","F560.00","13445001","CPRD_AURUM"
"810651000006116","H/O: Meniere's disease","1491.11","275542004","CPRD_AURUM"
"812181000006115","H/O: vertigo/Meniere's disease","1491.00","266994001","CPRD_AURUM"
"2981261000006116","Lermoyez's syndrome","","29904009","CPRD_AURUM"
"2713141000006115","Meniere syndrome","","13445001","CPRD_AURUM"
"11925131000006110","Unspecified Meniere's disease","","13445001","CPRD_AURUM"
"2981271000006111","Lermoyez syndrome","","29904009","CPRD_AURUM"
"12489071000006115","H/O: Meniere's disease","","275542004","CPRD_AURUM"
"2713111000006119","Ménière's syndrome","","13445001","CPRD_AURUM"
"5496961000006119","History of vertigo or Meniere's disease","","266994001","CPRD_AURUM"
"2713081000006113","Ménière's disease","","13445001","CPRD_AURUM"
"5496941000006118","History of - vertigo/Meniere's disease","","266994001","CPRD_AURUM"
"4774981000006113","Active vestibular Ménière's disease","","194350005","CPRD_AURUM"
"5574291000006111","History of Meniere's disease","","275542004","CPRD_AURUM"
"12489121000006115","H/O: vertigo/Meniere's disease","","266994001","CPRD_AURUM"
"2713121000006110","Ménière's vertigo","","13445001","CPRD_AURUM"
"299160012","Active cochleovestibular Meniere's disease","F560100","194348002","CPRD_AURUM"
"299161011","Active cochlear Meniere's disease","F560200","194349005","CPRD_AURUM"
"4775001000006116","Active vestibular Ménière disease","","194350005","CPRD_AURUM"
"2713161000006116","Meniere disorder","","13445001","CPRD_AURUM"
"299164015","Meniere's disease NOS","F560z00","13445001","CPRD_AURUM"
