"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1491.00","H/O: vertigo/Meniere's disease","1491.00","","IMRD"
"1491.11","H/O: Meniere's disease","1491.11","","IMRD"
"F560.00","Meniere's disease","F560.00","","IMRD"
"F560.11","Endolymphatic hydrops","F560.11","","IMRD"
"F560.12","Lermoyez's syndrome","F560.12","","IMRD"
"F560000","Unspecified Meniere's disease","F560000","","IMRD"
"F560100","Active cochleovestibular Meniere's disease","F560100","","IMRD"
"F560200","Active cochlear Meniere's disease","F560200","","IMRD"
"F560300","Active vestibular Meniere's disease","F560300","","IMRD"
"F560z00","Meniere's disease NOS","F560z00","","IMRD"
