"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1952","Secondary malignant neoplasm of kidney","B580.00","","CPRD_GOLD"
"3152","[M]Carcinoma, metastatic, NOS","BB13.00","","CPRD_GOLD"
"3197","[M]Neoplasm, metastatic","BB03.00","","CPRD_GOLD"
"4137","Secondary malignant neoplasm of lung","B570.00","","CPRD_GOLD"
"4403","Liver metastases","B577.11","","CPRD_GOLD"
"5198","Secondary malignant neoplasm of brain","B583000","","CPRD_GOLD"
"5199","Cerebral metastasis","B583200","","CPRD_GOLD"
"5455","[M]Adenocarcinoma, metastatic, NOS","BB53.00","","CPRD_GOLD"
"5842","Secondary malignant neoplasm of other specified sites","B58..00","","CPRD_GOLD"
"6170","Carcinomatosis","B590.11","","CPRD_GOLD"
"6471","Metastases of respiratory and/or digestive systems","B57..11","","CPRD_GOLD"
"6701","Secondary and unspec malig neop intrapelvic lymph nodes","B565.00","","CPRD_GOLD"
"6985","[M]Secondary neoplasm","BB03.11","","CPRD_GOLD"
"7654","Secondary malignant neoplasm of bone and bone marrow","B585.00","","CPRD_GOLD"
"7830","Lymph node metastases","B56..11","","CPRD_GOLD"
"8600","Pain from metastases","1D18.00","","CPRD_GOLD"
"9366","[M]Secondary carcinoma","BB13.11","","CPRD_GOLD"
"9505","Secondary malignant neoplasm of skin of breast","B582600","","CPRD_GOLD"
"9618","Secondary and unspecified malignant neoplasm of lymph nodes","B56..00","","CPRD_GOLD"
"12204","Metastatic calcification","C354A00","","CPRD_GOLD"
"13569","Disseminated malignancy NOS","B590.00","","CPRD_GOLD"
"15103","Secondary malignant neoplasm of liver","B577.00","","CPRD_GOLD"
"15507","Secondary and unspec malig neop lymph nodes NOS","B56z.00","","CPRD_GOLD"
"16213","Secondary malignant neoplasm of pleura","B572.00","","CPRD_GOLD"
"16500","Secondary malignant neoplasm of other specified site NOS","B58z.00","","CPRD_GOLD"
"16692","[M]Carcinomatosis","BB14.00","","CPRD_GOLD"
"16760","Secondary malignant neoplasm of breast","B58y000","","CPRD_GOLD"
"18616","Secondary malignant neoplasm of other specified sites","B58y.00","","CPRD_GOLD"
"18658","Secondary and unspec malig neop common iliac lymph nodes","B562300","","CPRD_GOLD"
"18676","Pathological fracture due to metastatic bone disease","B585000","","CPRD_GOLD"
"19945","Secondary malignant neoplasm of skin","B582.00","","CPRD_GOLD"
"20159","Secondary and unspec malig neop lymph nodes multiple sites","B56y.00","","CPRD_GOLD"
"21590","Secondary malignant neoplasm of prostate","B58y500","","CPRD_GOLD"
"22146","Secondary malignant neoplasm of bladder","B581100","","CPRD_GOLD"
"22267","[M]Neoplasm, malig, uncertain whether primary or metastatic","BB04.00","","CPRD_GOLD"
"22524","Secondary malignant neoplasm of other specified site NOS","B58yz00","","CPRD_GOLD"
"24293","[M]Squamous cell carcinoma, metastatic NOS","BB2B.00","","CPRD_GOLD"
"24301","Secondary carcinoma of respiratory and/or digestive systems","B57..12","","CPRD_GOLD"
"25366","Secondary and unspec malig neop ant mediastinal lymph nodes","B561300","","CPRD_GOLD"
"27391","Secondary malignant neoplasm of peritoneum","B576100","","CPRD_GOLD"
"27651","Secondary carcinoma of other specified sites","B58..11","","CPRD_GOLD"
"28059","Secondary and unspec malig neop of facial lymph nodes","B560600","","CPRD_GOLD"
"28727","Secondary malignant neoplasm of colon","B575000","","CPRD_GOLD"
"33395","Secondary and unspec malig neop superficial cervical LN","B560200","","CPRD_GOLD"
"33843","Secondary malignant neoplasm of brain and spinal cord","B583.00","","CPRD_GOLD"
"34145","Secondary malignant neoplasm of testis","B58y600","","CPRD_GOLD"
"35053","Secondary malig neop of respiratory and digestive systems","B57..00","","CPRD_GOLD"
"35186","[X]Malignant neoplasm of ill-defined, secondary and unspeci","ByuC.00","","CPRD_GOLD"
"35364","Secondary malignant neoplasm of retroperitoneum","B576000","","CPRD_GOLD"
"35999","Secondary malignant neoplasm of skin of neck","B582200","","CPRD_GOLD"
"36147","Secondary malignant neoplasm of liver","B153.00","","CPRD_GOLD"
"36200","Secondary malig neop of large intestine or rectum NOS","B575z00","","CPRD_GOLD"
"36401","Secondary malignant neoplasm of adrenal gland","B587.00","","CPRD_GOLD"
"37540","Secondary and unspec malig neop axillary lymph nodes","B563000","","CPRD_GOLD"
"37919","Secondary and unspec malig neop internal mammary lymph nodes","B561000","","CPRD_GOLD"
"38343","Secondary and unspec malig neop submental lymph nodes","B560700","","CPRD_GOLD"
"38918","Secondary malignant neoplasm of spinal cord","B583100","","CPRD_GOLD"
"39433","Secondary and unspec malig neop submandibular lymph nodes","B560500","","CPRD_GOLD"
"41144","Secondary malignant neoplasm of skin of trunk","B582300","","CPRD_GOLD"
"41691","Secondary and unspec malig neop coeliac lymph nodes","B562000","","CPRD_GOLD"
"43930","Secondary malignant neoplasm of skin of head","B582000","","CPRD_GOLD"
"44529","Secondary malignant neoplasm of large intestine and rectum","B575.00","","CPRD_GOLD"
"44615","Secondary malignant neoplasm of ovary","B586.00","","CPRD_GOLD"
"44627","Secondary and unspec malig neop anterior cervical LN","B560800","","CPRD_GOLD"
"44931","Secondary and unspec malig neop intra-abdominal LN NOS","B562z00","","CPRD_GOLD"
"45824","Secondary malignant neoplasm of tongue","B58y900","","CPRD_GOLD"
"46409","Secondary and unspec malig neop pectoral lymph nodes","B563300","","CPRD_GOLD"
"47366","Secondary and unspec malig neop sacral lymph nodes","B565300","","CPRD_GOLD"
"48828","Secondary malignant neoplasm of skin of hip and leg","B582500","","CPRD_GOLD"
"48991","X-ray metastasis control","5136.00","","CPRD_GOLD"
"49145","Secondary malignant neoplasm of penis","B58y700","","CPRD_GOLD"
"49214","Secondary and unspec malig neop lymph nodes head/face/neck","B560.00","","CPRD_GOLD"
"50199","Secondary and unspec malig neop axilla and upper limb LN","B563.00","","CPRD_GOLD"
"50904","Secondary and unspec malig neop infraclavicular lymph nodes","B563200","","CPRD_GOLD"
"51551","Secondary malignant neoplasm of mediastinum","B571.00","","CPRD_GOLD"
"52190","Secondary and unspec malig neop pulmonary lymph nodes","B561900","","CPRD_GOLD"
"52736","Secondary and unspec malig neop intra-abdominal lymph nodes","B562.00","","CPRD_GOLD"
"53528","Secondary malignant neoplasm of urethra","B581200","","CPRD_GOLD"
"54120","Secondary malignant neoplasm of other part of nervous system","B584.00","","CPRD_GOLD"
"54253","[X]Secondary malignant neoplasm of other specified sites","ByuC700","","CPRD_GOLD"
"54278","Secondary and unspec malig neop superficial inguinal LN","B564000","","CPRD_GOLD"
"54679","Secondary malignant neoplasm of unknown site","B594.00","","CPRD_GOLD"
"54874","[M]Metastatic signet ring cell carcinoma","BB85100","","CPRD_GOLD"
"55090","Secondary malignant neoplasm of uterus","B58y100","","CPRD_GOLD"
"55096","Secondary malignant neoplasm of skin NOS","B582z00","","CPRD_GOLD"
"55463","Secondary and unspec malig neop post mediastinal lymph nodes","B561400","","CPRD_GOLD"
"55946","Secondary malignant neoplasm of duodenum","B574000","","CPRD_GOLD"
"56345","Secondary malignant neoplasm of other digestive organ","B57y.00","","CPRD_GOLD"
"57481","[X]Secondary malignant neoplasm/oth+unspc respiratory organs","ByuC300","","CPRD_GOLD"
"58692","Secondary and unspec malig neop paratracheal lymph nodes","B561500","","CPRD_GOLD"
