"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"161","Migraine","F26..00","","CPRD_GOLD"
"321","Periodic migrainous neuralgia","F262500","","CPRD_GOLD"
"2424","Common migraine","F261.00","","CPRD_GOLD"
"2861","Abdominal migraine","F262200","","CPRD_GOLD"
"3220","Classical migraine","F260.00","","CPRD_GOLD"
"3658","Hemiplegic migraine","F26y000","","CPRD_GOLD"
"5029","H/O: migraine","1474.00","","CPRD_GOLD"
"5509","Migraine variants","F262.00","","CPRD_GOLD"
"6433","Abdominal migraine - symptom","1967.00","","CPRD_GOLD"
"9004","Basilar migraine","F262300","","CPRD_GOLD"
"9633","Atypical migraine","F261000","","CPRD_GOLD"
"10583","Ophthalmic migraine","F262400","","CPRD_GOLD"
"11138","Migraine - menstrual","K584.11","","CPRD_GOLD"
"12511","Ophthalmoplegic migraine","F26y100","","CPRD_GOLD"
"14700","Migraine NOS","F26z.00","","CPRD_GOLD"
"17762","[D]Abdominal migraine","R090D00","","CPRD_GOLD"
"22685","Status migrainosus","F26y200","","CPRD_GOLD"
"23621","Migraine variant NOS","F262z00","","CPRD_GOLD"
"27930","Complicated migraine","F26y300","","CPRD_GOLD"
"28031","Other forms of migraine","F26y.00","","CPRD_GOLD"
"28092","Other forms of migraine NOS","F26yz00","","CPRD_GOLD"
"41497","Common migraine NOS","F261z00","","CPRD_GOLD"
"53813","[X]Other migraine","Fyu5300","","CPRD_GOLD"
"65262","Moebius' ophthalmoplegic migraine","F26y111","","CPRD_GOLD"
"103451","H/O migraine with aura","1474000","","CPRD_GOLD"
"103502","Migraine with aura","F260.11","","CPRD_GOLD"
"103602","Migraine without aura","F261.11","","CPRD_GOLD"
"103973","Migraine induced by oestrogen contraceptive","F262800","","CPRD_GOLD"
