"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"10122017","Brief reactive psychosis","E13y100","5464005","CPRD_AURUM"
"523481000006114","Bouffee delirante","E133.11","63204009","CPRD_AURUM"
"294926015","Other reactive psychoses","E13y.00","231437006","CPRD_AURUM"
"294929010","Other reactive psychoses NOS","E13yz00","231437006","CPRD_AURUM"
"367961000006110","[X]Bouffee delirante","Eu23011","63204009","CPRD_AURUM"
"367971000006115","[X]Bouffee delirante with symptoms of schizophrenia","Eu23111","712850003","CPRD_AURUM"
"376271000006119","[X]Cycloid psychosis","Eu23012","307417003","CPRD_AURUM"
"424511000006112","[X]Reactive psychosis","Eu23z12","231437006","CPRD_AURUM"
"425701000006119","[X]Schizophreniform psychosis, manic type","Eu25012","271428004","CPRD_AURUM"
"3527771000006116","Bouffée délirante","","63204009","CPRD_AURUM"
"3878611000006116","Schizophreniform psychosis, depressive type","","84760002","CPRD_AURUM"
"367991000006119","[X]Brief reactive psychosis NOS","Eu23z11","231489001","CPRD_AURUM"
"376281000006116","[X]Cycloid psychosis with symptoms of schizophrenia","Eu23112","307417003","CPRD_AURUM"
"346896012","Reactive psychoses","E13..11","231437006","CPRD_AURUM"
"376261000006114","[X]Cycloid personality","Eu34012","76105009","CPRD_AURUM"
"425691000006119","[X]Schizophreniform psychosis, depressive type","Eu25112","84760002","CPRD_AURUM"
"5524571000006112","Schizophreniform psychosis, manic type","","271428004","CPRD_AURUM"
"5023391000006116","Reactive psychosis","","231437006","CPRD_AURUM"
