"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1Ba0.00","Obsessional thoughts","1Ba0.00","","IMRD"
"1P3..00","Compulsive behaviour","1P3..00","","IMRD"
"1P30.00","Compulsive uncontrollable drug taking","1P30.00","","IMRD"
"1P31.00","Compulsive drug taking","1P31.00","","IMRD"
"E203.00","Obsessive-compulsive disorders","E203.00","","IMRD"
"E203.11","Anancastic neurosis","E203.11","","IMRD"
"E203000","Compulsive neurosis","E203000","","IMRD"
"E203100","Obsessional neurosis","E203100","","IMRD"
"E203z00","Obsessive-compulsive disorder NOS","E203z00","","IMRD"
"E214.00","Compulsive personality disorders","E214.00","","IMRD"
"E214.11","Anancastic personality","E214.11","","IMRD"
"E214100","Obsessional personality","E214100","","IMRD"
"E214z00","Compulsive personality disorder NOS","E214z00","","IMRD"
"E275111","Compulsive eating disorder","E275111","","IMRD"
"E275711","Compulsive water drinking","E275711","","IMRD"
"Eu42.00","[X]Obsessive - compulsive disorder","Eu42.00","","IMRD"
"Eu42.12","[X]Obsessive-compulsive neurosis","Eu42.12","","IMRD"
"Eu42000","[X]Predominantly obsessional thoughts or ruminations","Eu42000","","IMRD"
"Eu42100","[X]Predominantly compulsive acts [obsessional rituals]","Eu42100","","IMRD"
"Eu42200","[X]Mixed obsessional thoughts and acts","Eu42200","","IMRD"
"Eu42y00","[X]Other obsessive-compulsive disorders","Eu42y00","","IMRD"
"Eu42z00","[X]Obsessive-compulsive disorder, unspecified","Eu42z00","","IMRD"
"Eu60511","[X]Compulsive personality disorder","Eu60511","","IMRD"
"Eu60512","[X]Obsessional personality disorder","Eu60512","","IMRD"
"Eu60513","[X]Obsessive-compulsive personality disorder","Eu60513","","IMRD"
"Eu63011","[X]Compulsive gambling","Eu63011","","IMRD"
"Z522600","Flooding - obsessional compulsive disorder","Z522600","","IMRD"
"ZR3i.00","Compulsive eating scale","ZR3i.00","","IMRD"
"ZR3i.11","CES - Compulsive eating scale","ZR3i.11","","IMRD"
