"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1767014","Congenital hepatomegaly","PB6y100","407000","CPRD_AURUM"
"3268012","Congenital absence of bile duct","PB61000","1287007","CPRD_AURUM"
"4044018","Biliary cirrhosis","J616.00","1761006","CPRD_AURUM"
"11267010","Indian childhood cirrhosis","J615812","6183001","CPRD_AURUM"
"49567015","Glycogen storage disease","C310.13","29633007","CPRD_AURUM"
"50437010","Obstruction of bile duct","J662.00","30144000","CPRD_AURUM"
"57989014","Portal hypertension","J623.00","34742003","CPRD_AURUM"
"61321014","Hepatosplenomegaly","J61y200","36760000","CPRD_AURUM"
"69895016","Chronic persistent hepatitis","J614000","41889008","CPRD_AURUM"
"85041011","Congenital obstruction of bile duct","PB61200","51038004","CPRD_AURUM"
"95368015","Chronic lobular hepatitis","J614400","57339008","CPRD_AURUM"
"99549014","Hepatic failure","J62y.13","59927004","CPRD_AURUM"
"103853010","Hepatic fibrosis","J61y400","62484002","CPRD_AURUM"
"113108015","Congenital hypoplasia of bile duct","PB61100","68094008","CPRD_AURUM"
"120980011","Hepatic coma","J622.00","72836002","CPRD_AURUM"
"126721013","Florid cirrhosis","J612.11","76301009","CPRD_AURUM"
"127487019","Chronic hepatitis","J614.00","76783007","CPRD_AURUM"
"128627011","Biliary atresia","PB61.00","77480004","CPRD_AURUM"
"142629014","Syphilis of liver","A953.00","86028001","CPRD_AURUM"
"153200017","Carcinoma in situ of intrahepatic bile ducts","B808100","92618006","CPRD_AURUM"
"270232016","Replacement of previous liver transplant","7800200","174427006","CPRD_AURUM"
"270530011","Endoscopic retrograde extraction of calculus from bile duct","782E000","174630009","CPRD_AURUM"
"286879013","Chronic viral hepatitis B without delta-agent","A707100","186639003","CPRD_AURUM"
"286985017","Cytomegaloviral hepatitis","A785200","186698009","CPRD_AURUM"
"303393017","Cirrhosis and chronic liver disease","J61..00","197279005","CPRD_AURUM"
"303401012","Chronic active hepatitis","J614100","197284004","CPRD_AURUM"
"303404016","Autoimmune chronic active hepatitis","J614111","197284004","CPRD_AURUM"
"303414013","Unilobular portal cirrhosis","J615000","197291001","CPRD_AURUM"
"303419015","Diffuse nodular cirrhosis","J615300","197293003","CPRD_AURUM"
"303420014","Fatty portal cirrhosis","J615400","197294009","CPRD_AURUM"
"303425016","Capsular portal cirrhosis","J615600","197296006","CPRD_AURUM"
"303433015","Pigmentary portal cirrhosis","J615900","197299004","CPRD_AURUM"
"303452014","Biliary cirrhosis of children","J616200","197310003","CPRD_AURUM"
"303458013","Portal fibrosis without cirrhosis","J61y300","197316009","CPRD_AURUM"
"303511015","Toxic liver disease with cholestasis","J635000","197355005","CPRD_AURUM"
"303515012","Toxic liver disease with chronic persistent hepatitis","J635300","197359004","CPRD_AURUM"
"303525019","Hepatic granulomas in sarcoidosis","J63A.00","197368002","CPRD_AURUM"
"314032018","Congenital absence of hepatic ducts","PB61500","204781002","CPRD_AURUM"
"314034017","Atresia of hepatic ducts","PB61600","204782009","CPRD_AURUM"
"316474016","Congenital viral hepatitis","Q409.00","206372007","CPRD_AURUM"
"316475015","Congenital hepatitis A infection","Q409000","206373002","CPRD_AURUM"
"325079010","Liver failure as a complication of care","SP14211","213230009","CPRD_AURUM"
"325080013","Hepatic failure as a complication of care","SP14200","213230009","CPRD_AURUM"
"325081012","Hepatorenal syndrome as a complication of care","SP14300","213231008","CPRD_AURUM"
"352929018","Exploration of liver transplant","7805211","235458006","CPRD_AURUM"
"353580016","Chronic viral hepatitis B with delta-agent","A707000","235869004","CPRD_AURUM"
"353621011","Laennec's cirrhosis, non-alcoholic","J615z14","235895002","CPRD_AURUM"
"396392016","Juvenile portal cirrhosis","J615800","266471006","CPRD_AURUM"
"411259015","O/E - hepatomegaly","25G..11","275296001","CPRD_AURUM"
"486468012","Congenital absence of liver,total","PB63400","3650004","CPRD_AURUM"
"493707012","Hypertrophic portal cirrhosis","J615500","43904005","CPRD_AURUM"
"499268014","Glucose-6-phosphate dehydrogenase deficiency anaemia","D102000","62403005","CPRD_AURUM"
"500791011","Phlebitis of portal vein","J621.11","85514005","CPRD_AURUM"
"500792016","Portal pyaemia","J621.00","67656006","CPRD_AURUM"
"504762019","Chronic yellow liver atrophy","J61y000","81675001","CPRD_AURUM"
"1220989019","Congenital absence of liver lobe","PB63100","13630003","CPRD_AURUM"
"1232261014","Chronic viral hepatitis B","A707300","61977001","CPRD_AURUM"
"1235598015","Extracorporeal lithotripsy of calculus in bile duct","782Q000","90705003","CPRD_AURUM"
"2159899016","Autoimmune hepatitis","J63B.00","408335007","CPRD_AURUM"
"2576980018","Portal cirrhosis","J615.11","419728003","CPRD_AURUM"
"2676200013","Orthotopic transplantation of whole liver","7800400","426356008","CPRD_AURUM"
"683211000000113","Chronic hepatitis annual review","9kR..11","362421000000102","CPRD_AURUM"
"851221000006110","Alpha-2-antitrypsin deficiency","","851221000006106","CPRD_AURUM"
"906001000006117","[RFC] Liver failure","","906001000006101","CPRD_AURUM"
"906081000006114","[RFC] Cirrhosis","","906081000006105","CPRD_AURUM"
"2579818016","Laennec's cirrhosis","J612.12","419728003","CPRD_AURUM"
"1711531000006119","Liver transplant planned","","1711531000006103","CPRD_AURUM"
"1736361000000112","Cystic fibrosis related cirrhosis","C370800","776981000000103","CPRD_AURUM"
"1753501000000111","Liver transplant planned","8LH..00","704201006","CPRD_AURUM"
"1786211000006116","Fatty liver","J61y911","197321007","CPRD_AURUM"
"1850901000006115","Reason for influenza vaccine - chronic liver disease","","1850901000006104","CPRD_AURUM"
"1928471000006114","History of glucose-6-phosphate dehydrogenase deficiency","","1928471000006105","CPRD_AURUM"
"1786709019","Pigmentary cirrhosis of liver","C350012","399126000","CPRD_AURUM"
"12996018","Glucose-6-phosphatase deficiency","C310212","124437004","CPRD_AURUM"
"123999018","Congestive cirrhosis","J615711","74669004","CPRD_AURUM"
