"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"25G..11","O/E - hepatomegaly","25G..11","","IMRD"
"7800.00","Transplantation of liver","7800.00","","IMRD"
"7800000","Orthotopic transplantation of liver","7800000","","IMRD"
"7800100","Heterotopic transplantation of liver","7800100","","IMRD"
"7800111","Auxillary liver transplant","7800111","","IMRD"
"7800112","Piggy back liver transplant","7800112","","IMRD"
"7800200","Replacement of previous liver transplant","7800200","","IMRD"
"7800300","Transplantation of liver cells","7800300","","IMRD"
"7800400","Orthotopic transplantation of whole liver","7800400","","IMRD"
"7800500","Orthotopic transplantation of liver NEC","7800500","","IMRD"
"7800y00","Other specified transplantation of liver","7800y00","","IMRD"
"7800z00","Transplantation of liver NOS","7800z00","","IMRD"
"7805211","Exploration of liver transplant","7805211","","IMRD"
"7820400","Excision of extrahepatic bile ducts HFQ","7820400","","IMRD"
"7824000","Open insert tubal prosthes in both hepatic+common bile ducts","7824000","","IMRD"
"7824100","Open insert tubal prosthes in one hepatic+common bile ducts","7824100","","IMRD"
"7824400","Roux-en-y procedure for biliary atresia","7824400","","IMRD"
"7824411","Sawaguchi roux-en-y procedure for biliary atresia","7824411","","IMRD"
"7826000","Open removal of calculus and drainage of bile duct","7826000","","IMRD"
"7826100","Open removal of calculus from bile duct NEC","7826100","","IMRD"
"782E000","Endoscopic retrograde extraction of calculus from bile duct","782E000","","IMRD"
"782E200","Endoscopic retrograde lithotripsy of calculus of bile duct","782E200","","IMRD"
"782N000","Endosc removal of calculus from bile duct along T tube track","782N000","","IMRD"
"782N100","Percutan removal calculus from bile duct along T tube track","782N100","","IMRD"
"782Q000","Extracorporeal lithotripsy of calculus in bile duct","782Q000","","IMRD"
"782T000","Percutaneous transhepatic removal of calculus from bile duct","782T000","","IMRD"
"7L1f.00","Compensation for liver failure","7L1f.00","","IMRD"
"7L1fy00","Other specified compensation for liver failure","7L1fy00","","IMRD"
"7L1fz00","Compensation for liver failure NOS","7L1fz00","","IMRD"
"8LH..00","Liver transplant planned","8LH..00","","IMRD"
"9kR..00","Chronic hepatitis annual review - enhanced services admin","9kR..00","","IMRD"
"9kR..11","Chronic hepatitis annual review","9kR..11","","IMRD"
"A17y400","Tuberculosis of liver","A17y400","","IMRD"
"A707.00","Chronic viral hepatitis","A707.00","","IMRD"
"A707000","Chronic viral hepatitis B with delta-agent","A707000","","IMRD"
"A707100","Chronic viral hepatitis B without delta-agent","A707100","","IMRD"
"A707200","Chronic viral hepatitis C","A707200","","IMRD"
"A707300","Chronic viral hepatitis B","A707300","","IMRD"
"A707X00","Chronic viral hepatitis, unspecified","A707X00","","IMRD"
"A785200","Cytomegaloviral hepatitis","A785200","","IMRD"
"A900.15","Congenital syphilitic hepatomegaly","A900.15","","IMRD"
"A953.00","Syphilis of liver","A953.00","","IMRD"
"AyuB100","[X]Other chronic viral hepatitis","AyuB100","","IMRD"
"AyuB200","[X]Chronic viral hepatitis, unspecified","AyuB200","","IMRD"
"B715100","Benign neoplasm of intrahepatic bile ducts","B715100","","IMRD"
"B808100","Carcinoma in situ of intrahepatic bile ducts","B808100","","IMRD"
"B903100","Neoplasm of uncertain behaviour of intra-hepatic bile ducts","B903100","","IMRD"
"C310.00","Glycogenosis - glycogen storage disease","C310.00","","IMRD"
"C310.12","Glucose-6-phosphate deficiency","C310.12","","IMRD"
"C310.13","Glycogen storage disease","C310.13","","IMRD"
"C310200","Hepatorenal glycogenosis","C310200","","IMRD"
