"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1422.00","H/O: * bronchus","1422.00","","IMRD"
"1423.00","H/O: * trachea/lung","1423.00","","IMRD"
"B22..00","Malignant neoplasm of trachea, bronchus and lung","B22..00","","IMRD"
"B220.00","Malignant neoplasm of trachea","B220.00","","IMRD"
"B220000","Malignant neoplasm of cartilage of trachea","B220000","","IMRD"
"B220100","Malignant neoplasm of mucosa of trachea","B220100","","IMRD"
"B220z00","Malignant neoplasm of trachea NOS","B220z00","","IMRD"
"B221.00","Malignant neoplasm of main bronchus","B221.00","","IMRD"
"B221000","Malignant neoplasm of carina of bronchus","B221000","","IMRD"
"B221100","Malignant neoplasm of hilus of lung","B221100","","IMRD"
"B221z00","Malignant neoplasm of main bronchus NOS","B221z00","","IMRD"
"B222.00","Malignant neoplasm of upper lobe, bronchus or lung","B222.00","","IMRD"
"B222.11","Pancoast's syndrome","B222.11","","IMRD"
"B222000","Malignant neoplasm of upper lobe bronchus","B222000","","IMRD"
"B222100","Malignant neoplasm of upper lobe of lung","B222100","","IMRD"
"B222z00","Malignant neoplasm of upper lobe, bronchus or lung NOS","B222z00","","IMRD"
"B223.00","Malignant neoplasm of middle lobe, bronchus or lung","B223.00","","IMRD"
"B223000","Malignant neoplasm of middle lobe bronchus","B223000","","IMRD"
"B223100","Malignant neoplasm of middle lobe of lung","B223100","","IMRD"
"B223z00","Malignant neoplasm of middle lobe, bronchus or lung NOS","B223z00","","IMRD"
"B224.00","Malignant neoplasm of lower lobe, bronchus or lung","B224.00","","IMRD"
"B224000","Malignant neoplasm of lower lobe bronchus","B224000","","IMRD"
"B224100","Malignant neoplasm of lower lobe of lung","B224100","","IMRD"
"B224z00","Malignant neoplasm of lower lobe, bronchus or lung NOS","B224z00","","IMRD"
"B225.00","Malignant neoplasm of overlapping lesion of bronchus & lung","B225.00","","IMRD"
"B22y.00","Malignant neoplasm of other sites of bronchus or lung","B22y.00","","IMRD"
"B22z.00","Malignant neoplasm of bronchus or lung NOS","B22z.00","","IMRD"
"B22z.11","Lung cancer","B22z.11","","IMRD"
"BB5S200","[M]Bronchiolo-alveolar adenocarcinoma","BB5S200","","IMRD"
"BB5S211","[M]Alveolar cell carcinoma","BB5S211","","IMRD"
"BB5S212","[M]Bronchiolar carcinoma","BB5S212","","IMRD"
"BB5S400","[M]Alveolar adenocarcinoma","BB5S400","","IMRD"
"Byu2.00","[X]Malignant neoplasm of respiratory and intrathoracic orga","Byu2.00","","IMRD"
"Byu2000","[X]Malignant neoplasm of bronchus or lung, unspecified","Byu2000","","IMRD"
"ZV10100","[V]Personal history of malig neop of trachea/bronchus/lung","ZV10100","","IMRD"
"ZV10111","[V]Personal history of malignant neoplasm of bronchus","ZV10111","","IMRD"
"ZV10112","[V]Personal history of malignant neoplasm of lung","ZV10112","","IMRD"
"ZV10113","[V]Personal history of malignant neoplasm of trachea","ZV10113","","IMRD"
