"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"14F2.00","H/O: psoriasis","14F2.00","","IMRD"
"38Gg.00","Psoriasis area and severity index","38Gg.00","","IMRD"
"M16..00","Psoriasis and similar disorders","M16..00","","IMRD"
"M161.00","Other psoriasis","M161.00","","IMRD"
"M161000","Psoriasis unspecified","M161000","","IMRD"
"M161100","Psoriasis annularis","M161100","","IMRD"
"M161200","Psoriasis circinata","M161200","","IMRD"
"M161300","Psoriasis diffusa","M161300","","IMRD"
"M161400","Psoriasis discoidea","M161400","","IMRD"
"M161500","Psoriasis geographica","M161500","","IMRD"
"M161600","Guttate psoriasis","M161600","","IMRD"
"M161700","Psoriasis gyrata","M161700","","IMRD"
"M161800","Psoriasis inveterata","M161800","","IMRD"
"M161900","Psoriasis ostracea","M161900","","IMRD"
"M161A00","Psoriasis palmaris","M161A00","","IMRD"
"M161B00","Psoriasis plantaris","M161B00","","IMRD"
"M161C00","Psoriasis punctata","M161C00","","IMRD"
"M161D00","Pustular psoriasis","M161D00","","IMRD"
"M161E00","Psoriasis universalis","M161E00","","IMRD"
"M161F00","Psoriasis vulgaris","M161F00","","IMRD"
"M161F11","Chronic large plaque psoriasis","M161F11","","IMRD"
"M161H00","Erythrodermic psoriasis","M161H00","","IMRD"
"M161J00","Flexural psoriasis","M161J00","","IMRD"
"M161z00","Psoriasis NOS","M161z00","","IMRD"
"M166.00","Palmoplantar pustular psoriasis","M166.00","","IMRD"
"M16y.00","Other psoriasis and similar disorders","M16y.00","","IMRD"
"M16y000","Scalp psoriasis","M16y000","","IMRD"
"M16z.00","Psoriasis and similar disorders NOS","M16z.00","","IMRD"
"Myu3000","[X]Other psoriasis","Myu3000","","IMRD"
