"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"251693011","H/O: pulmonary embolus","14AC.00","161512007","CPRD_AURUM"
"271392011","Trendelenburg pulmonary embolectomy","7A09311","175262009","CPRD_AURUM"
"307815016","Obstetric pulmonary embolism","L43..00","200284000","CPRD_AURUM"
"307816015","Obstetric pulmonary embolus","L43..11","200284000","CPRD_AURUM"
"307834016","Obstetric blood-clot pulmonary embolism - delivered","L432100","200301007","CPRD_AURUM"
"307848016","Obstetric pyaemic and septic pulmonary embolism - delivered","L433100","200308001","CPRD_AURUM"
"2675439010","Pulmonary thromboendarterectomy","7A0B000","426900002","CPRD_AURUM"
"632111000000118","Recurrent pulmonary embolism","G401100","438773007","CPRD_AURUM"
"307838018","Obstetric blood-clot pulmonary embolism NOS","L432z00","200299000","CPRD_AURUM"
"307847014","Obstetric pyaemic and septic pulmonary embolism unspecified","L433000","267284008","CPRD_AURUM"
"307856018","Obstetric pyaemic and septic pulmonary embolism NOS","L433z00","267284008","CPRD_AURUM"
"307861016","Other obstetric pulmonary embolism unspecified","L43y000","200284000","CPRD_AURUM"
"307862011","Other obstetric pulmonary embolism - delivered","L43y100","200284000","CPRD_AURUM"
"307867017","Obstetric pulmonary embolism NOS","L43zz00","200284000","CPRD_AURUM"
"307868010","Obstetric pulmonary embolism NOS, unspecified","L43z000","200284000","CPRD_AURUM"
"307869019","Obstetric pulmonary embolism NOS - delivered","L43z100","200284000","CPRD_AURUM"
"307871019","Obstetric pulmonary embolism NOS with antenatal complication","L43z300","200284000","CPRD_AURUM"
"451479013","[V] Personal history of pulmonary embolism","ZV12900","161512007","CPRD_AURUM"
"24951000006110","Other obstetric pulmonary embolism - delivered + p/n comp","L43y200","200284000","CPRD_AURUM"
"24981000006119","Other obstetric pulmonary embolism with antenatal comp","L43y300","200284000","CPRD_AURUM"
"24991000006116","Other obstetric pulmonary embolism with postnatal comp","L43y400","200284000","CPRD_AURUM"
"193601000006115","Pulmonary embolus","G401.12","59282003","CPRD_AURUM"
"268641000006113","Obstetric pulmonary embolism NOS","L43z.00","200284000","CPRD_AURUM"
"728841000006111","Infarction - pulmonary","G401.11","64662007","CPRD_AURUM"
"4802531000006118","Obstetric pyemic and septic pulmonary embolism with antenatal complication","","200310004","CPRD_AURUM"
"4802491000006118","Obstetric pyemic and septic pulmonary embolism - delivered","","200308001","CPRD_AURUM"
"4666341000006111","Transluminal pulmonary embolectomy","","175268008","CPRD_AURUM"
"7498901000006118","Induced termination of pregnancy complicated by pulmonary embolism","","609480009","CPRD_AURUM"
"3462921000006119","PE - Pulmonary embolism","","59282003","CPRD_AURUM"
"4802301000006116","Puerperal pulmonary embolism","","200284000","CPRD_AURUM"
"4802551000006113","Obstetric pyemic and septic pulmonary embolism with postnatal complication","","200311000","CPRD_AURUM"
"4802511000006112","Obstetric pyemic and septic pulmonary embolism - delivered with postnatal complication","","200309009","CPRD_AURUM"
"7498911000006115","Termination of pregnancy complicated by pulmonary embolism","","609480009","CPRD_AURUM"
"4540611000006119","History of pulmonary embolus","","161512007","CPRD_AURUM"
"905451000006118","[RFC] Pulmonary embolism/pulmonary hypertension","","905451000006102","CPRD_AURUM"
"398448013","Obstetric pyaemic and septic pulmonary embolism","L433.00","267284008","CPRD_AURUM"
"98484016","Pulmonary embolism","G401.00","59282003","CPRD_AURUM"
"307833010","Obstetric blood-clot pulmonary embolism unspecified","L432000","200299000","CPRD_AURUM"
"307866014","Other obstetric pulmonary embolism NOS","L43yz00","200284000","CPRD_AURUM"
"307872014","Obstetric pulmonary embolism NOS with postnatal complication","L43z400","200284000","CPRD_AURUM"
"232951000006114","Percutaneous transluminal embolectomy of pulmonary artery","7A0A100","175268008","CPRD_AURUM"
"261021000006119","Open embolectomy of pulmonary artery","7A09300","175262009","CPRD_AURUM"
"269431000006114","Obstetric blood-clot pulmonary embolism + a/n complication","L432300","200303005","CPRD_AURUM"
"4666331000006118","Percutaneous embolectomy of pulmonary artery","","175268008","CPRD_AURUM"
"888731000006119","Obstetrical pulmonary embolism","L43..99","200284000","CPRD_AURUM"
"307832017","Obstetric blood-clot pulmonary embolism","L432.00","200299000","CPRD_AURUM"
"305585018","Pulmonary embolism following abortive pregnancy","L096400","609480009","CPRD_AURUM"
"216591000006115","Post operative pulmonary embolus","G401000","194883006","CPRD_AURUM"
"268671000006117","Obstetric pulmonary embolism NOS - delivered with p/n comp","L43z200","200284000","CPRD_AURUM"
"398450017","Other obstetric pulmonary embolism","L43y.00","200284000","CPRD_AURUM"
"4666351000006113","TL - Transluminal pulmonary embolectomy","","175268008","CPRD_AURUM"
"5499801000006116","Obstetric pyemic and septic pulmonary embolism","","267284008","CPRD_AURUM"
"499917019","Pulmonary infarct","G402.00","64662007","CPRD_AURUM"
"269441000006116","Obstetric blood-clot pulmonary embolism + p/n complication","L432400","200304004","CPRD_AURUM"
