"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1266","Pulmonary embolism","G401.00","","CPRD_GOLD"
"4717","Pulmonary infarct","G402.00","","CPRD_GOLD"
"7174","Obstetric pulmonary embolism","L43..00","","CPRD_GOLD"
"9701","Pulmonary embolus","G401.12","","CPRD_GOLD"
"10280","H/O: pulmonary embolus","14AC.00","","CPRD_GOLD"
"16976","[V] Personal history of pulmonary embolism","ZV12900","","CPRD_GOLD"
"18121","Post operative pulmonary embolus","G401000","","CPRD_GOLD"
"24444","Infarction - pulmonary","G401.11","","CPRD_GOLD"
"34687","Trendelenburg pulmonary embolectomy","7A09311","","CPRD_GOLD"
"44404","Obstetric pulmonary embolism NOS with postnatal complication","L43z400","","CPRD_GOLD"
"45740","Open embolectomy of pulmonary artery","7A09300","","CPRD_GOLD"
"49269","Obstetric blood-clot pulmonary embolism","L432.00","","CPRD_GOLD"
"65459","Percutaneous transluminal embolectomy of pulmonary artery","7A0A100","","CPRD_GOLD"
"67006","Pulmonary embolism following abortive pregnancy","L096400","","CPRD_GOLD"
"68438","Obstetric pulmonary embolus","L43..11","","CPRD_GOLD"
"73569","Obstetric pulmonary embolism NOS","L43z.00","","CPRD_GOLD"
"89238","Pulmonary thromboendarterectomy","7A0B000","","CPRD_GOLD"
"96209","Recurrent pulmonary embolism","G401100","","CPRD_GOLD"
"97367","Obstetric pulmonary embolism NOS - delivered","L43z100","","CPRD_GOLD"
"98639","Obstetric pulmonary embolism NOS","L43zz00","","CPRD_GOLD"
"101944","Obstetric pulmonary embolism NOS, unspecified","L43z000","","CPRD_GOLD"
"109337","Other obstetric pulmonary embolism NOS","L43yz00","","CPRD_GOLD"
"112578","Obstetric blood-clot pulmonary embolism + a/n complication","L432300","","CPRD_GOLD"
"112710","Obstetric blood-clot pulmonary embolism NOS","L432z00","","CPRD_GOLD"
"113599","Obstetric blood-clot pulmonary embolism unspecified","L432000","","CPRD_GOLD"
"114089","Other obstetric pulmonary embolism","L43y.00","","CPRD_GOLD"
