"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"14G1.00","H/O: rheumatoid arthritis","14G1.00","","IMRD"
"38DZ.00","Disease activity score in rheumatoid arthritis","38DZ.00","","IMRD"
"38DZ000","Disease activity score 28 joint in rheumatoid arthritis","38DZ000","","IMRD"
"66HB000","Rheumatoid arthritis annual review","66HB000","","IMRD"
"7P20300","Delivery of rehabilitation for rheumatoid arthritis","7P20300","","IMRD"
"9hR..00","Exception reporting: rheumatoid arthritis quality indicators","9hR..00","","IMRD"
"9hR0.00","Except rheumatoid arthritis quality indicator: pt unsuitable","9hR0.00","","IMRD"
"9hR1.00","Except rheumatoid arthritis qual indicator: informed dissent","9hR1.00","","IMRD"
"9mM..00","Rheumatoid arthritis monitoring invitation","9mM..00","","IMRD"
"9mM0.00","Rheumatoid arthritis monitoring invitation first letter","9mM0.00","","IMRD"
"9mM1.00","Rheumatoid arthritis monitoring invitation second letter","9mM1.00","","IMRD"
"9mM2.00","Rheumatoid arthritis monitoring invitation third letter","9mM2.00","","IMRD"
"9mM3.00","Rheumatoid arthritis monitoring verbal invitation","9mM3.00","","IMRD"
"9mM4.00","Rheumatoid arthritis monitoring telephone invitation","9mM4.00","","IMRD"
"F371200","Polyneuropathy in rheumatoid arthritis","F371200","","IMRD"
"F396400","Myopathy due to rheumatoid arthritis","F396400","","IMRD"
"H570.00","Rheumatoid lung","H570.00","","IMRD"
"N040T00","Flare of rheumatoid arthritis","N040T00","","IMRD"
"N04..00","Rheumatoid arthritis and other inflammatory polyarthropathy","N04..00","","IMRD"
"N040.00","Rheumatoid arthritis","N040.00","","IMRD"
"N040000","Rheumatoid arthritis of cervical spine","N040000","","IMRD"
"N040100","Other rheumatoid arthritis of spine","N040100","","IMRD"
"N040200","Rheumatoid arthritis of shoulder","N040200","","IMRD"
"N040300","Rheumatoid arthritis of sternoclavicular joint","N040300","","IMRD"
"N040400","Rheumatoid arthritis of acromioclavicular joint","N040400","","IMRD"
"N040500","Rheumatoid arthritis of elbow","N040500","","IMRD"
"N040600","Rheumatoid arthritis of distal radio-ulnar joint","N040600","","IMRD"
"N040700","Rheumatoid arthritis of wrist","N040700","","IMRD"
"N040800","Rheumatoid arthritis of MCP joint","N040800","","IMRD"
"N040900","Rheumatoid arthritis of PIP joint of finger","N040900","","IMRD"
"N040A00","Rheumatoid arthritis of DIP joint of finger","N040A00","","IMRD"
"N040B00","Rheumatoid arthritis of hip","N040B00","","IMRD"
"N040C00","Rheumatoid arthritis of sacro-iliac joint","N040C00","","IMRD"
"N040D00","Rheumatoid arthritis of knee","N040D00","","IMRD"
"N040E00","Rheumatoid arthritis of tibio-fibular joint","N040E00","","IMRD"
"N040F00","Rheumatoid arthritis of ankle","N040F00","","IMRD"
"N040G00","Rheumatoid arthritis of subtalar joint","N040G00","","IMRD"
"N040H00","Rheumatoid arthritis of talonavicular joint","N040H00","","IMRD"
"N040J00","Rheumatoid arthritis of other tarsal joint","N040J00","","IMRD"
"N040K00","Rheumatoid arthritis of 1st MTP joint","N040K00","","IMRD"
"N040L00","Rheumatoid arthritis of lesser MTP joint","N040L00","","IMRD"
"N040M00","Rheumatoid arthritis of IP joint of toe","N040M00","","IMRD"
"N040N00","Rheumatoid vasculitis","N040N00","","IMRD"
"N040P00","Seronegative rheumatoid arthritis","N040P00","","IMRD"
"N040Q00","Rheumatoid bursitis","N040Q00","","IMRD"
"N040R00","Rheumatoid nodule","N040R00","","IMRD"
"N040S00","Rheumatoid arthritis - multiple joint","N040S00","","IMRD"
"N041.00","Felty's syndrome","N041.00","","IMRD"
"N042100","Rheumatoid lung disease","N042100","","IMRD"
"N042200","Rheumatoid nodule","N042200","","IMRD"
"N047.00","Seropositive errosive rheumatoid arthritis","N047.00","","IMRD"
"N04X.00","Seropositive rheumatoid arthritis, unspecified","N04X.00","","IMRD"
"N04y000","Rheumatoid lung","N04y000","","IMRD"
"N04y011","Caplan's syndrome","N04y011","","IMRD"
"N04y012","Fibrosing alveolitis associated with rheumatoid arthritis","N04y012","","IMRD"
"Nyu1000","[X]Rheumatoid arthritis+involvement/other organs or systems","Nyu1000","","IMRD"
"Nyu1100","[X]Other seropositive rheumatoid arthritis","Nyu1100","","IMRD"
"Nyu1200","[X]Other specified rheumatoid arthritis","Nyu1200","","IMRD"
"Nyu1G00","[X]Seropositive rheumatoid arthritis, unspecified","Nyu1G00","","IMRD"
