"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"13o5.00","Preferred method of communication: Makaton","13o5.00","","IMRD"
"13o6.00","Preferred method of communication: British Sign Language","13o6.00","","IMRD"
"13o8500","Uses British Sign Language interpreter","13o8500","","IMRD"
"13o8M00","Uses sign language","13o8M00","","IMRD"
"13ZL.00","Using lip-reading","13ZL.00","","IMRD"
"13ZM.00","Using British sign language","13ZM.00","","IMRD"
"13ZP.00","Using Makaton sign language","13ZP.00","","IMRD"
"1C17.00","Hearing aid problem","1C17.00","","IMRD"
"2DG..00","Hearing aid worn","2DG..00","","IMRD"
"2DH0.00","Uses hearing loop","2DH0.00","","IMRD"
"2DH1.00","Does use hearing aid","2DH1.00","","IMRD"
"7308400","Placement of hearing implant in external ear","7308400","","IMRD"
"7308500","Attention to hearing implant in external ear","7308500","","IMRD"
"7308600","Removal of hearing implant from external ear","7308600","","IMRD"
"7311A00","Insertn bone anchors subcutaneous bone anchored hearing aid","7311A00","","IMRD"
"7317C00","Placement of hearing implant in middle ear","7317C00","","IMRD"
"7317D00","Attention to hearing implant in middle ear","7317D00","","IMRD"
"7317E00","Removal of hearing implant from middle ear","7317E00","","IMRD"
"7319.00","Attachment of bone anchored hearing prosthesis","7319.00","","IMRD"
"7319000","Insertion fixtures bone anchored hearing prosthesis Stage 1","7319000","","IMRD"
"7319100","Insertion fixtures bone anchored hearing prosthesis Stage 2","7319100","","IMRD"
"7319200","Reduction soft tissue for bone anchored hearing prosthesis","7319200","","IMRD"
"7319300","Attention to fixtures for bone anchored hearing prosthesis","7319300","","IMRD"
"7319400","One stage insert fixtures bone anchored hearing prosthesis","7319400","","IMRD"
"7319500","Fitting external hearing prosthesis bone anchored fixtures","7319500","","IMRD"
"7319600","First stge ins fixtures for bone anchored hearing prosthesis","7319600","","IMRD"
"7319y00","Other specified attachment bone anchored hearing prosthesis","7319y00","","IMRD"
"7319z00","Attachment of bone anchored hearing prosthesis NOS","7319z00","","IMRD"
"7321000","Implantation of intracochlear prosthesis","7321000","","IMRD"
"7321100","Implantation of extracochlear prosthesis","7321100","","IMRD"
"7321200","Attention to cochlear prosthesis","7321200","","IMRD"
"7321211","Removal of cochlear prosthesis","7321211","","IMRD"
"7321800","Removal of cochlear prosthesis","7321800","","IMRD"
"8D2..12","Hearing aid provision","8D2..12","","IMRD"
"8D21.00","Provide head worn hearing aid","8D21.00","","IMRD"
"8D22.00","Provide body worn hearing aid","8D22.00","","IMRD"
"8D23.00","Ear fitting hearing aid","8D23.00","","IMRD"
"8D24.00","Replace hearing aid battery","8D24.00","","IMRD"
"8D26.00","Provision of replacement hearing aid","8D26.00","","IMRD"
"8E31.00","Lip reading training","8E31.00","","IMRD"
"8M41.00","Hearing aid requested","8M41.00","","IMRD"
"8O0E.00","Provision of support as Makaton user","8O0E.00","","IMRD"
"8O0F.00","Provision of support as signing user","8O0F.00","","IMRD"
"9NfL.00","Requires information in Makaton","9NfL.00","","IMRD"
"9NnR.00","Visual frame sign language interpreter needed","9NnR.00","","IMRD"
"9NnS.00","Hands-on signing interpreter needed","9NnS.00","","IMRD"
"9NUw.00","Interpreter needed - British Sign Language","9NUw.00","","IMRD"
"9NUx.00","Interpreter needed - Makaton Sign Language","9NUx.00","","IMRD"
"F591900","Bilateral profound sensorineural hearing loss","F591900","","IMRD"
"F591B00","Profound sensorineural hearing loss","F591B00","","IMRD"
"F591E00","Severe sensorineural hearing loss","F591E00","","IMRD"
"F593.00","Deaf mutism, NEC","F593.00","","IMRD"
"F599.00","Severe acquired hearing loss","F599.00","","IMRD"
"F59A.00","Profound acquired hearing loss","F59A.00","","IMRD"
"FyuU000","[X]Deaf mutism, not elsewhere classified","FyuU000","","IMRD"
"Z37G.00","Provision of support as Makaton user","Z37G.00","","IMRD"
"Z37H.00","Provision of support as signing user","Z37H.00","","IMRD"
"Z472900","Using sign language to communicate with client","Z472900","","IMRD"
"Z8B5.00","Ability to use hearing aid","Z8B5.00","","IMRD"
"Z8B5100","Able to use hearing aid","Z8B5100","","IMRD"
"Z8B5200","Unable to use hearing aid","Z8B5200","","IMRD"
"Z8B5300","Does use hearing aid","Z8B5300","","IMRD"
"Z8B5311","Uses hearing aid","Z8B5311","","IMRD"
"Z8B5500","Difficulty using hearing aid","Z8B5500","","IMRD"
"Z911.00","Hearing aid procedure","Z911.00","","IMRD"
"Z911100","Fit hearing aid","Z911100","","IMRD"
"Z911300","Adjust hearing aid settings","Z911300","","IMRD"
"Z911400","Changing hearing aid battery","Z911400","","IMRD"
"Z911500","Checking hearing aid","Z911500","","IMRD"
"Z911700","Switching on hearing aid","Z911700","","IMRD"
"Z911800","Turning off hearing aid","Z911800","","IMRD"
"Z911900","Putting on hearing aid","Z911900","","IMRD"
"Z911A00","Listening for feedback whistle of hearing aid","Z911A00","","IMRD"
"Z911B00","Attention to hearing aid","Z911B00","","IMRD"
"Z911E00","Fit ear mould for existing hearing aid","Z911E00","","IMRD"
"Z912.00","Adjustment of cochlear implant processor","Z912.00","","IMRD"
"Z9E8100","Hearing aid provision","Z9E8100","","IMRD"
"ZV45G00","[V]Presence of external hearing-aid","ZV45G00","","IMRD"
"ZV45N00","[V]Bone anchored hearing aid in situ","ZV45N00","","IMRD"
"ZV53200","[V]Fitting or adjustment of hearing aid","ZV53200","","IMRD"
"ZV53D00","[V]Adjustment and management of implanted hearing device","ZV53D00","","IMRD"
