"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1458.00","History of sickle cell anaemia","1458.00","","IMRD"
"D104211","Sickle-cell thalassaemia","D104211","","IMRD"
"D106.00","Sickle-cell anaemia","D106.00","","IMRD"
"D106000","Sickle-cell anaemia of unspecified type","D106000","","IMRD"
"D106100","Sickle-cell anaemia with no crisis","D106100","","IMRD"
"D106200","Sickle-cell anaemia with crisis","D106200","","IMRD"
"D106300","Sickle-cell anaemia with haemoglobin C disease","D106300","","IMRD"
"D106400","Sickle-cell anaemia with haemoglobin D disease","D106400","","IMRD"
"D106500","Sickle-cell anaemia with haemoglobin E disease","D106500","","IMRD"
"D106z00","Sickle-cell anaemia NOS","D106z00","","IMRD"
"Dyu1200","[X]Other sickle-cell disorders","Dyu1200","","IMRD"
"F422100","Proliferative retinopathy due to sickle cell disease","F422100","","IMRD"
"K0G..00","Sickle cell nephropathy","K0G..00","","IMRD"
