"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1425000","H/O Malignant melanoma","1425000","","IMRD"
"4M70.00","Clark melanoma level 1","4M70.00","","IMRD"
"4M71.00","Clark melanoma level 2","4M71.00","","IMRD"
"4M72.00","Clark melanoma level 3","4M72.00","","IMRD"
"4M73.00","Clark melanoma level 4","4M73.00","","IMRD"
"4M74.00","Clark melanoma level 5","4M74.00","","IMRD"
"7G03J00","Excision of melanoma","7G03J00","","IMRD"
"7G03K00","Excision malignant skin tumour","7G03K00","","IMRD"
"7G05600","Excision biopsy of rodent ulcer","7G05600","","IMRD"
"B3...00","Malig neop of bone, connective tissue, skin and breast","B3...00","","IMRD"
"B3...11","Carcinoma of bone, connective tissue, skin and breast","B3...11","","IMRD"
"B310400","Malignant neoplasm of tarsus of eyelid","B310400","","IMRD"
"B32..00","Malignant melanoma of skin","B32..00","","IMRD"
"B320.00","Malignant melanoma of lip","B320.00","","IMRD"
"B321.00","Malignant melanoma of eyelid including canthus","B321.00","","IMRD"
"B322.00","Malignant melanoma of ear and external auricular canal","B322.00","","IMRD"
"B322000","Malignant melanoma of auricle (ear)","B322000","","IMRD"
"B322100","Malignant melanoma of external auditory meatus","B322100","","IMRD"
"B322z00","Malignant melanoma of ear and external auricular canal NOS","B322z00","","IMRD"
"B323.00","Malignant melanoma of other and unspecified parts of face","B323.00","","IMRD"
"B323000","Malignant melanoma of external surface of cheek","B323000","","IMRD"
"B323100","Malignant melanoma of chin","B323100","","IMRD"
"B323200","Malignant melanoma of eyebrow","B323200","","IMRD"
"B323300","Malignant melanoma of forehead","B323300","","IMRD"
"B323400","Malignant melanoma of external surface of nose","B323400","","IMRD"
"B323500","Malignant melanoma of temple","B323500","","IMRD"
"B323z00","Malignant melanoma of face NOS","B323z00","","IMRD"
"B324.00","Malignant melanoma of scalp and neck","B324.00","","IMRD"
"B324000","Malignant melanoma of scalp","B324000","","IMRD"
"B324100","Malignant melanoma of neck","B324100","","IMRD"
"B324z00","Malignant melanoma of scalp and neck NOS","B324z00","","IMRD"
"B325.00","Malignant melanoma of trunk (excluding scrotum)","B325.00","","IMRD"
"B325000","Malignant melanoma of axilla","B325000","","IMRD"
"B325100","Malignant melanoma of breast","B325100","","IMRD"
"B325200","Malignant melanoma of buttock","B325200","","IMRD"
"B325300","Malignant melanoma of groin","B325300","","IMRD"
"B325400","Malignant melanoma of perianal skin","B325400","","IMRD"
"B325500","Malignant melanoma of perineum","B325500","","IMRD"
"B325600","Malignant melanoma of umbilicus","B325600","","IMRD"
"B325700","Malignant melanoma of back","B325700","","IMRD"
"B325800","Malignant melanoma of chest wall","B325800","","IMRD"
"B325z00","Malignant melanoma of trunk, excluding scrotum, NOS","B325z00","","IMRD"
"B326.00","Malignant melanoma of upper limb and shoulder","B326.00","","IMRD"
"B326000","Malignant melanoma of shoulder","B326000","","IMRD"
"B326100","Malignant melanoma of upper arm","B326100","","IMRD"
"B326200","Malignant melanoma of fore-arm","B326200","","IMRD"
"B326300","Malignant melanoma of hand","B326300","","IMRD"
"B326400","Malignant melanoma of finger","B326400","","IMRD"
"B326500","Malignant melanoma of thumb","B326500","","IMRD"
"B326z00","Malignant melanoma of upper limb or shoulder NOS","B326z00","","IMRD"
"B327.00","Malignant melanoma of lower limb and hip","B327.00","","IMRD"
"B327000","Malignant melanoma of hip","B327000","","IMRD"
"B327100","Malignant melanoma of thigh","B327100","","IMRD"
"B327200","Malignant melanoma of knee","B327200","","IMRD"
"B327300","Malignant melanoma of popliteal fossa area","B327300","","IMRD"
"B327400","Malignant melanoma of lower leg","B327400","","IMRD"
"B327500","Malignant melanoma of ankle","B327500","","IMRD"
"B327600","Malignant melanoma of heel","B327600","","IMRD"
"B327700","Malignant melanoma of foot","B327700","","IMRD"
"B327800","Malignant melanoma of toe","B327800","","IMRD"
"B327900","Malignant melanoma of great toe","B327900","","IMRD"
"B327z00","Malignant melanoma of lower limb or hip NOS","B327z00","","IMRD"
"B328.00","Malignant melanoma stage IA","B328.00","","IMRD"
"B329.00","Malignant melanoma stage IB","B329.00","","IMRD"
"B32A.00","Malignant melanoma stage IIA","B32A.00","","IMRD"
"B32B.00","Malignant melanoma stage IIB","B32B.00","","IMRD"
"B32C.00","Malignant melanoma stage IIC","B32C.00","","IMRD"
"B32D.00","Malignant melanoma stage IIIA","B32D.00","","IMRD"
"B32E.00","Malignant melanoma stage IIIB","B32E.00","","IMRD"
"B32F.00","Malignant melanoma stage IIIC","B32F.00","","IMRD"
"B32G.00","Malignant melanoma stage IV M1a","B32G.00","","IMRD"
"B32H.00","Malignant melanoma stage IV M1b","B32H.00","","IMRD"
"B32J.00","Malignant melanoma stage IV M1c","B32J.00","","IMRD"
"B32y.00","Malignant melanoma of other specified skin site","B32y.00","","IMRD"
"B32y000","Overlapping malignant melanoma of skin","B32y000","","IMRD"
"B32z.00","Malignant melanoma of skin NOS","B32z.00","","IMRD"
"B33..00","Other malignant neoplasm of skin","B33..00","","IMRD"
"B33..13","Rodent ulcer","B33..13","","IMRD"
"B33..14","Malignant neoplasm of sebaceous gland","B33..14","","IMRD"
"B33..15","Malignant neoplasm of sweat gland","B33..15","","IMRD"
"B330.00","Malignant neoplasm of skin of lip","B330.00","","IMRD"
"B331.00","Malignant neoplasm of eyelid including canthus","B331.00","","IMRD"
"B331100","Malignant neoplasm of upper eyelid","B331100","","IMRD"
"B331200","Malignant neoplasm of lower eyelid","B331200","","IMRD"
"B332.00","Malignant neoplasm skin of ear and external auricular canal","B332.00","","IMRD"
"B332000","Malignant neoplasm of skin of auricle (ear)","B332000","","IMRD"
"B332100","Malignant neoplasm of skin of external auditory meatus","B332100","","IMRD"
"B332200","Malignant neoplasm of pinna NEC","B332200","","IMRD"
"B332z00","Malig neop skin of ear and external auricular canal NOS","B332z00","","IMRD"
"B333.00","Malignant neoplasm skin of other and unspecified parts face","B333.00","","IMRD"
"B333000","Malignant neoplasm of skin of cheek, external","B333000","","IMRD"
"B333100","Malignant neoplasm of skin of chin","B333100","","IMRD"
"B333200","Malignant neoplasm of skin of eyebrow","B333200","","IMRD"
"B333300","Malignant neoplasm of skin of forehead","B333300","","IMRD"
"B333400","Malignant neoplasm of skin of nose (external)","B333400","","IMRD"
"B333500","Malignant neoplasm of skin of temple","B333500","","IMRD"
"B333z00","Malignant neoplasm skin other and unspec part of face NOS","B333z00","","IMRD"
"B334.00","Malignant neoplasm of scalp and skin of neck","B334.00","","IMRD"
"B334000","Malignant neoplasm of scalp","B334000","","IMRD"
"B334100","Malignant neoplasm of skin of neck","B334100","","IMRD"
"B334z00","Malignant neoplasm of scalp or skin of neck NOS","B334z00","","IMRD"
"B335.00","Malignant neoplasm of skin of trunk, excluding scrotum","B335.00","","IMRD"
"B335000","Malignant neoplasm of skin of axillary fold","B335000","","IMRD"
"B335100","Malignant neoplasm of skin of chest, excluding breast","B335100","","IMRD"
"B335200","Malignant neoplasm of skin of breast","B335200","","IMRD"
"B335300","Malignant neoplasm of skin of abdominal wall","B335300","","IMRD"
"B335400","Malignant neoplasm of skin of umbilicus","B335400","","IMRD"
"B335500","Malignant neoplasm of skin of groin","B335500","","IMRD"
"B335600","Malignant neoplasm of skin of perineum","B335600","","IMRD"
"B335700","Malignant neoplasm of skin of back","B335700","","IMRD"
"B335800","Malignant neoplasm of skin of buttock","B335800","","IMRD"
"B335900","Malignant neoplasm of perianal skin","B335900","","IMRD"
"B335A00","Malignant neoplasm of skin of scapular region","B335A00","","IMRD"
"B335z00","Malignant neoplasm of skin of trunk, excluding scrotum, NOS","B335z00","","IMRD"
"B336.00","Malignant neoplasm of skin of upper limb and shoulder","B336.00","","IMRD"
"B336000","Malignant neoplasm of skin of shoulder","B336000","","IMRD"
"B336100","Malignant neoplasm of skin of upper arm","B336100","","IMRD"
"B336200","Malignant neoplasm of skin of fore-arm","B336200","","IMRD"
"B336300","Malignant neoplasm of skin of hand","B336300","","IMRD"
"B336400","Malignant neoplasm of skin of finger","B336400","","IMRD"
"B336500","Malignant neoplasm of skin of thumb","B336500","","IMRD"
"B336z00","Malignant neoplasm of skin of upper limb or shoulder NOS","B336z00","","IMRD"
"B337.00","Malignant neoplasm of skin of lower limb and hip","B337.00","","IMRD"
"B337000","Malignant neoplasm of skin of hip","B337000","","IMRD"
"B337100","Malignant neoplasm of skin of thigh","B337100","","IMRD"
"B337200","Malignant neoplasm of skin of knee","B337200","","IMRD"
"B337300","Malignant neoplasm of skin of popliteal fossa area","B337300","","IMRD"
"B337400","Malignant neoplasm of skin of lower leg","B337400","","IMRD"
"B337500","Malignant neoplasm of skin of ankle","B337500","","IMRD"
"B337600","Malignant neoplasm of skin of heel","B337600","","IMRD"
"B337700","Malignant neoplasm of skin of foot","B337700","","IMRD"
"B337800","Malignant neoplasm of skin of toe","B337800","","IMRD"
"B337900","Malignant neoplasm of skin of great toe","B337900","","IMRD"
"B337z00","Malignant neoplasm of skin of lower limb or hip NOS","B337z00","","IMRD"
"B338.00","Squamous cell carcinoma of skin","B338.00","","IMRD"
"B339.00","Dermatofibrosarcoma protuberans","B339.00","","IMRD"
"B33X.00","Malignant neoplasm overlapping lesion of skin","B33X.00","","IMRD"
"B33y.00","Malignant neoplasm of other specified skin sites","B33y.00","","IMRD"
"B33z.00","Malignant neoplasm of skin NOS","B33z.00","","IMRD"
"B33z.11","Squamous cell carcinoma of skin NOS","B33z.11","","IMRD"
"B33z000","Kaposi's sarcoma of skin","B33z000","","IMRD"
"B3y..00","Malig neop of bone, connective tissue, skin and breast OS","B3y..00","","IMRD"
"B3z..00","Malig neop of bone, connective tissue, skin and breast NOS","B3z..00","","IMRD"
"B480.00","Malignant neoplasm of prepuce (foreskin)","B480.00","","IMRD"
"B509.00","Malignant melanoma of eye","B509.00","","IMRD"
"B582.00","Secondary malignant neoplasm of skin","B582.00","","IMRD"
"B582000","Secondary malignant neoplasm of skin of head","B582000","","IMRD"
"B582100","Secondary malignant neoplasm of skin of face","B582100","","IMRD"
"B582200","Secondary malignant neoplasm of skin of neck","B582200","","IMRD"
"B582300","Secondary malignant neoplasm of skin of trunk","B582300","","IMRD"
"B582400","Secondary malignant neoplasm of skin of shoulder and arm","B582400","","IMRD"
"B582500","Secondary malignant neoplasm of skin of hip and leg","B582500","","IMRD"
"B582600","Secondary malignant neoplasm of skin of breast","B582600","","IMRD"
"B582z00","Secondary malignant neoplasm of skin NOS","B582z00","","IMRD"
"B628600","Cutaneous follicle centre lymphoma","B628600","","IMRD"
"B62E300","Cutaneous T-cell lymphoma","B62E300","","IMRD"
"B62xX00","Oth and unspecif peripheral & cutaneous T-cell lymphomas","B62xX00","","IMRD"
"B932.00","Neoplasm of uncertain behaviour of skin","B932.00","","IMRD"
"BA02.00","Neoplasm of unspecified nature of bone, skin and soft tissue","BA02.00","","IMRD"
"BA02200","Neoplasm of unspecified nature of skin","BA02200","","IMRD"
"BA02z00","Neoplasm of unspec nature of bone, skin or soft tissue NOS","BA02z00","","IMRD"
"BB2..12","[M]Squamous cell neoplasms","BB2..12","","IMRD"
"BB2A.13","[M]Squamous cell carcinoma of skin NOS","BB2A.13","","IMRD"
"BB36.00","[M]Metatypical carcinoma","BB36.00","","IMRD"
"BB5RA00","[M]Merkel cell carcinoma","BB5RA00","","IMRD"
"BB6..00","[M]Adnexal and skin appendage neoplasms","BB6..00","","IMRD"
"BB60.00","[M]Skin appendage adenoma and carcinoma","BB60.00","","IMRD"
"BB60100","[M]Skin appendage carcinoma","BB60100","","IMRD"
"BB60z00","[M]Skin appendage adenoma or carcinoma NOS","BB60z00","","IMRD"
"BB61100","[M]Sweat gland tumour NOS","BB61100","","IMRD"
"BB62.00","[M]Apocrine adenoma and adenocarcinomas","BB62.00","","IMRD"
"BB62100","[M]Apocrine adenocarcinoma","BB62100","","IMRD"
"BB62z00","[M]Apocrine adenoma or adenocarcinoma NOS","BB62z00","","IMRD"
"BB69.00","[M]Sebaceous adenoma and adenocarcinoma","BB69.00","","IMRD"
"BB69100","[M]Sebaceous adenocarcinoma","BB69100","","IMRD"
"BB69z00","[M]Sebaceous adenoma or adenocarcinoma NOS","BB69z00","","IMRD"
"BB6z.00","[M]Adnexal and skin appendage neoplasm NOS","BB6z.00","","IMRD"
"BBB5.00","[M]Adenocarcinoma with apocrine metaplasia","BBB5.00","","IMRD"
"BBE..00","[M]Naevi and melanomas","BBE..00","","IMRD"
"BBE1.00","[M]Malignant melanoma NOS","BBE1.00","","IMRD"
"BBE1.11","[M]Melanocarcinoma","BBE1.11","","IMRD"
"BBE1.12","[M]Melanoma NOS","BBE1.12","","IMRD"
"BBE1.14","[M]Naevocarcinoma","BBE1.14","","IMRD"
"BBE1000","[M]Malignant melanoma, regressing","BBE1000","","IMRD"
"BBE1100","[M]Desmoplastic melanoma, malignant","BBE1100","","IMRD"
"BBE2.00","[M]Nodular melanoma","BBE2.00","","IMRD"
"BBE4.00","[M]Balloon cell melanoma","BBE4.00","","IMRD"
"BBEA.00","[M]Amelanotic melanoma","BBEA.00","","IMRD"
"BBEC.00","[M]Malignant melanoma in junctional naevus","BBEC.00","","IMRD"
"BBEE.00","[M]Malignant melanoma in precancerous melanosis","BBEE.00","","IMRD"
"BBEG.00","[M]Malignant melanoma in Hutchinson's melanotic freckle","BBEG.00","","IMRD"
"BBEG.11","[M]Lentigo maligna melanoma","BBEG.11","","IMRD"
"BBEG000","[M]Acral lentiginous melanoma, malignant","BBEG000","","IMRD"
"BBEH.00","[M]Superficial spreading melanoma","BBEH.00","","IMRD"
"BBEM.00","[M]Malignant melanoma in giant pigmented naevus","BBEM.00","","IMRD"
"BBEN.11","[M]Juvenila melanoma","BBEN.11","","IMRD"
"BBEP.00","[M]Epithelioid cell melanoma","BBEP.00","","IMRD"
"BBEQ.00","[M]Spindle cell melanoma NOS","BBEQ.00","","IMRD"
"BBER.00","[M]Spindle cell melanoma, type A","BBER.00","","IMRD"
"BBES.00","[M]Spindle cell melanoma, type B","BBES.00","","IMRD"
"BBET.00","[M]Mixed epithelioid and spindle melanoma","BBET.00","","IMRD"
"BBEz.00","[M]Naevi or melanoma NOS","BBEz.00","","IMRD"
"BBGM.00","[M]Dermatofibrosarcoma NOS","BBGM.00","","IMRD"
"BBGP.00","[M]Pigmented dermatofibrosarcoma protuberans","BBGP.00","","IMRD"
"BBmD.00","[M] Cutaneous lymphoma","BBmD.00","","IMRD"
"Byu4.00","[X]Melanoma and other malignant neoplasms of skin","Byu4.00","","IMRD"
"Byu4000","[X]Malignant melanoma of other+unspecified parts of face","Byu4000","","IMRD"
"Byu4100","[X]Malignant melanoma of skin, unspecified","Byu4100","","IMRD"
"Byu4200","[X]Oth malignant neoplasm/skin of oth+unspecfd parts of face","Byu4200","","IMRD"
"Byu4300","[X]Malignant neoplasm of skin, unspecified","Byu4300","","IMRD"
"Byu5A00","[X]Malignant neoplasm overlapping lesion of skin","Byu5A00","","IMRD"
"ByuDD00","[X]Oth and unspecif peripheral & cutaneous T-cell lymphomas","ByuDD00","","IMRD"
"ZV10y14","[V]Personal history of malignant neoplasm of skin","ZV10y14","","IMRD"
