"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"7004100","Evacuation of haematoma from temporal lobe of brain","7004100","","IMRD"
"7004200","Evacuation of haematoma from cerebellum","7004200","","IMRD"
"7004300","Evacuation of intracerebral haematoma NEC","7004300","","IMRD"
"7008200","Aspiration of haematoma of brain tissue","7008200","","IMRD"
"G60..00","Subarachnoid haemorrhage","G60..00","","IMRD"
"G600.00","Ruptured berry aneurysm","G600.00","","IMRD"
"G601.00","Subarachnoid haemorrhage from carotid siphon and bifurcation","G601.00","","IMRD"
"G602.00","Subarachnoid haemorrhage from middle cerebral artery","G602.00","","IMRD"
"G603.00","Subarachnoid haemorrhage from anterior communicating artery","G603.00","","IMRD"
"G604.00","Subarachnoid haemorrhage from posterior communicating artery","G604.00","","IMRD"
"G605.00","Subarachnoid haemorrhage from basilar artery","G605.00","","IMRD"
"G606.00","Subarachnoid haemorrhage from vertebral artery","G606.00","","IMRD"
"G60X.00","Subarachnoid haemorrh from intracranial artery, unspecif","G60X.00","","IMRD"
"G60z.00","Subarachnoid haemorrhage NOS","G60z.00","","IMRD"
"G61..00","Intracerebral haemorrhage","G61..00","","IMRD"
"G61..11","CVA - cerebrovascular accid due to intracerebral haemorrhage","G61..11","","IMRD"
"G61..12","Stroke due to intracerebral haemorrhage","G61..12","","IMRD"
"G610.00","Cortical haemorrhage","G610.00","","IMRD"
"G611.00","Internal capsule haemorrhage","G611.00","","IMRD"
"G612.00","Basal nucleus haemorrhage","G612.00","","IMRD"
"G613.00","Cerebellar haemorrhage","G613.00","","IMRD"
"G614.00","Pontine haemorrhage","G614.00","","IMRD"
"G615.00","Bulbar haemorrhage","G615.00","","IMRD"
"G616.00","External capsule haemorrhage","G616.00","","IMRD"
"G617.00","Intracerebral haemorrhage, intraventricular","G617.00","","IMRD"
"G618.00","Intracerebral haemorrhage, multiple localized","G618.00","","IMRD"
"G619.00","Lobar cerebral haemorrhage","G619.00","","IMRD"
"G61X.00","Intracerebral haemorrhage in hemisphere, unspecified","G61X.00","","IMRD"
"G61X000","Left sided intracerebral haemorrhage, unspecified","G61X000","","IMRD"
"G61X100","Right sided intracerebral haemorrhage, unspecified","G61X100","","IMRD"
"G61z.00","Intracerebral haemorrhage NOS","G61z.00","","IMRD"
"G680.00","Sequelae of subarachnoid haemorrhage","G680.00","","IMRD"
"G681.00","Sequelae of intracerebral haemorrhage","G681.00","","IMRD"
"Gyu6000","[X]Subarachnoid haemorrhage from other intracranial arteries","Gyu6000","","IMRD"
"Gyu6100","[X]Other subarachnoid haemorrhage","Gyu6100","","IMRD"
"Gyu6200","[X]Other intracerebral haemorrhage","Gyu6200","","IMRD"
"Gyu6E00","[X]Subarachnoid haemorrh from intracranial artery, unspecif","Gyu6E00","","IMRD"
"Gyu6F00","[X]Intracerebral haemorrhage in hemisphere, unspecified","Gyu6F00","","IMRD"
"Q200011","Intracerebral haemorrhage in fetus or newborn","Q200011","","IMRD"
