"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"53211014","CREST syndrome","N001100","31848007","CPRD_AURUM"
"147834015","Progressive systemic sclerosis","N001000","444133002","CPRD_AURUM"
"297644019","Myopathy due to scleroderma","F396600","193252005","CPRD_AURUM"
"301716018","Lung disease with systemic sclerosis","H572.00","196133001","CPRD_AURUM"
"309416016","Systemic sclerosis induced by drugs and chemicals","N001200","201443009","CPRD_AURUM"
"354512012","Renal involvement in scleroderma","K0J0.00","236502006","CPRD_AURUM"
"312581012","[X]Other forms of systemic sclerosis","Nyu4500","89155008","CPRD_AURUM"
"316770014","Scleroderma in newborn","Q471100","206541009","CPRD_AURUM"
"5850801000006113","Systemic sclerosis with limited cutaneous involvement","","298285004","CPRD_AURUM"
"7288571000006116","PSS - Progressive systemic sclerosis","","444133002","CPRD_AURUM"
"3949121000006118","Scleroderma syndrome","","89155008","CPRD_AURUM"
"3012951000006119","CREST - Calcinosis, Raynaud's phenomenon, esophageal dysfunction, sclerodactyly, telangiectasia","","31848007","CPRD_AURUM"
"3012961000006117","CREST - Calcinosis, Raynaud's phenomenon, sclerodactyly, esophageal involvement, telangiectasia syndrome","","31848007","CPRD_AURUM"
"3949101000006111","Systemic scleroderma","","89155008","CPRD_AURUM"
"3012991000006113","Calcinosis, Raynaud phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome","","31848007","CPRD_AURUM"
"4770951000006114","Myopathy due to systemic sclerosis","","193252005","CPRD_AURUM"
"4782401000006112","Scleroderma lung disease","","196133001","CPRD_AURUM"
"309413012","Scleroderma","N001.00","89155008","CPRD_AURUM"
"147833014","Systemic sclerosis","N001.12","89155008","CPRD_AURUM"
"3949131000006115","SS - Systemic sclerosis","","89155008","CPRD_AURUM"
"3012981000006110","Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome","","31848007","CPRD_AURUM"
"3012971000006112","Calcinosis, Raynaud's phenomenon, oesophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome","","31848007","CPRD_AURUM"
"3012941000006116","CREST - Calcinosis, Raynaud's phenomenon, sclerodactyly, oesophageal involvement, telangiectasia syndrome","","31848007","CPRD_AURUM"
"1785104011","Acrosclerosis","N001.11","298285004","CPRD_AURUM"
"354513019","Acute scleroderma renal crisis","K0H..00","236503001","CPRD_AURUM"
"3012931000006114","CREST - Calcinosis, Raynaud's phenomenon, oesophageal dysfunction, sclerodactyly, telangiectasia","","31848007","CPRD_AURUM"
"4782411000006110","Scleroderma of lung","","196133001","CPRD_AURUM"
"12719701000006115","Scleroderma in newborn","","206541009","CPRD_AURUM"
