"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"F396600","Myopathy due to scleroderma","F396600","","IMRD"
"H572.00","Lung disease with systemic sclerosis","H572.00","","IMRD"
"K0H..00","Acute scleroderma renal crisis","K0H..00","","IMRD"
"K0J0.00","Renal involvement in scleroderma","K0J0.00","","IMRD"
"N001.00","Scleroderma","N001.00","","IMRD"
"N001.11","Acrosclerosis","N001.11","","IMRD"
"N001.12","Systemic sclerosis","N001.12","","IMRD"
"N001000","Progressive systemic sclerosis","N001000","","IMRD"
"N001100","CREST syndrome","N001100","","IMRD"
"N001200","Systemic sclerosis induced by drugs and chemicals","N001200","","IMRD"
"Nyu4500","[X]Other forms of systemic sclerosis","Nyu4500","","IMRD"
"Q471100","Scleroderma in newborn","Q471100","","IMRD"
