"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"14AB.00","H/O: TIA","14AB.00","","IMRD"
"14AB000","H/O amaurosis fugax","14AB000","","IMRD"
"F423600","Amaurosis fugax","F423600","","IMRD"
"Fyu5500","[X]Other transnt cerebral ischaemic attacks+related syndroms","Fyu5500","","IMRD"
"G65..00","Transient cerebral ischaemia","G65..00","","IMRD"
"G65..11","Drop attack","G65..11","","IMRD"
"G65..12","Transient ischaemic attack","G65..12","","IMRD"
"G657.00","Carotid territory transient ischaemic attack","G657.00","","IMRD"
"G65y.00","Other transient cerebral ischaemia","G65y.00","","IMRD"
"G65z.00","Transient cerebral ischaemia NOS","G65z.00","","IMRD"
"G65z000","Impending cerebral ischaemia","G65z000","","IMRD"
"G65z100","Intermittent cerebral ischaemia","G65z100","","IMRD"
"G65zz00","Transient cerebral ischaemia NOS","G65zz00","","IMRD"
"R002700","[D]Drop attack","R002700","","IMRD"
"ZV12D00","[V]Personal history of transient ischaemic attack","ZV12D00","","IMRD"
