"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"477758018","Delta-beta thalassaemia","D104900","16360009","CPRD_AURUM"
"492446019","Thalassaemia","D104.00","40108008","CPRD_AURUM"
"881981000006110","Thalassaemias","D104.99","40108008","CPRD_AURUM"
"294586010","[X]Other thalassaemias","Dyu1100","40108008","CPRD_AURUM"
"399206011","Thalassaemia major NEC","D104000","75451007","CPRD_AURUM"
"110881000006115","Thalassaemia major - Cooley's anaemia","D104011","26682008","CPRD_AURUM"
"141261000006112","Sickle-cell thalassaemia","D104211","127041004","CPRD_AURUM"
"510091000006118","Beta major thalassaemia","D104700","26682008","CPRD_AURUM"
"711521000006117","Mediterranean anaemia","D104.12","40108008","CPRD_AURUM"
"711531000006119","Mediterranean anaemia","D104z11","40108008","CPRD_AURUM"
"4392921000006114","Sickle cell-beta-thalassemia","","127041004","CPRD_AURUM"
"2808521000006111","Heterozygous thalassemia","","19442009","CPRD_AURUM"
"4392961000006115","Double heterozygous for Hb S and beta thalassemia","","127041004","CPRD_AURUM"
"4392981000006113","Thalassemia with hemoglobin S disease","","127041004","CPRD_AURUM"
"2759411000006117","F thalassaemia","","16360009","CPRD_AURUM"
"2927341000006111","Homozygous beta thalassemia","","26682008","CPRD_AURUM"
"4392941000006119","Double heterozygous for Hb S and beta thalassaemia","","127041004","CPRD_AURUM"
"2808511000006115","Heterozygous thalassaemia","","19442009","CPRD_AURUM"
"3572551000006118","beta Thalassaemia","","65959000","CPRD_AURUM"
"3572591000006112","Beta thalassaemia syndrome","","65959000","CPRD_AURUM"
"3620711000006117","Alpha thalassemia syndrome","","68913001","CPRD_AURUM"
"3572581000006114","Beta thalassemia syndrome","","65959000","CPRD_AURUM"
"4392911000006118","Sickle cell-beta-thalassaemia","","127041004","CPRD_AURUM"
"3726951000006114","Homozygous thalassemia","","75451007","CPRD_AURUM"
"3572561000006116","beta Thalassemia","","65959000","CPRD_AURUM"
"3726941000006112","Thalassemia major","","75451007","CPRD_AURUM"
"3145291000006113","Thalassemia","","40108008","CPRD_AURUM"
"2584211000006111","Alpha thalassemia major","","5300004","CPRD_AURUM"
"3620681000006118","alpha Thalassaemia","","68913001","CPRD_AURUM"
"4392971000006110","Hemoglobin S/beta thalassemia","","127041004","CPRD_AURUM"
"5063871000006119","Homozygous alpha thalassemia","","234383000","CPRD_AURUM"
"500268011","Beta thalassaemia","D104811","65959000","CPRD_AURUM"
"399209016","Thalassaemia NOS","D104z00","40108008","CPRD_AURUM"
"2759401000006115","F thalassemia","","16360009","CPRD_AURUM"
"3726961000006111","Homozygous thalassaemia","","75451007","CPRD_AURUM"
"2927381000006117","Cooley's anaemia","","26682008","CPRD_AURUM"
"2584231000006117","Alpha thalassaemia major","","5300004","CPRD_AURUM"
"3620691000006115","alpha Thalassemia","","68913001","CPRD_AURUM"
"351150014","Homozygous alpha thalassaemia","D104311","234383000","CPRD_AURUM"
"501134015","alpha Thalassaemia","D104300","68913001","CPRD_AURUM"
"510081000006116","Beta intermedia thalassaemia","D104600","191189009","CPRD_AURUM"
"2759391000006117","Delta-beta thalassemia","","16360009","CPRD_AURUM"
"2759371000006118","delta beta Thalassaemia","","16360009","CPRD_AURUM"
"474030011","Thalassaemia with haemoglobin S disease","D104200","127041004","CPRD_AURUM"
"2759381000006115","delta beta Thalassemia","","16360009","CPRD_AURUM"
"2927331000006118","Homozygous beta thalassaemia","","26682008","CPRD_AURUM"
"3572571000006111","Beta thalassemia","","65959000","CPRD_AURUM"
"4761471000006110","Beta thalassemia intermedia","","191189009","CPRD_AURUM"
