"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1038","Insulin dependent diabetes mellitus","C100011","","CPRD_GOLD"
"1549","Type 1 diabetes mellitus","C10E.00","","CPRD_GOLD"
"1647","Insulin dependent diabetes mellitus","C108.00","","CPRD_GOLD"
"6509","Insulin dependent diabetes mellitus with retinopathy","C108700","","CPRD_GOLD"
"6791","Insulin dependent diabetes mellitus - poor control","C108800","","CPRD_GOLD"
"10418","Type 1 diabetes mellitus with nephropathy","C10ED00","","CPRD_GOLD"
"10692","Type 1 diabetes mellitus with ketoacidosis","C10EM00","","CPRD_GOLD"
"12455","Type I diabetes mellitus","C10E.11","","CPRD_GOLD"
"17545","Type I diabetes mellitus with diabetic cataract","C108F11","","CPRD_GOLD"
"17858","Type 1 diabetes mellitus","C108.12","","CPRD_GOLD"
"18230","Type 1 diabetes mellitus with neuropathic arthropathy","C108J12","","CPRD_GOLD"
"18387","Type 1 diabetes mellitus with retinopathy","C10E700","","CPRD_GOLD"
"18505","IDDM-Insulin dependent diabetes mellitus","C108.11","","CPRD_GOLD"
"18642","Type 1 diabetes mellitus with arthropathy","C10EH00","","CPRD_GOLD"
"18683","Type 1 diabetes mellitus with ulcer","C10E500","","CPRD_GOLD"
"21983","Type 1 diabetes mellitus with renal complications","C108012","","CPRD_GOLD"
"22871","Type 1 diabetes mellitus with exudative maculopathy","C10EP00","","CPRD_GOLD"
"24423","Type I diabetes mellitus","C108.13","","CPRD_GOLD"
"24694","Insulin dependent diabetes mellitus with mononeuropathy","C108B00","","CPRD_GOLD"
"26855","Unstable insulin dependent diabetes mellitus","C108400","","CPRD_GOLD"
"30294","Type 1 diabetes mellitus with persistent microalbuminuria","C10EL00","","CPRD_GOLD"
"30323","Type 1 diabetes mellitus with persistent proteinuria","C10EK00","","CPRD_GOLD"
"31310","Insulin dependent diabetes maturity onset","C108900","","CPRD_GOLD"
"35288","Type 1 diabetes mellitus - poor control","C10E800","","CPRD_GOLD"
"38161","Type I diabetes mellitus with retinopathy","C108711","","CPRD_GOLD"
"39070","Type 1 diabetes mellitus with hypoglycaemic coma","C10EE00","","CPRD_GOLD"
"39809","Insulin dependent diab mell with neuropathic arthropathy","C108J00","","CPRD_GOLD"
"40682","Type 1 diabetes mellitus maturity onset","C10E900","","CPRD_GOLD"
"40837","Type 1 diabetes mellitus with ketoacidotic coma","C10EN00","","CPRD_GOLD"
"41049","Type 1 diabetes mellitus with retinopathy","C108712","","CPRD_GOLD"
"41716","Insulin dependent diabetes mellitus with polyneuropathy","C108C00","","CPRD_GOLD"
"42729","Type I diabetes mellitus with hypoglycaemic coma","C108E11","","CPRD_GOLD"
"42831","Type 1 diabetes mellitus with neurological complications","C10E200","","CPRD_GOLD"
"43921","Unstable type 1 diabetes mellitus","C10E400","","CPRD_GOLD"
"44260","Insulin dependent diabetes mellitus with diabetic cataract","C108F00","","CPRD_GOLD"
"44440","Insulin dependent diabetes mellitus with hypoglycaemic coma","C108E00","","CPRD_GOLD"
"44443","Insulin dependent diabetes mellitus with ulcer","C108500","","CPRD_GOLD"
"45276","Insulin dependent diabetes mellitus with multiple complicat","C10E312","","CPRD_GOLD"
"45914","Type 1 diabetes mellitus - poor control","C108812","","CPRD_GOLD"
"46301","Type 1 diabetes mellitus with polyneuropathy","C10EC00","","CPRD_GOLD"
"46850","Type I diabetes mellitus - poor control","C108811","","CPRD_GOLD"
"47582","Type 1 diabetes mellitus with renal complications","C10E000","","CPRD_GOLD"
"47649","Type 1 diabetes mellitus with ophthalmic complications","C10E100","","CPRD_GOLD"
"47650","Type 1 diabetes mellitus with multiple complications","C10E300","","CPRD_GOLD"
"49146","Type I diabetes mellitus with neurological complications","C108211","","CPRD_GOLD"
"49554","Type 1 diabetes mellitus with diabetic cataract","C10EF00","","CPRD_GOLD"
"49949","Unstable type I diabetes mellitus","C10E411","","CPRD_GOLD"
"51261","Insulin dependent diabetes mellitus","C10E.12","","CPRD_GOLD"
"51957","Type I diabetes mellitus with ulcer","C108511","","CPRD_GOLD"
"52104","Insulin dependent diabetes mellitus with multiple complicatn","C108300","","CPRD_GOLD"
"54008","Type 1 diabetes mellitus with neuropathic arthropathy","C10EJ00","","CPRD_GOLD"
"54600","Unstable insulin dependent diabetes mellitus","C10E412","","CPRD_GOLD"
"55239","Type 1 diabetes mellitus with gastroparesis","C10EQ00","","CPRD_GOLD"
"57621","Insulin dependent diabetes mellitus with nephropathy","C108D00","","CPRD_GOLD"
"60107","Unstable type I diabetes mellitus","C108411","","CPRD_GOLD"
"60208","Type I diabetes mellitus with neuropathic arthropathy","C108J11","","CPRD_GOLD"
"60499","Insulin dependent diabetes mellitus with gangrene","C108600","","CPRD_GOLD"
"61344","Type I diabetes mellitus with renal complications","C108011","","CPRD_GOLD"
"61829","Type 1 diabetes mellitus with neurological complications","C108212","","CPRD_GOLD"
"62209","Type I diabetes mellitus with ketoacidosis","C10EM11","","CPRD_GOLD"
"62352","Type I diabetes mellitus with arthropathy","C108H11","","CPRD_GOLD"
"62613","Type I diabetes mellitus without complication","C10EA11","","CPRD_GOLD"
"63017","Type I diabetes mellitus maturity onset","C108911","","CPRD_GOLD"
"64446","Insulin dependent diab mell with peripheral angiopathy","C108G00","","CPRD_GOLD"
"65616","Insulin dependent diabetes mellitus with arthropathy","C108H00","","CPRD_GOLD"
"66145","Type I diabetes mellitus with ketoacidotic coma","C10EN11","","CPRD_GOLD"
"66872","Type I diabetes mellitus with nephropathy","C108D11","","CPRD_GOLD"
"68105","Type 1 diabetes mellitus with mononeuropathy","C10EB00","","CPRD_GOLD"
"68390","Type 1 diabetes mellitus with ulcer","C108512","","CPRD_GOLD"
"69043","Dietary advice for type I diabetes","ZC2C900","","CPRD_GOLD"
"69676","Type 1 diabetes mellitus without complication","C10EA00","","CPRD_GOLD"
"69993","Type 1 diabetes mellitus with gangrene","C10E600","","CPRD_GOLD"
"70766","Type 1 diabetes mellitus with hypoglycaemic coma","C108E12","","CPRD_GOLD"
"72702","Insulin dependent diabetes mellitus - poor control","C10E812","","CPRD_GOLD"
"91942","Type I diabetes mellitus with multiple complications","C10E311","","CPRD_GOLD"
"91943","Type I diabetes mellitus with polyneuropathy","C10EC11","","CPRD_GOLD"
"93468","Type 1 diabetes mellitus with peripheral angiopathy","C10EG00","","CPRD_GOLD"
"93875","Insulin dependent diabetes mellitus with retinopathy","C10E712","","CPRD_GOLD"
"93878","Type I diabetes mellitus with ulcer","C10E511","","CPRD_GOLD"
"95343","Type I diabetes mellitus with retinopathy","C10E711","","CPRD_GOLD"
"95992","Type I diabetes mellitus without complication","C108A11","","CPRD_GOLD"
"96235","Type I diabetes mellitus maturity onset","C10E911","","CPRD_GOLD"
"97446","Type 1 diabetes mellitus maturity onset","C108912","","CPRD_GOLD"
"97474","Unstable type 1 diabetes mellitus","C108412","","CPRD_GOLD"
"97849","Insulin dependent diabetes maturity onset","C10E912","","CPRD_GOLD"
"97894","Type I diabetes mellitus with exudative maculopathy","C10EP11","","CPRD_GOLD"
"98704","Insulin dependent diabetes mellitus with ulcer","C10E512","","CPRD_GOLD"
"99231","Type I diabetes mellitus with mononeuropathy","C108B11","","CPRD_GOLD"
"99311","Type I diabetes mellitus with ophthalmic complications","C10E111","","CPRD_GOLD"
"99716","Insulin dependent diabetes mellitus with hypoglycaemic coma","C10EE12","","CPRD_GOLD"
"100770","Insulin dependent diabetes mellitus with diabetic cataract","C10EF12","","CPRD_GOLD"
"101311","Insulin dependent diabetes mellitus with polyneuropathy","C10EC12","","CPRD_GOLD"
"102112","Type I diabetes mellitus with gangrene","C10E611","","CPRD_GOLD"
"102163","Insulin dependent diabetes mellitus with nephropathy","C10ED12","","CPRD_GOLD"
"102620","Type I diabetes mellitus with persistent microalbuminuria","C10EL11","","CPRD_GOLD"
"102740","Type 1 diabetes mellitus with ophthalmic complications","C108112","","CPRD_GOLD"
"104453","Type 1 diabetic dietary review","66At011","","CPRD_GOLD"
"105337","Type I diabetes mellitus - poor control","C10E811","","CPRD_GOLD"
"108007","Type I diabetes mellitus with multiple complications","C108311","","CPRD_GOLD"
"108360","Type I diabetes mellitus in remission","C10P000","","CPRD_GOLD"
"108724","Type I diabetes mellitus with gastroparesis","C10EQ11","","CPRD_GOLD"
"109051","Insulin dependent diabetes mellitus with gangrene","C10E612","","CPRD_GOLD"
"109628","Type 1 diabetes mellitus in remission","C10P011","","CPRD_GOLD"
"109837","Type I diabetes mellitus with renal complications","C10E011","","CPRD_GOLD"
"110400","Type 1 diabetes mellitus with diabetic cataract","C108F12","","CPRD_GOLD"
"111106","Type 1 diabetes mellitus without complication","C108A12","","CPRD_GOLD"
"113197","Type 1 diabetes mellitus with nephropathy","C108D12","","CPRD_GOLD"
"113863","Type I diabetes mellitus with nephropathy","C10ED11","","CPRD_GOLD"
"113975","Type I diabetes mellitus with polyneuropathy","C108C11","","CPRD_GOLD"
"114401","Type 1 diabetes mellitus with gangrene","C108612","","CPRD_GOLD"
