"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"E10","Type 1 diabetes mellitus","E10","","ICD10"
"E100","Type 1 diabetes mellitus","E10.0","","ICD10"
"E101","Type 1 diabetes mellitus","E10.1","","ICD10"
"E102","Type 1 diabetes mellitus","E10.2","","ICD10"
"E103","Type 1 diabetes mellitus","E10.3","","ICD10"
"E104","Type 1 diabetes mellitus","E10.4","","ICD10"
"E105","Type 1 diabetes mellitus","E10.5","","ICD10"
"E106","Type 1 diabetes mellitus","E10.6","","ICD10"
"E107","Type 1 diabetes mellitus","E10.7","","ICD10"
"E108","Type 1 diabetes mellitus","E10.8","","ICD10"
"E109","Type 1 diabetes mellitus","E10.9","","ICD10"
"O240","Diabetes mellitus in pregnancy: Pre-existing type 1 diabetes mellitus","O24.0","","ICD10"
