"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"66A3.00","Diabetic on diet only","66A3.00","","IMRD"
"66A4.00","Diabetic on oral treatment","66A4.00","","IMRD"
"66AH300","Conversion to non-insulin injectable medication","66AH300","","IMRD"
"66o2.00","Diabetic on non-insulin injectable medication","66o2.00","","IMRD"
"66o5.00","Diabetic on oral treatment and glucagon-like peptide 1","66o5.00","","IMRD"
"C100112","Non-insulin dependent diabetes mellitus","C100112","","IMRD"
"C107400","NIDDM with peripheral circulatory disorder","C107400","","IMRD"
"C109.00","Non-insulin dependent diabetes mellitus","C109.00","","IMRD"
"C109.11","NIDDM - Non-insulin dependent diabetes mellitus","C109.11","","IMRD"
"C109.12","Type 2 diabetes mellitus","C109.12","","IMRD"
"C109.13","Type II diabetes mellitus","C109.13","","IMRD"
"C109000","Non-insulin-dependent diabetes mellitus with renal comps","C109000","","IMRD"
"C109011","Type II diabetes mellitus with renal complications","C109011","","IMRD"
"C109012","Type 2 diabetes mellitus with renal complications","C109012","","IMRD"
"C109100","Non-insulin-dependent diabetes mellitus with ophthalm comps","C109100","","IMRD"
"C109111","Type II diabetes mellitus with ophthalmic complications","C109111","","IMRD"
"C109112","Type 2 diabetes mellitus with ophthalmic complications","C109112","","IMRD"
"C109200","Non-insulin-dependent diabetes mellitus with neuro comps","C109200","","IMRD"
"C109211","Type II diabetes mellitus with neurological complications","C109211","","IMRD"
"C109212","Type 2 diabetes mellitus with neurological complications","C109212","","IMRD"
"C109300","Non-insulin-dependent diabetes mellitus with multiple comps","C109300","","IMRD"
"C109311","Type II diabetes mellitus with multiple complications","C109311","","IMRD"
"C109312","Type 2 diabetes mellitus with multiple complications","C109312","","IMRD"
"C109400","Non-insulin dependent diabetes mellitus with ulcer","C109400","","IMRD"
"C109411","Type II diabetes mellitus with ulcer","C109411","","IMRD"
"C109412","Type 2 diabetes mellitus with ulcer","C109412","","IMRD"
"C109500","Non-insulin dependent diabetes mellitus with gangrene","C109500","","IMRD"
"C109511","Type II diabetes mellitus with gangrene","C109511","","IMRD"
"C109512","Type 2 diabetes mellitus with gangrene","C109512","","IMRD"
"C109600","Non-insulin-dependent diabetes mellitus with retinopathy","C109600","","IMRD"
"C109611","Type II diabetes mellitus with retinopathy","C109611","","IMRD"
"C109612","Type 2 diabetes mellitus with retinopathy","C109612","","IMRD"
"C109700","Non-insulin dependent diabetes mellitus - poor control","C109700","","IMRD"
"C109711","Type II diabetes mellitus - poor control","C109711","","IMRD"
"C109712","Type 2 diabetes mellitus - poor control","C109712","","IMRD"
"C109900","Non-insulin-dependent diabetes mellitus without complication","C109900","","IMRD"
"C109911","Type II diabetes mellitus without complication","C109911","","IMRD"
"C109912","Type 2 diabetes mellitus without complication","C109912","","IMRD"
"C109A00","Non-insulin dependent diabetes mellitus with mononeuropathy","C109A00","","IMRD"
"C109A11","Type II diabetes mellitus with mononeuropathy","C109A11","","IMRD"
"C109A12","Type 2 diabetes mellitus with mononeuropathy","C109A12","","IMRD"
"C109B00","Non-insulin dependent diabetes mellitus with polyneuropathy","C109B00","","IMRD"
"C109B11","Type II diabetes mellitus with polyneuropathy","C109B11","","IMRD"
"C109B12","Type 2 diabetes mellitus with polyneuropathy","C109B12","","IMRD"
"C109C00","Non-insulin dependent diabetes mellitus with nephropathy","C109C00","","IMRD"
"C109C11","Type II diabetes mellitus with nephropathy","C109C11","","IMRD"
"C109C12","Type 2 diabetes mellitus with nephropathy","C109C12","","IMRD"
"C109D00","Non-insulin dependent diabetes mellitus with hypoglyca coma","C109D00","","IMRD"
"C109D11","Type II diabetes mellitus with hypoglycaemic coma","C109D11","","IMRD"
"C109D12","Type 2 diabetes mellitus with hypoglycaemic coma","C109D12","","IMRD"
"C109E00","Non-insulin depend diabetes mellitus with diabetic cataract","C109E00","","IMRD"
"C109E11","Type II diabetes mellitus with diabetic cataract","C109E11","","IMRD"
"C109E12","Type 2 diabetes mellitus with diabetic cataract","C109E12","","IMRD"
"C109F00","Non-insulin-dependent d m with peripheral angiopath","C109F00","","IMRD"
"C109F11","Type II diabetes mellitus with peripheral angiopathy","C109F11","","IMRD"
"C109F12","Type 2 diabetes mellitus with peripheral angiopathy","C109F12","","IMRD"
"C109G00","Non-insulin dependent diabetes mellitus with arthropathy","C109G00","","IMRD"
"C109G11","Type II diabetes mellitus with arthropathy","C109G11","","IMRD"
"C109G12","Type 2 diabetes mellitus with arthropathy","C109G12","","IMRD"
"C109H00","Non-insulin dependent d m with neuropathic arthropathy","C109H00","","IMRD"
"C109H11","Type II diabetes mellitus with neuropathic arthropathy","C109H11","","IMRD"
"C109H12","Type 2 diabetes mellitus with neuropathic arthropathy","C109H12","","IMRD"
"C109J00","Insulin treated Type 2 diabetes mellitus","C109J00","","IMRD"
"C109J11","Insulin treated non-insulin dependent diabetes mellitus","C109J11","","IMRD"
"C109J12","Insulin treated Type II diabetes mellitus","C109J12","","IMRD"
"C109K00","Hyperosmolar non-ketotic state in type 2 diabetes mellitus","C109K00","","IMRD"
"C10F.00","Type 2 diabetes mellitus","C10F.00","","IMRD"
"C10F.11","Type II diabetes mellitus","C10F.11","","IMRD"
"C10F000","Type 2 diabetes mellitus with renal complications","C10F000","","IMRD"
"C10F011","Type II diabetes mellitus with renal complications","C10F011","","IMRD"
"C10F100","Type 2 diabetes mellitus with ophthalmic complications","C10F100","","IMRD"
"C10F111","Type II diabetes mellitus with ophthalmic complications","C10F111","","IMRD"
"C10F200","Type 2 diabetes mellitus with neurological complications","C10F200","","IMRD"
"C10F211","Type II diabetes mellitus with neurological complications","C10F211","","IMRD"
"C10F300","Type 2 diabetes mellitus with multiple complications","C10F300","","IMRD"
"C10F311","Type II diabetes mellitus with multiple complications","C10F311","","IMRD"
"C10F400","Type 2 diabetes mellitus with ulcer","C10F400","","IMRD"
"C10F411","Type II diabetes mellitus with ulcer","C10F411","","IMRD"
"C10F500","Type 2 diabetes mellitus with gangrene","C10F500","","IMRD"
"C10F511","Type II diabetes mellitus with gangrene","C10F511","","IMRD"
"C10F600","Type 2 diabetes mellitus with retinopathy","C10F600","","IMRD"
"C10F611","Type II diabetes mellitus with retinopathy","C10F611","","IMRD"
"C10F700","Type 2 diabetes mellitus - poor control","C10F700","","IMRD"
"C10F711","Type II diabetes mellitus - poor control","C10F711","","IMRD"
"C10F900","Type 2 diabetes mellitus without complication","C10F900","","IMRD"
"C10F911","Type II diabetes mellitus without complication","C10F911","","IMRD"
"C10FA00","Type 2 diabetes mellitus with mononeuropathy","C10FA00","","IMRD"
"C10FA11","Type II diabetes mellitus with mononeuropathy","C10FA11","","IMRD"
"C10FB00","Type 2 diabetes mellitus with polyneuropathy","C10FB00","","IMRD"
"C10FB11","Type II diabetes mellitus with polyneuropathy","C10FB11","","IMRD"
"C10FC00","Type 2 diabetes mellitus with nephropathy","C10FC00","","IMRD"
"C10FC11","Type II diabetes mellitus with nephropathy","C10FC11","","IMRD"
"C10FD00","Type 2 diabetes mellitus with hypoglycaemic coma","C10FD00","","IMRD"
"C10FD11","Type II diabetes mellitus with hypoglycaemic coma","C10FD11","","IMRD"
"C10FE00","Type 2 diabetes mellitus with diabetic cataract","C10FE00","","IMRD"
"C10FE11","Type II diabetes mellitus with diabetic cataract","C10FE11","","IMRD"
"C10FF00","Type 2 diabetes mellitus with peripheral angiopathy","C10FF00","","IMRD"
"C10FF11","Type II diabetes mellitus with peripheral angiopathy","C10FF11","","IMRD"
"C10FG00","Type 2 diabetes mellitus with arthropathy","C10FG00","","IMRD"
"C10FG11","Type II diabetes mellitus with arthropathy","C10FG11","","IMRD"
"C10FH00","Type 2 diabetes mellitus with neuropathic arthropathy","C10FH00","","IMRD"
"C10FH11","Type II diabetes mellitus with neuropathic arthropathy","C10FH11","","IMRD"
"C10FJ00","Insulin treated Type 2 diabetes mellitus","C10FJ00","","IMRD"
"C10FJ11","Insulin treated Type II diabetes mellitus","C10FJ11","","IMRD"
"C10FK00","Hyperosmolar non-ketotic state in type 2 diabetes mellitus","C10FK00","","IMRD"
"C10FK11","Hyperosmolar non-ketotic state in type II diabetes mellitus","C10FK11","","IMRD"
"C10FL00","Type 2 diabetes mellitus with persistent proteinuria","C10FL00","","IMRD"
"C10FL11","Type II diabetes mellitus with persistent proteinuria","C10FL11","","IMRD"
"C10FM00","Type 2 diabetes mellitus with persistent microalbuminuria","C10FM00","","IMRD"
"C10FM11","Type II diabetes mellitus with persistent microalbuminuria","C10FM11","","IMRD"
"C10FN00","Type 2 diabetes mellitus with ketoacidosis","C10FN00","","IMRD"
"C10FN11","Type II diabetes mellitus with ketoacidosis","C10FN11","","IMRD"
"C10FP00","Type 2 diabetes mellitus with ketoacidotic coma","C10FP00","","IMRD"
"C10FP11","Type II diabetes mellitus with ketoacidotic coma","C10FP11","","IMRD"
"C10FQ00","Type 2 diabetes mellitus with exudative maculopathy","C10FQ00","","IMRD"
"C10FQ11","Type II diabetes mellitus with exudative maculopathy","C10FQ11","","IMRD"
"C10FR00","Type 2 diabetes mellitus with gastroparesis","C10FR00","","IMRD"
"C10FR11","Type II diabetes mellitus with gastroparesis","C10FR11","","IMRD"
"C10P100","Type II diabetes mellitus in remission","C10P100","","IMRD"
"C10P111","Type 2 diabetes mellitus in remission","C10P111","","IMRD"
"L180600","Pre-existing diabetes mellitus, non-insulin-dependent","L180600","","IMRD"
"ZC2CA00","Dietary advice for type II diabetes","ZC2CA00","","IMRD"
"ZC2CA11","Dietary advice non-insulin-dependent diabetes","ZC2CA11","","IMRD"
