"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"20721017","Rheumatic aortic valve disease","G12..00","12023003","CPRD_AURUM"
"31287015","Congenital aortic stenosis","P63..99","18546004","CPRD_AURUM"
"43909016","Replacement of aortic valve","7911.12","26212005","CPRD_AURUM"
"50085019","Congenital mitral insufficiency","P66..00","29928006","CPRD_AURUM"
"52032016","Rheumatic mitral insufficiency","G111.00","31085000","CPRD_AURUM"
"81186016","Mitral valve regurgitation","G540.14","48724000","CPRD_AURUM"
"81192010","Mitral valve insufficiency","G540.12","48724000","CPRD_AURUM"
"88255012","Replacement of mitral valve","7910.12","53059001","CPRD_AURUM"
"112523010","Aortic valve sclerosis","G541600","67754003","CPRD_AURUM"
"136773016","Congenital mitral stenosis","P65..00","82458004","CPRD_AURUM"
"143386015","Rheumatic mitral stenosis","G110.11","86466006","CPRD_AURUM"
"188662011","Aortic valvuloplasty","7911.11","112816004","CPRD_AURUM"
"249643019","Valveman","0Z1A.00","160219005","CPRD_AURUM"
"251936016","H/O: artificial heart valve","14T3.00","161677002","CPRD_AURUM"
"265753010","Renewal of valve of cerebroventricular shunt","7011400","171522002","CPRD_AURUM"
"270917019","Valves of heart and adjacent structures operations","791..00","174916002","CPRD_AURUM"
"270944012","Allograft replacement of aortic valve","7911000","174927000","CPRD_AURUM"
"270965018","Repositioning of tricuspid valve","7912400","174939008","CPRD_AURUM"
"270998011","Revision of plastic repair of mitral valve","7915000","174960002","CPRD_AURUM"
"270999015","Revision of plastic repair of aortic valve","7915100","174961003","CPRD_AURUM"
"271010013","Open mitral valvotomy","7916000","174967004","CPRD_AURUM"
"271011012","Open aortic valvotomy","7916100","174968009","CPRD_AURUM"
"271012017","Open tricuspid valvotomy","7916200","174969001","CPRD_AURUM"
"271015015","Open pulmonary valvotomy","7916300","174970000","CPRD_AURUM"
"271037010","Excision of vegetations of valve of heart","7918300","174983004","CPRD_AURUM"
"271057014","Repair of subaortic stenosis","791A200","174997007","CPRD_AURUM"
"271184013","Inspection of valve of heart","7931000","175103009","CPRD_AURUM"
"272190014","Transposition of valve of vein","7A65000","175808002","CPRD_AURUM"
"272192018","Interposition of valve of vein","7A65100","175809005","CPRD_AURUM"
"287258010","Syphilitic endocarditis of mitral valve","A932100","186875004","CPRD_AURUM"
"299602018","Diseases of mitral and aortic valves","G13..00","194732001","CPRD_AURUM"
"299603011","Mitral and aortic stenosis","G130.00","194733006","CPRD_AURUM"
"299608019","Mitral regurgitation and aortic stenosis","G132.13","194735004","CPRD_AURUM"
"299610017","Mitral and aortic incompetence","G133.00","194736003","CPRD_AURUM"
"299611018","Mitral and aortic insufficiency","G133.11","194736003","CPRD_AURUM"
"299618012","Rheumatic tricuspid stenosis and incompetence","G14021Y","194741006","CPRD_AURUM"
"299620010","Rheumatic tricuspid stenosis and insufficiency","G140200","194741006","CPRD_AURUM"
"299980014","Mitral incompetence, non-rheumatic","G540000","194978002","CPRD_AURUM"
"299987012","Aortic insufficiency, non-rheumatic","G541011","194983005","CPRD_AURUM"
"299993016","Tricuspid valve disorders, non-rheumatic","G542.00","194989009","CPRD_AURUM"
"299995011","Tricuspid insufficiency, non-rheumatic","G542011","194990000","CPRD_AURUM"
"299996012","Tricuspid regurgitation, non-rheumatic","G542012","194990000","CPRD_AURUM"
"299997015","Tricuspid stenosis, non-rheumatic","G542100","194991001","CPRD_AURUM"
"300001015","Pulmonary incompetence, non-rheumatic","G543000","194995005","CPRD_AURUM"
"300002010","Pulmonary regurgitation, non-rheumatic","G543012","194995005","CPRD_AURUM"
"300008014","Pulmonary stenosis, non-rheumatic","G543100","194997002","CPRD_AURUM"
"300014019","Disorders of both aortic and tricuspid valves","G544000","195003002","CPRD_AURUM"
"300015018","Disorders of both mitral and tricuspid valves","G544100","195004008","CPRD_AURUM"
"300016017","Combined disorders of mitral, aortic and tricuspid valves","G544200","195005009","CPRD_AURUM"
"313351013","Congenital atresia of the pulmonary valve","P601.00","204342004","CPRD_AURUM"
"313352018","Hypoplasia of pulmonary valve","P601000","204343009","CPRD_AURUM"
"313355016","Congenital fusion of pulmonary valve segment","P602100","204346001","CPRD_AURUM"
"313377017","Supernumerary cusps of the mitral valve","P653.00","204363002","CPRD_AURUM"
"313382012","Subaortic stenosis","P6y0.00","204368006","CPRD_AURUM"
"313431013","Fusion of mitral valve cusps","P6yyC00","204402008","CPRD_AURUM"
"348739017","Bjork-Shiley prosthetic replacement of mitral valve","7910212","232773001","CPRD_AURUM"
"348762015","De Vega tricuspid annuloplasty","7918111","232783002","CPRD_AURUM"
"348861015","Aortoventriculoplasty","791A500","232850000","CPRD_AURUM"
"348898019","Pulmonary valvectomy","791D100","232872003","CPRD_AURUM"
"349007011","Open truncal valvotomy","7916400","232945005","CPRD_AURUM"
"374104011","Aortic valve calcification","G541700","250978003","CPRD_AURUM"
"374120018","Mitral valve leaf prolapse","G540300","250989005","CPRD_AURUM"
"377727015","Postductal aortic stenosis","P712.13","253676001","CPRD_AURUM"
"378010019","Congenital urethral posterior valvular stricture","PD62.12","253901009","CPRD_AURUM"
"380304017","Benign neoplasm of ileocaecal valve","B713900","255172003","CPRD_AURUM"
"394276014","Plastic repair of mitral valve","7910.00","265472007","CPRD_AURUM"
"400877017","Congenital urethral valvular stricture","PD62.00","268237006","CPRD_AURUM"
"411097012","Hofmeister valved gastrectomy","7611212","275162000","CPRD_AURUM"
"415402011","Syphilitic endocarditis of aortic valve","A932200","278480000","CPRD_AURUM"
"445834018","Drainage of ventricle of brain using Holter valve","7016011","303647007","CPRD_AURUM"
"474766017","Closed tricuspid valvotomy","7917200","129243001","CPRD_AURUM"
"476087017","Operation on papillary muscle","791B000","1411001","CPRD_AURUM"
"499818013","Closed mitral valvotomy","7917000","6433003","CPRD_AURUM"
"505490010","Closed pulmonary valvotomy","7917300","83187002","CPRD_AURUM"
"505828015","Rheumatic mitral valve disease","G11..11","83898004","CPRD_AURUM"
"1228441015","Congenital tricuspid stenosis","P611.00","36233006","CPRD_AURUM"
"1232958015","Tricuspid incompetence - rheumatic","G140112","67696008","CPRD_AURUM"
"1232960018","Rheumatic tricuspid insufficiency","G140100","67696008","CPRD_AURUM"
"1234202016","Aortic incompetence - rheumatic","G121.11","78031003","CPRD_AURUM"
"1234383014","Mitral stenosis","G110.00","79619009","CPRD_AURUM"
"2471474013","Mitral valve prolapse","G540200","409712001","CPRD_AURUM"
"2675832010","Repair of tetralogy of Fallot with absent pulmonary valve","7902500","425785006","CPRD_AURUM"
"2676342012","Bag valve mask ventilation","7458300","425447009","CPRD_AURUM"
"2692588013","Replacement of valved cardiac conduit","790D700","428893001","CPRD_AURUM"
"2695640010","Aortoventriculoplasty with pulmonary valve autograft","791C500","429269009","CPRD_AURUM"
"354891000000118","Truncal valve repair","7914500","232931004","CPRD_AURUM"
"635721000006112","Echo - mitral valve excursion","","635721000006108","CPRD_AURUM"
"868241000006118","Congenit. urethral valve excis","7B40299","176327008","CPRD_AURUM"
"883991000006114","Chronic rheumatic mitral valve","G11..99","11851006","CPRD_AURUM"
"884021000006110","Chronic rheumatic aortic valve","G12..99","12023003","CPRD_AURUM"
"884051000006118","Mitral + aortic valve disease","G13..99","194732001","CPRD_AURUM"
"884081000006114","RH. pulmonary valve disease","G141.99","18687009","CPRD_AURUM"
"884301000006115","Non-rheum. tricuspid incomp.","G542099","194990000","CPRD_AURUM"
"884321000006113","Non-rheum. pulmonary regurg.","G543099","194995005","CPRD_AURUM"
"892941000006112","Bicuspid aortic valve - congen","P641.99","72352009","CPRD_AURUM"
"899991000006111","Valve prosthesis mech.complic.","SP00299","213036006","CPRD_AURUM"
"989131000006119","Non-rheumatic valvular disease","G54z599","368009","CPRD_AURUM"
"991631000006110","Rheumatic aortic disease NOS","G12..98","12023003","CPRD_AURUM"
"1137091000006115","Adverse reaction to Catheter valve with integral bag","","1137091000006104","CPRD_AURUM"
"1478969019","Mitral valvuloplasty","7910.11","384642005","CPRD_AURUM"
"145956019","Replacement of pulmonary valve","7913.12","88045004","CPRD_AURUM"
"270877012","Creation of valved cardiac conduit NOS","790Dz00","174880000","CPRD_AURUM"
"270932014","Replacement of mitral valve NEC","7910300","53059001","CPRD_AURUM"
"270933016","Mitral valvuloplasty NEC","7910400","384642005","CPRD_AURUM"
"270934010","Other specified plastic repair of mitral valve","7910y00","265472007","CPRD_AURUM"
"270935011","Plastic repair of mitral valve NOS","7910z00","265472007","CPRD_AURUM"
"270951015","Other specified plastic repair of aortic valve","7911y00","265473002","CPRD_AURUM"
"270966017","Tricuspid valvuloplasty NEC","7912500","384643000","CPRD_AURUM"
"270967014","Other specified plastic repair of tricuspid valve","7912y00","265474008","CPRD_AURUM"
"270968016","Plastic repair of tricuspid valve NOS","7912z00","265474008","CPRD_AURUM"
"270980012","Replacement of pulmonary valve NEC","7913300","88045004","CPRD_AURUM"
"270981011","Pulmonary valvuloplasty NEC","7913400","265475009","CPRD_AURUM"
"270983014","Plastic repair of pulmonary valve NOS","7913z00","265475009","CPRD_AURUM"
"270993019","Replacement of valve of heart NEC","7914300","34068001","CPRD_AURUM"
"271002012","Other specified revision of plastic repair of valve of heart","7915y00","174959007","CPRD_AURUM"
"272193011","Other specified repair of valve of vein","7A65y00","175807007","CPRD_AURUM"
"287257017","Syphilitic endocarditis of unspecified valve","A932000","67391006","CPRD_AURUM"
"287262016","Syphilitic endocarditis of heart valve NOS","A932z00","67391006","CPRD_AURUM"
"299596016","Mitral valve disease NOS","G11z.00","11851006","CPRD_AURUM"
"299597013","Rheumatic aortic valve disease NOS","G12z.00","12023003","CPRD_AURUM"
"299616011","Tricuspid valve disease NEC","G140.00","20721001","CPRD_AURUM"
"299981013","Mitral incompetence, cause unspecified","G540100","48724000","CPRD_AURUM"
"299989010","Aortic incompetence alone, cause unspecified","G541200","60234000","CPRD_AURUM"
"299990018","Aortic stenosis alone, cause unspecified","G541300","60573004","CPRD_AURUM"
"299992014","Aortic valve disorders NOS","G541z00","8722008","CPRD_AURUM"
"300000019","Tricuspid valve disorders NOS","G542z00","20721001","CPRD_AURUM"
"300022014","Stenosis of unspecified heart valve","G54z100","44241007","CPRD_AURUM"
"300023016","Chronic cardiac valvulitis NOS","G54z200","40964007","CPRD_AURUM"
"300024010","Endocarditis, valve unspecified, OS","G54z300","89736004","CPRD_AURUM"
"300027015","Endocarditis, valve unspecified, NOS","G54zz00","89736004","CPRD_AURUM"
"300864010","[X]Other rheumatic aortic valve diseases","Gyu1100","12023003","CPRD_AURUM"
"300865011","[X]Other tricuspid valve diseases","Gyu1200","20721001","CPRD_AURUM"
"300893010","[X]Other aortic valve disorders","Gyu5600","8722008","CPRD_AURUM"
"300895015","[X]Other pulmonary valve disorders","Gyu5800","76267008","CPRD_AURUM"
"313349014","Pulmonary valve anomaly, unspecified","P600.00","204339005","CPRD_AURUM"
"313353011","Congenital atresia of pulmonary valve NOS","P601z00","204342004","CPRD_AURUM"
"313356015","Congenital pulmonary stenosis NOS","P602z00","67278007","CPRD_AURUM"
"313360017","Other pulmonary valve anomalies","P60z.00","204339005","CPRD_AURUM"
"313373018","Congenital aortic valve insufficiency, unspecified","P640.00","28656008","CPRD_AURUM"
"313374012","Congenital aortic valve insufficiency NOS","P64z.00","28656008","CPRD_AURUM"
"315681012","[X]Other congenital malformations of pulmonary valve","Pyu2200","204339005","CPRD_AURUM"
"315682017","[X]Other congenital malformations of tricuspid valve","Pyu2300","4374004","CPRD_AURUM"
"315698012","[X]Congenital malformation of tricuspid valve, unspecified","Pyu2G00","4374004","CPRD_AURUM"
"377169013","Fusion of tricuspid valve cusps NEC","P6yyD11","13213009","CPRD_AURUM"
"394282012","Open incision of valve of heart NOS","7916z00","174966008","CPRD_AURUM"
"395750017","Rheumatic endocarditis NOS","G14z.00","48872007","CPRD_AURUM"
"400804011","Fusion of heart valve cusps NEC","P6yyD00","13213009","CPRD_AURUM"
"410957016","Replacement of unspecified valve of heart","7914.11","34068001","CPRD_AURUM"
"1222307019","Tricuspid regurgitation, cause unspecified","G140413","111287006","CPRD_AURUM"
"1222309016","Tricuspid stenosis and incompetence, cause unspecified","G140511","49915006","CPRD_AURUM"
"1222314017","Aortic insufficiency alone, cause unspecified","G541211","60234000","CPRD_AURUM"
"1222315016","Aortic regurgitation alone, cause unspecified","G541212","60234000","CPRD_AURUM"
"1222316015","Pulmonary regurgitation, cause unspecified","G543215","91434003","CPRD_AURUM"
"1222317012","Pulmonary insufficiency, cause unspecified","G543213","91434003","CPRD_AURUM"
"1222319010","Insufficiency of unspecified heart valve","G54z014","40445007","CPRD_AURUM"
"1222320016","Regurgitation of unspecified heart valve","G54z013","40445007","CPRD_AURUM"
"55901000006111","Xenograft replacement of mitral valve","7910100","174919009","CPRD_AURUM"
"55911000006114","Xenograft replacement of pulmonary valve","7913100","174945000","CPRD_AURUM"
"55921000006118","Xenograft replacement of tricuspid valve","7912100","174936001","CPRD_AURUM"
"87501000006118","Tricuspid regurgitation - rheumatic","G140111","67696008","CPRD_AURUM"
"105381000006119","Therapeutic transluminal operations on valve of heart","7919.00","386727004","CPRD_AURUM"
"116861000006111","Supra-valvular aortic stenosis","P722400","268185002","CPRD_AURUM"
"125481000006119","Starr prosthetic replacement of valve of heart","7914212","307279007","CPRD_AURUM"
"172601000006117","Repair of supraaortic stenosis","791A300","174998002","CPRD_AURUM"
"176251000006117","Remove obstruction from structure adjacent to valve of heart","791A.00","174994000","CPRD_AURUM"
"182131000006113","Removal of obstruction from struct adjacent heart valve OS","791Ay00","174994000","CPRD_AURUM"
"193911000006111","Pulmonary stenosis, cause unspecified","G543300","56786000","CPRD_AURUM"
"193971000006119","Pulmonary valve anomalies","P60..00","204339005","CPRD_AURUM"
"193991000006118","Pulmonary valve disorders","G543.00","76267008","CPRD_AURUM"
"204071000006116","Prosthetic replacement of aortic valve","7911200","174929002","CPRD_AURUM"
"233261000006114","Percutaneous transluminal valvotomy","7919.11","386727004","CPRD_AURUM"
"297501000006112","Nonrheumatic tricuspid valve stenosis with insufficiency","G542200","194992008","CPRD_AURUM"
