"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"14S4.00","H/O: heart valve recipient","14S4.00","","IMRD"
"14T3.00","H/O: artificial heart valve","14T3.00","","IMRD"
"24G..00","Aortic valve gradient","24G..00","","IMRD"
"7011400","Renewal of valve of cerebroventricular shunt","7011400","","IMRD"
"7902000","Correct Fallot tetralogy- valved right ventr outflow conduit","7902000","","IMRD"
"7902011","Rep tetralog Fallot valved right ventricular outflow conduit","7902011","","IMRD"
"7902500","Repair of tetralogy of Fallot with absent pulmonary valve","7902500","","IMRD"
"790D.00","Creation of valved cardiac conduit","790D.00","","IMRD"
"790D000","Creation valved conduit between heart atrium and ventricle","790D000","","IMRD"
"790D100","Creation of valved conduit between right atrium+pulm artery","790D100","","IMRD"
"790D200","Creation of valved conduit between right ventr +pulm artery","790D200","","IMRD"
"790D300","Creation of valved conduit between left ventricle and aorta","790D300","","IMRD"
"790D400","Revision of valved cardiac conduit","790D400","","IMRD"
"790D600","Creation valved conduit between left vent heart pulm artery","790D600","","IMRD"
"790D700","Replacement of valved cardiac conduit","790D700","","IMRD"
"790Dy00","Other specified creation of valved cardiac conduit","790Dy00","","IMRD"
"790Dz00","Creation of valved cardiac conduit NOS","790Dz00","","IMRD"
"790M300","Radical aortopulmonary recon rig vent pulmon art valvel cond","790M300","","IMRD"
"791..00","Valves of heart and adjacent structures operations","791..00","","IMRD"
"7910.00","Plastic repair of mitral valve","7910.00","","IMRD"
"7910.11","Mitral valvuloplasty","7910.11","","IMRD"
"7910.12","Replacement of mitral valve","7910.12","","IMRD"
"7910000","Allograft replacement of mitral valve","7910000","","IMRD"
"7910100","Xenograft replacement of mitral valve","7910100","","IMRD"
"7910200","Prosthetic replacement of mitral valve","7910200","","IMRD"
"7910211","Bjork-Shiley prosthetic replacement of mitral valve","7910211","","IMRD"
"7910212","Bjork-Shiley prosthetic replacement of mitral valve","7910212","","IMRD"
"7910213","Carpentier prosthetic replacement of mitral valve","7910213","","IMRD"
"7910214","Edwards prosthetic replacement of mitral valve","7910214","","IMRD"
"7910300","Replacement of mitral valve NEC","7910300","","IMRD"
"7910400","Mitral valvuloplasty NEC","7910400","","IMRD"
"7910411","Mitral valve repair NEC","7910411","","IMRD"
"7910y00","Other specified plastic repair of mitral valve","7910y00","","IMRD"
"7910z00","Plastic repair of mitral valve NOS","7910z00","","IMRD"
"7911.00","Plastic repair of aortic valve","7911.00","","IMRD"
"7911.11","Aortic valvuloplasty","7911.11","","IMRD"
"7911.12","Replacement of aortic valve","7911.12","","IMRD"
"7911000","Allograft replacement of aortic valve","7911000","","IMRD"
"7911100","Xenograft replacement of aortic valve","7911100","","IMRD"
"7911200","Prosthetic replacement of aortic valve","7911200","","IMRD"
"7911300","Replacement of aortic valve NEC","7911300","","IMRD"
"7911400","Aortic valvuloplasty NEC","7911400","","IMRD"
"7911411","Aortic valve repair NEC","7911411","","IMRD"
"7911500","Transapical aortic valve implantation","7911500","","IMRD"
"7911600","Transluminal aortic valve implantation","7911600","","IMRD"
"7911y00","Other specified plastic repair of aortic valve","7911y00","","IMRD"
"7911z00","Plastic repair of aortic valve NOS","7911z00","","IMRD"
"7912.00","Plastic repair of tricuspid valve","7912.00","","IMRD"
