"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1483.00","H/O: cataract","1483.00","","IMRD"
"14N9.00","H/O: R cataract extraction","14N9.00","","IMRD"
"14NA.00","H/O: L cataract extraction","14NA.00","","IMRD"
"14NC.00","H/O: Bilateral cataract extraction","14NC.00","","IMRD"
"22E5.00","O/E - cataract present","22E5.00","","IMRD"
"2BT..00","Cataract observation","2BT..00","","IMRD"
"2BT0.00","O/E - Right cataract present","2BT0.00","","IMRD"
"2BT1.00","O/E - Left cataract present","2BT1.00","","IMRD"
"7263.12","Extracapsular extraction of cataract","7263.12","","IMRD"
"7263011","Needling of lens for cataract","7263011","","IMRD"
"7264.11","Intracapsular extraction of cataract","7264.11","","IMRD"
"7266.11","Other extraction of cataract","7266.11","","IMRD"
"7266100","Discission of cataract","7266100","","IMRD"
"7267600","Cataract extraction and insertion of intraocular lens","7267600","","IMRD"
"8H5H.00","Referral for cataract extraction","8H5H.00","","IMRD"
"8LC0.00","Cataract operation planned","8LC0.00","","IMRD"
"C108F00","Insulin dependent diabetes mellitus with diabetic cataract","C108F00","","IMRD"
"C108F11","Type I diabetes mellitus with diabetic cataract","C108F11","","IMRD"
"C108F12","Type 1 diabetes mellitus with diabetic cataract","C108F12","","IMRD"
"C109E00","Non-insulin depend diabetes mellitus with diabetic cataract","C109E00","","IMRD"
"C109E11","Type II diabetes mellitus with diabetic cataract","C109E11","","IMRD"
"C109E12","Type 2 diabetes mellitus with diabetic cataract","C109E12","","IMRD"
"C10EF00","Type 1 diabetes mellitus with diabetic cataract","C10EF00","","IMRD"
"C10EF11","Type I diabetes mellitus with diabetic cataract","C10EF11","","IMRD"
"C10EF12","Insulin dependent diabetes mellitus with diabetic cataract","C10EF12","","IMRD"
"C10FE00","Type 2 diabetes mellitus with diabetic cataract","C10FE00","","IMRD"
"C10FE11","Type II diabetes mellitus with diabetic cataract","C10FE11","","IMRD"
"F46..00","Cataract","F46..00","","IMRD"
"F460.00","Infantile, juvenile and presenile cataracts","F460.00","","IMRD"
"F460000","Unspecified infantile cataract","F460000","","IMRD"
"F460100","Unspecified juvenile cataract","F460100","","IMRD"
"F460200","Unspecified presenile cataract","F460200","","IMRD"
"F460300","Anterior subcapsular polar cataract","F460300","","IMRD"
"F460400","Posterior subcapsular polar cataract","F460400","","IMRD"
"F460500","Cortical cataract","F460500","","IMRD"
"F460600","Lamellar zonular cataract","F460600","","IMRD"
"F460700","Nuclear cataract","F460700","","IMRD"
"F460x00","Combined nonsenile cataract","F460x00","","IMRD"
"F460y00","Other nonsenile cataract","F460y00","","IMRD"
"F460z00","Nonsenile cataract NOS","F460z00","","IMRD"
"F461.00","Senile cataract","F461.00","","IMRD"
"F461000","Unspecified senile cataract","F461000","","IMRD"
"F461200","Coronary cataract","F461200","","IMRD"
"F461300","Punctate cataract","F461300","","IMRD"
"F461400","Incipient cataract NOS","F461400","","IMRD"
"F461500","Immature cataract NOS","F461500","","IMRD"
"F461600","Anterior subcapsular polar senile cataract","F461600","","IMRD"
"F461700","Posterior subcapsular polar senile cataract","F461700","","IMRD"
"F461800","Cortical senile cataract","F461800","","IMRD"
"F461900","Nuclear senile cataract","F461900","","IMRD"
"F461A00","Total, mature senile cataract","F461A00","","IMRD"
"F461B00","Hypermature cataract","F461B00","","IMRD"
"F461B11","Morgagni cataract","F461B11","","IMRD"
"F461x00","Combined senile cataract","F461x00","","IMRD"
"F461y00","Other senile cataract","F461y00","","IMRD"
"F461z00","Senile cataract NOS","F461z00","","IMRD"
"F462.00","Traumatic cataract","F462.00","","IMRD"
"F462000","Unspecified traumatic cataract","F462000","","IMRD"
"F462200","Total traumatic cataract","F462200","","IMRD"
"F462300","Partial resolved traumatic cataract","F462300","","IMRD"
"F462z00","Traumatic cataract NOS","F462z00","","IMRD"
"F463.00","Cataract secondary to ocular disease","F463.00","","IMRD"
"F463000","Unspecified cataracta complicata","F463000","","IMRD"
"F463200","Cataract in eye inflammatory disorder","F463200","","IMRD"
"F463300","Cataract with neovascularization","F463300","","IMRD"
"F463400","Cataract in degenerative disorder","F463400","","IMRD"
"F463z00","Cataract secondary to ocular disorder NOS","F463z00","","IMRD"
"F464.00","Cataract due to other disorder","F464.00","","IMRD"
"F464000","Diabetic cataract","F464000","","IMRD"
"F464100","Tetanic cataract","F464100","","IMRD"
"F464200","Myotonic cataract","F464200","","IMRD"
"F464300","Cataract associated with other syndromes","F464300","","IMRD"
"F464400","Drug induced cataract","F464400","","IMRD"
"F464500","Toxic cataract not due to drugs","F464500","","IMRD"
"F464600","Radiation induced cataract","F464600","","IMRD"
"F464700","Cataract due to other physical inflammation","F464700","","IMRD"
"F464z00","Cataract due to other disorder NOS","F464z00","","IMRD"
"F465.00","After cataract","F465.00","","IMRD"
"F465000","Unspecified secondary cataract","F465000","","IMRD"
"F465200","Other after cataract with vision normal","F465200","","IMRD"
"F465300","After-cataract with vision obscured","F465300","","IMRD"
"F465z00","After cataract NOS","F465z00","","IMRD"
"F466.00","Bilateral cataracts","F466.00","","IMRD"
"F46y.00","Other cataract","F46y.00","","IMRD"
"F46yz00","Other cataract NOS","F46yz00","","IMRD"
"F46z.00","Cataract NOS","F46z.00","","IMRD"
"F46z000","Immature cortical cataract","F46z000","","IMRD"
"FyuE000","[X]Other senile cataract","FyuE000","","IMRD"
"FyuE100","[X]Other specified cataract","FyuE100","","IMRD"
"FyuE400","[X]Cataract in other diseases classified elsewhere","FyuE400","","IMRD"
"P33..00","Congenital cataract and lens anomalies","P33..00","","IMRD"
"P330.00","Congenital cataract, unspecified","P330.00","","IMRD"
"P331.00","Capsular and subcapsular cataract","P331.00","","IMRD"
"P331000","Capsular cataract","P331000","","IMRD"
"P331100","Subcapsular cataract","P331100","","IMRD"
"P331z00","Capsular or subcapsular cataract NOS","P331z00","","IMRD"
"P332.00","Cortical and zonular cataract","P332.00","","IMRD"
"P332000","Cortical cataract - congenital","P332000","","IMRD"
"P332100","Zonular cataract","P332100","","IMRD"
"P332z00","Cortical or zonular cataract NOS","P332z00","","IMRD"
"P333.00","Nuclear cataract - congenital","P333.00","","IMRD"
"P334.00","Total and subtotal congenital cataract","P334.00","","IMRD"
"P334000","Total congenital cataract","P334000","","IMRD"
"P334100","Subtotal congenital cataract","P334100","","IMRD"
"P334z00","Total or subtotal congenital cataract NOS","P334z00","","IMRD"
"P33y.00","Other specified congenital cataract or lens anomaly","P33y.00","","IMRD"
"P33y000","Blue dot cataract","P33y000","","IMRD"
"P33y100","Congenital membranous cataract","P33y100","","IMRD"
"P33yz00","Other congenital cataract or lens anomaly NOS","P33yz00","","IMRD"
"P33z.00","Congenital cataract or lens anomaly NOS","P33z.00","","IMRD"
