"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1323","Diabetic retinopathy","F420.00","","CPRD_GOLD"
"2986","Preproliferative diabetic retinopathy","F420200","","CPRD_GOLD"
"3286","Proliferative diabetic retinopathy","F420100","","CPRD_GOLD"
"3837","Diabetic maculopathy","F420400","","CPRD_GOLD"
"6509","Insulin dependent diabetes mellitus with retinopathy","C108700","","CPRD_GOLD"
"7069","Background diabetic retinopathy","F420000","","CPRD_GOLD"
"9835","O/E - diabetic maculopathy present both eyes","2BBL.00","","CPRD_GOLD"
"10099","Advanced diabetic maculopathy","F420300","","CPRD_GOLD"
"10755","Non proliferative diabetic retinopathy","F420600","","CPRD_GOLD"
"11018","Diabetic retinopathy 12 month review","8HBG.00","","CPRD_GOLD"
"11129","O/E - left eye background diabetic retinopathy","2BBQ.00","","CPRD_GOLD"
"11433","O/E - right eye background diabetic retinopathy","2BBP.00","","CPRD_GOLD"
"11599","Pan retinal photocoagulation for diabetes","7276.00","","CPRD_GOLD"
"11626","Diabetic retinopathy NOS","F420z00","","CPRD_GOLD"
"13097","O/E - right eye proliferative diabetic retinopathy","2BBT.00","","CPRD_GOLD"
"13099","O/E - right eye preproliferative diabetic retinopathy","2BBR.00","","CPRD_GOLD"
"13101","O/E - left eye proliferative diabetic retinopathy","2BBV.00","","CPRD_GOLD"
"13102","O/E - right eye diabetic maculopathy","2BBW.00","","CPRD_GOLD"
"13103","O/E - left eye preproliferative diabetic retinopathy","2BBS.00","","CPRD_GOLD"
"13108","O/E - left eye diabetic maculopathy","2BBX.00","","CPRD_GOLD"
"17262","Non-insulin-dependent diabetes mellitus with retinopathy","C109600","","CPRD_GOLD"
"18387","Type 1 diabetes mellitus with retinopathy","C10E700","","CPRD_GOLD"
"18496","Type 2 diabetes mellitus with retinopathy","C10F600","","CPRD_GOLD"
"18662","Diabetic retinopathy 6 month review","8HBH.00","","CPRD_GOLD"
"22871","Type 1 diabetes mellitus with exudative maculopathy","C10EP00","","CPRD_GOLD"
"22967","Retinal abnormality - diabetes related","2BBF.00","","CPRD_GOLD"
"25591","Type 2 diabetes mellitus with exudative maculopathy","C10FQ00","","CPRD_GOLD"
"30477","High risk proliferative diabetic retinopathy","F420700","","CPRD_GOLD"
"38161","Type I diabetes mellitus with retinopathy","C108711","","CPRD_GOLD"
"41049","Type 1 diabetes mellitus with retinopathy","C108712","","CPRD_GOLD"
"42762","Type 2 diabetes mellitus with retinopathy","C109612","","CPRD_GOLD"
"47328","O/E - right eye stable treated prolif diabetic retinopathy","2BBk.00","","CPRD_GOLD"
"47584","Advanced diabetic retinal disease","F420500","","CPRD_GOLD"
"49655","Type II diabetes mellitus with retinopathy","C10F611","","CPRD_GOLD"
"52041","O/E - left eye stable treated prolif diabetic retinopathy","2BBl.00","","CPRD_GOLD"
"52630","O/E - sight threatening diabetic retinopathy","2BBo.00","","CPRD_GOLD"
"58604","Type II diabetes mellitus with retinopathy","C109611","","CPRD_GOLD"
"65463","High risk non proliferative diabetic retinopathy","F420800","","CPRD_GOLD"
"93875","Insulin dependent diabetes mellitus with retinopathy","C10E712","","CPRD_GOLD"
"95343","Type I diabetes mellitus with retinopathy","C10E711","","CPRD_GOLD"
"97894","Type I diabetes mellitus with exudative maculopathy","C10EP11","","CPRD_GOLD"
"101881","Impaired vision due to diabetic retinopathy","2BBr.00","","CPRD_GOLD"
"111798","Type II diabetes mellitus with exudative maculopathy","C10FQ11","","CPRD_GOLD"
